ENS,TAZ
gz0,1.00
gz0,2.00
gz0,3.00
gz0,4.00
gz0,5.00
gz0,6.00
gz20,7.00
gz20,8.00
gz0,9.00
gz0,10.00
gz0,11.00
gz0,12.00
gz0,13.00
gz0,14.00
gz0,15.00
gz0,16.00
gz0,17.00
gz0,18.00
gz0,19.00
gz0,20.00
gz0,21.00
gz0,22.00
gz0,23.00
gz0,24.00
gz0,25.00
gz0,26.00
gz0,27.00
gz0,28.00
gz20,29.00
gz20,30.00
gz20,31.00
gz0,32.00
gz0,33.00
gz0,34.00
gz0,35.00
gz0,36.00
gz0,37.00
gz0,38.00
gz0,39.00
gz0,40.00
gz0,41.00
gz0,42.00
gz0,43.00
gz0,44.00
gz20,45.00
gz20,46.00
gz20,47.00
gz20,48.00
gz20,49.00
gz0,50.00
gz0,51.00
gz0,52.00
gz0,53.00
gz0,54.00
gz0,55.00
gz0,56.00
gz0,57.00
gz0,58.00
gz0,59.00
gz0,60.00
gz0,61.00
gz0,62.00
gz0,63.00
gz0,64.00
gz20,65.00
gz20,66.00
gz20,67.00
gz20,68.00
gz20,69.00
gz20,70.00
gz20,71.00
gz20,72.00
gz20,73.00
gz20,74.00
gz20,75.00
gz20,76.00
gz20,77.00
gz20,78.00
gz0,79.00
gz0,80.00
gz0,81.00
gz0,82.00
gz0,83.00
gz0,84.00
gz0,85.00
gz0,86.00
gz0,87.00
gz0,88.00
gz0,89.00
gz0,90.00
gz0,91.00
gz0,92.00
gz0,93.00
gz20,94.00
gz20,95.00
gz20,96.00
gz0,97.00
gz0,98.00
gz0,99.00
gz0,100.00
gz0,101.00
gz0,102.00
gz0,103.00
gz0,104.00
gz0,105.00
gz0,106.00
gz0,107.00
gz0,108.00
gz0,109.00
gz0,110.00
gz0,111.00
gz0,112.00
gz0,113.00
gz0,114.00
gz0,115.00
gz0,116.00
gz0,117.00
gz0,118.00
gz0,119.00
gz0,120.00
gz0,121.00
gz0,122.00
gz0,123.00
gz0,124.00
gz0,125.00
gz0,126.00
gz0,127.00
gz0,128.00
gz0,129.00
gz0,130.00
gz0,131.00
gz0,132.00
gz0,133.00
gz0,134.00
gz0,135.00
gz0,136.00
gz0,137.00
gz0,138.00
gz0,139.00
gz0,140.00
gz0,141.00
gz0,142.00
gz0,143.00
gz0,144.00
gz0,145.00
gz0,146.00
gz0,147.00
gz0,148.00
gz0,149.00
gz0,150.00
gz0,151.00
gz0,152.00
gz0,153.00
gz0,154.00
gz0,155.00
gz0,156.00
gz0,157.00
gz0,158.00
gz0,159.00
gz0,160.00
gz0,161.00
gz0,162.00
gz0,163.00
gz0,164.00
gz0,165.00
gz0,166.00
gz0,167.00
gz0,168.00
gz0,169.00
gz0,170.00
gz0,171.00
gz0,172.00
gz0,173.00
gz0,174.00
gz0,175.00
gz0,176.00
gz0,177.00
gz0,178.00
gz0,179.00
gz0,180.00
gz0,181.00
gz0,182.00
gz0,183.00
gz0,184.00
gz0,185.00
gz0,186.00
gz0,187.00
gz0,188.00
gz0,189.00
gz0,190.00
gz0,191.00
gz0,192.00
gz0,193.00
gz0,194.00
gz0,195.00
gz0,196.00
gz0,197.00
gz0,198.00
gz0,199.00
gz0,200.00
gz0,201.00
gz0,202.00
gz0,203.00
gz0,204.00
gz0,205.00
gz0,206.00
gz0,207.00
