taz,lat,lon,center
3434,47.08166731,-122.3888938,Frederickson
3432,47.08455934,-122.36455,Frederickson
3430,47.08541423,-122.338466,Frederickson
3221,47.21191937,-122.2361791,Sumner Pacific
3171,47.22262147,-122.2510123,Sumner Pacific
3170,47.22573796,-122.2421668,Sumner Pacific
3172,47.22642801,-122.2601896,Sumner Pacific
3156,47.23927017,-122.2416013,Sumner Pacific
3116,47.24005551,-122.4076456,Port of Tacoma
3112,47.24048866,-122.4139556,Port of Tacoma
3115,47.24162983,-122.4066217,Port of Tacoma
3119,47.24230204,-122.4008188,Port of Tacoma
3107,47.24273995,-122.4235552,Port of Tacoma
3111,47.24333422,-122.4142438,Port of Tacoma
3155,47.2456765,-122.2439795,Sumner Pacific
3114,47.24403861,-122.4096534,Port of Tacoma
3153,47.24672204,-122.252505,Sumner Pacific
3121,47.2451587,-122.3931176,Port of Tacoma
3118,47.24516202,-122.4033371,Port of Tacoma
3113,47.24694441,-122.412727,Port of Tacoma
3106,47.24718805,-122.4225881,Port of Tacoma
3127,47.25006074,-122.3622424,Port of Tacoma
3117,47.25025859,-122.406342,Port of Tacoma
3120,47.2504694,-122.3933994,Port of Tacoma
3157,47.25359274,-122.2358512,Sumner Pacific
3123,47.2517497,-122.3796209,Port of Tacoma
3152,47.25391525,-122.2534944,Sumner Pacific
3154,47.25414573,-122.2455712,Sumner Pacific
3104,47.25205113,-122.4280353,Port of Tacoma
3126,47.25362361,-122.3681084,Port of Tacoma
3103,47.25443591,-122.4209197,Port of Tacoma
3100,47.25669258,-122.3957057,Port of Tacoma
3101,47.25683402,-122.4123152,Port of Tacoma
3102,47.26060042,-122.4285642,Port of Tacoma
3099,47.26242162,-122.4051642,Port of Tacoma
3098,47.26302503,-122.3943612,Port of Tacoma
3096,47.26549996,-122.3825814,Port of Tacoma
3095,47.2688425,-122.3748605,Port of Tacoma
3097,47.26933878,-122.4145553,Port of Tacoma
3084,47.28312824,-122.4086652,Port of Tacoma
1050,47.39459473,-122.2381924,Kent MIC
1049,47.4043448,-122.2382154,Kent MIC
1051,47.40487585,-122.2314989,Kent MIC
