taz,geog_name,district,lat_1,lon_1
114,King County,North Seattle-Shoreline,47.51978,-122.138064
115,King County,North Seattle-Shoreline,47.51978,-122.138064
116,King County,North Seattle-Shoreline,47.51978,-122.138064
117,King County,North Seattle-Shoreline,47.51978,-122.138064
118,King County,North Seattle-Shoreline,47.51978,-122.138064
119,King County,North Seattle-Shoreline,47.51978,-122.138064
120,King County,North Seattle-Shoreline,47.51978,-122.138064
121,King County,North Seattle-Shoreline,47.51978,-122.138064
122,King County,North Seattle-Shoreline,47.51978,-122.138064
123,King County,North Seattle-Shoreline,47.51978,-122.138064
124,King County,North Seattle-Shoreline,47.51978,-122.138064
125,King County,North Seattle-Shoreline,47.51978,-122.138064
126,King County,North Seattle-Shoreline,47.51978,-122.138064
127,King County,North Seattle-Shoreline,47.51978,-122.138064
128,King County,North Seattle-Shoreline,47.51978,-122.138064
129,King County,North Seattle-Shoreline,47.51978,-122.138064
130,King County,North Seattle-Shoreline,47.51978,-122.138064
131,King County,North Seattle-Shoreline,47.51978,-122.138064
132,King County,North Seattle-Shoreline,47.51978,-122.138064
133,King County,North Seattle-Shoreline,47.51978,-122.138064
134,King County,North Seattle-Shoreline,47.51978,-122.138064
135,King County,North Seattle-Shoreline,47.51978,-122.138064
136,King County,North Seattle-Shoreline,47.51978,-122.138064
137,King County,North Seattle-Shoreline,47.51978,-122.138064
138,King County,North Seattle-Shoreline,47.51978,-122.138064
139,King County,North Seattle-Shoreline,47.51978,-122.138064
140,King County,North Seattle-Shoreline,47.51978,-122.138064
141,King County,North Seattle-Shoreline,47.51978,-122.138064
142,King County,North Seattle-Shoreline,47.51978,-122.138064
143,King County,North Seattle-Shoreline,47.51978,-122.138064
144,King County,North Seattle-Shoreline,47.51978,-122.138064
145,King County,North Seattle-Shoreline,47.51978,-122.138064
146,King County,North Seattle-Shoreline,47.51978,-122.138064
147,King County,North Seattle-Shoreline,47.51978,-122.138064
148,King County,North Seattle-Shoreline,47.51978,-122.138064
149,King County,North Seattle-Shoreline,47.51978,-122.138064
150,King County,North Seattle-Shoreline,47.51978,-122.138064
151,King County,North Seattle-Shoreline,47.51978,-122.138064
152,King County,North Seattle-Shoreline,47.51978,-122.138064
153,King County,North Seattle-Shoreline,47.51978,-122.138064
154,King County,North Seattle-Shoreline,47.51978,-122.138064
155,King County,North Seattle-Shoreline,47.51978,-122.138064
156,King County,North Seattle-Shoreline,47.51978,-122.138064
157,King County,North Seattle-Shoreline,47.51978,-122.138064
158,King County,North Seattle-Shoreline,47.51978,-122.138064
159,King County,North Seattle-Shoreline,47.51978,-122.138064
160,King County,North Seattle-Shoreline,47.51978,-122.138064
161,King County,North Seattle-Shoreline,47.51978,-122.138064
162,King County,North Seattle-Shoreline,47.51978,-122.138064
163,King County,North Seattle-Shoreline,47.51978,-122.138064
