Pollutant,Speed Class,Car,Light Truck,Medium Truck,Heavy Truck,,,,,,,,
Carbon Dioxide,0,650.924,806.907,3177.06,4205.69,,,,,,,,
Carbon Dioxide,10,316.021,395.25,1517.57,2409.68,,,,,,,,
Carbon Dioxide,20,243.863,307.267,1128.46,1974,,,,,,,,
Carbon Dioxide,30,206.549,259.829,918.232,1611.34,,,,,,,,
Carbon Dioxide,40,194.51,245.164,800.84,1521.25,,,,,,,,
Carbon Dioxide,50,189.118,238.502,708.247,1360.17,,,,,,,,
Carbon Dioxide,60,191.395,242.919,660.89,1479.02,,,,,,,,
Carbon Monoxide,0,1.497263478,1.581181789,3.74331357,1.39961,,,,,,,,
Carbon Monoxide,10,1.077655028,1.156100861,2.022171947,0.598088,,,,,,,,
Carbon Monoxide,20,0.765248763,0.844683007,1.730279147,0.460626,,,,,,,,
Carbon Monoxide,30,0.717382429,0.793438373,1.405766075,0.376886,,,,,,,,
Carbon Monoxide,40,0.648879242,0.723212875,1.197959422,0.32982,,,,,,,,
Carbon Monoxide,50,0.680867531,0.745653539,1.038947303,0.299854,,,,,,,,
Carbon Monoxide,60,0.805231452,0.895753549,0.879629562,0.264178,,,,,,,,
Nitrogen Oxide,0,0.035095262,0.075723329,2.618881252,4.70472,,,,,,,,
Nitrogen Oxide,10,0.035705235,0.059574483,1.234011461,2.37791,,,,,,,,
Nitrogen Oxide,20,0.033658256,0.053775251,0.88359289,1.81036,,,,,,,,
Nitrogen Oxide,30,0.037797304,0.055934137,0.750240627,1.4613,,,,,,,,
Nitrogen Oxide,40,0.042577968,0.060439717,0.682703973,1.31868,,,,,,,,
Nitrogen Oxide,50,0.049157417,0.066692568,0.637295342,1.17735,,,,,,,,
Nitrogen Oxide,60,0.062679854,0.084102664,0.588438671,1.25419,,,,,,,,
Volatile Organic Compound,0,0.017478348,0.014916184,0.39773883,0.293332,,,,,,,,
Volatile Organic Compound,10,0.010840867,0.010406722,0.16367625,0.10367,,,,,,,,
Volatile Organic Compound,20,0.00872414,0.008664635,0.100651172,0.0655094,,,,,,,,
Volatile Organic Compound,30,0.00782058,0.007946732,0.07229175,0.049837,,,,,,,,
Volatile Organic Compound,40,0.007185131,0.007192521,0.052071131,0.0399706,,,,,,,,
Volatile Organic Compound,50,0.007371384,0.007361562,0.038195886,0.0337545,,,,,,,,
Volatile Organic Compound,60,0.008489339,0.00876955,0.030868813,0.0283159,,,,,,,,
Particulate Matter,0,0.028961518,0.032189625,0.17614939,0.33100641,,,,,,,,
Particulate Matter,10,0.014550376,0.016458871,0.06850447,0.1255506,,,,,,,,
Particulate Matter,20,0.011048392,0.012510321,0.03959713,0.08057083,,,,,,,,
Particulate Matter,30,0.007438433,0.008518489,0.02954346,0.05281127,,,,,,,,
Particulate Matter,40,0.005269299,0.00608817,0.02149736,0.03717227,,,,,,,,
Particulate Matter,50,0.003887093,0.004630936,0.01771826,0.02255332,,,,,,,,
Particulate Matter,60,0.003359975,0.00411675,0.01554132,0.01879773,,,,,,,,
