light_rail,commuter_rail,brt,ferry,bus,express,x,y
0,0,0,0,1,0,1273514.626443132800000,458350.162164226170000
0,0,0,0,1,0,1271519.508714228900000,457208.515169307590000
0,0,0,0,1,0,1270317.508821636400000,456713.809137731790000
0,0,0,0,1,0,1275585.979255810400000,453056.809561982750000
0,0,0,0,1,0,1325307.624234885000000,439978.046677559610000
0,0,0,0,1,0,1324396.624416470500000,438981.693683385850000
0,0,0,0,1,0,1268820.274283304800000,430612.810486808420000
0,0,0,0,1,0,1277226.744675055100000,426774.163964644070000
0,0,0,0,1,0,1278473.156224221000000,426416.869731724260000
0,0,0,0,1,0,1297454.508681386700000,423389.399736806750000
0,0,0,0,1,0,1315796.978558048600000,410802.930487230420000
0,0,0,0,1,0,1364053.976203978100000,395911.579692557450000
0,0,0,0,1,0,1309885.743989467600000,395285.578319892290000
0,0,0,0,1,0,1287721.745010465400000,392077.577846139670000
0,0,0,0,1,0,1318876.155470550100000,387083.049449399110000
0,0,0,0,1,0,1320696.743692889800000,387039.226046219470000
0,0,0,0,1,0,1312771.155869558500000,386488.814089313150000
0,0,0,0,1,0,1314143.861457467100000,386452.578597471120000
0,0,0,0,1,0,1342876.624857977000000,380255.638563558460000
0,0,0,0,1,0,1305376.509241551200000,374228.696877315640000
0,0,0,0,1,0,1328137.626120805700000,366570.521248802540000
0,0,0,0,1,0,1330656.684730976800000,365882.992112055420000
0,0,0,0,1,0,1302381.745217979000000,363609.697446063160000
0,0,0,0,1,0,1307557.862818464600000,359197.344722226260000
0,1,0,0,0,0,1306355.862925887100000,358797.756282553080000
0,0,0,0,1,1,1306097.568823054400000,358759.697959721090000
0,0,0,0,1,0,1305377.980695307300000,356838.286120146510000
0,0,0,0,1,0,1302980.157406970900000,354409.286056891080000
0,0,0,0,1,0,1297825.745799809700000,352107.462248474360000
0,0,0,0,1,0,1280109.276311561500000,349024.344398975370000
0,0,0,0,1,0,1298466.393140554400000,344681.992519393560000
0,0,0,0,1,0,1290542.628804385700000,342853.992238387470000
0,0,0,0,1,0,1302490.510420382000000,342226.345199719070000
0,0,0,0,1,0,1304718.510557562100000,342204.286844894290000
0,0,0,0,1,0,1294028.628722131300000,342145.286306723950000
0,0,0,0,1,0,1297632.393168136500000,338099.816051229830000
0,0,0,0,1,0,1303541.628396883600000,333980.816743314270000
0,0,0,0,1,0,1303523.981450557700000,330616.346110060810000
0,0,0,0,1,0,1282026.982449889200000,330414.992510139940000
0,0,0,0,1,0,1293701.276030391500000,330234.698907479640000
0,0,0,0,1,0,1293694.746843978800000,324901.875583648680000
0,0,0,0,1,0,1298247.628814309800000,324858.110907390710000
0,0,0,0,1,0,1306739.863798305400000,323277.934933885930000
0,0,0,0,1,0,1283255.864834636400000,323083.816555723550000
0,0,0,0,1,0,1282949.394647061800000,322687.757636561990000
0,0,0,0,1,0,1302777.628940641900000,319279.464256316420000
0,0,0,0,1,0,1279550.865354895600000,318672.286992982030000
0,0,0,0,1,0,1314470.981210053000000,317861.935267224910000
0,0,0,0,1,0,1318277.275106638700000,317507.817865222690000
0,0,0,0,1,0,1316071.157799720800000,317436.111971899870000
0,0,0,0,1,0,1399047.153264716300000,316385.408364638690000
0,0,0,0,1,0,1356338.743931055100000,316059.054358556870000
0,0,0,0,1,0,1360804.273057714100000,314112.466388225560000
0,0,0,0,1,0,1289999.276872724300000,313223.758519977330000
0,0,0,0,1,0,1281604.983293891000000,312164.817068308590000
0,0,0,0,1,0,1282050.395132720500000,307612.229060649870000
0,0,0,0,1,0,1278220.630810633300000,301631.052702814340000
0,0,0,0,1,0,1283661.983444973800000,300154.170485973360000
0,0,0,0,1,0,1262963.514015227600000,299427.287753388290000
0,0,0,0,1,0,1266617.278361216200000,299342.817121803760000
0,0,0,0,1,0,1272691.160570383100000,299216.641193062070000
0,0,0,0,1,0,1273942.748618394100000,299162.464464142920000
0,0,0,0,1,0,1281920.630628466600000,298517.700005635620000
0,0,0,0,1,0,1261021.984761804300000,298045.581855386500000
0,0,0,0,1,0,1289836.747670218300000,297972.935675218700000
0,0,0,0,1,0,1272595.866141557700000,297894.405648559330000
0,0,0,0,1,0,1273186.513582304100000,297322.935334816580000
0,0,0,0,1,0,1274548.513482973000000,295165.758874893190000
0,0,0,0,1,0,1275212.160449639000000,295133.523703143000000
0,0,0,0,1,0,1281861.512964561600000,295044.759116888050000
0,0,0,0,1,0,1301543.276750549700000,294260.583191812040000
0,0,0,0,1,0,1274522.630988806500000,293503.994481891390000
0,0,0,0,1,0,1283304.513031303900000,292241.876927390690000
0,0,0,0,1,0,1301219.864995807400000,291679.230742976070000
0,0,0,0,1,0,1277148.160514637800000,290408.523966804150000
0,0,0,0,1,0,1276210.513767883200000,289784.053102895620000
0,0,0,0,1,0,1278458.748772725500000,289723.112279891970000
0,0,0,0,1,0,1268601.749129802000000,289357.288536474110000
