id,Operator,RouteNumber,Mode,Description,Code
989,4,KT041,b,41 LINCOLN DRIVE,KT
990,4,KT081,b,KT081a,KT
991,4,KT091,b,91 INDIANOLA-BAIN,KT
992,4,KT008,b,KT008b,KT
993,4,KT008,b,KT008a,KT
994,4,KT090,b,90 POULS TC-BAINB,KT
995,4,KT090,b,90 POL TC-BAIN EX,KT
996,4,KT090,b,90 POUL JCT-BAINB,KT
997,4,KTWD0,b,WD02 GLENWOOD,KT
998,4,KTWD0,b,WD03 HORSESHOE LK,KT
999,4,KTWD0,b,WD04 LONG LAKE DY,KT
1000,4,KTWD0,b,WD07 SALMONBERRY,KT
1001,4,KTWD0,b,WD09 PHLIP/BIELMR,KT
1002,4,KTWD1,b,WD10 PONDEROSA,KT
1003,4,KTWD1,b,WD12 SOUTHWORTH,KT
1004,4,KTWD1,b,WD13 SUNNYSLOPE,KT
1005,4,KTWD1,b,WD14 CAMP UNION,KT
1006,4,KTWD1,b,WD15 CENT VL LOOP,KT
1007,4,KTWD1,b,WD16 FRGRND OVRLD,KT
1008,4,KTWD1,b,WD17 FOSTERWOOD,KT
1009,4,KTWD1,b,WD18 ILLAHEE,KT
1010,4,KTWD1,b,WD19 PRKWOOD EAST,KT
1011,4,KTWD2,b,WD20 RIDGE RUNNER,KT
1012,4,KTWD2,b,WD22 WOODMERE,KT
1013,4,KTWD2,b,WD26 WINSLOW,KT
1014,4,KTWD2,b,WD21 SEABECK,KT
1015,4,KTWD2,b,WD23 KINGSTON,KT
1016,4,KTWD2,b,WD24 PORT GAMBLE,KT
1017,4,KTWD2,b,WD25 SUQUAMISH,KT
1018,4,KTWD0,b,WD01 BURLEY BUS,KT
1019,4,KTWD0,b,WD05 MANCHSTR BCH,KT
1020,4,KTWD0,b,WD06 MILE HILL EX,KT
1021,4,KTWD1,b,WD11 SIDNEY WOODS,KT
1022,4,KTWD0,b,WD08 PARKWOOD,KT
1047,2,PT051,b,51 TCC-TCOMA MALL,PT
1048,2,PT051,b,51 TCC-TCOMA MALL,PT
