taz,geog_name,district,lat_1,lon_1
1,King,North Seattle-Shoreline,47.51978,-122.138064
2,King,North Seattle-Shoreline,47.51978,-122.138064
3,King,North Seattle-Shoreline,47.51978,-122.138064
4,King,North Seattle-Shoreline,47.51978,-122.138064
5,King,North Seattle-Shoreline,47.51978,-122.138064
6,King,North Seattle-Shoreline,47.51978,-122.138064
7,King,North Seattle-Shoreline,47.51978,-122.138064
8,King,North Seattle-Shoreline,47.51978,-122.138064
9,King,North Seattle-Shoreline,47.51978,-122.138064
10,King,North Seattle-Shoreline,47.51978,-122.138064
11,King,North Seattle-Shoreline,47.51978,-122.138064
12,King,North Seattle-Shoreline,47.51978,-122.138064
13,King,North Seattle-Shoreline,47.51978,-122.138064
14,King,North Seattle-Shoreline,47.51978,-122.138064
15,King,North Seattle-Shoreline,47.51978,-122.138064
16,King,North Seattle-Shoreline,47.51978,-122.138064
17,King,North Seattle-Shoreline,47.51978,-122.138064
18,King,North Seattle-Shoreline,47.51978,-122.138064
19,King,North Seattle-Shoreline,47.51978,-122.138064
20,King,North Seattle-Shoreline,47.51978,-122.138064
21,King,North Seattle-Shoreline,47.51978,-122.138064
22,King,North Seattle-Shoreline,47.51978,-122.138064
23,King,North Seattle-Shoreline,47.51978,-122.138064
24,King,North Seattle-Shoreline,47.51978,-122.138064
25,King,North Seattle-Shoreline,47.51978,-122.138064
26,King,North Seattle-Shoreline,47.51978,-122.138064
27,King,North Seattle-Shoreline,47.51978,-122.138064
28,King,North Seattle-Shoreline,47.51978,-122.138064
29,King,North Seattle-Shoreline,47.51978,-122.138064
30,King,North Seattle-Shoreline,47.51978,-122.138064
31,King,North Seattle-Shoreline,47.51978,-122.138064
32,King,North Seattle-Shoreline,47.51978,-122.138064
33,King,North Seattle-Shoreline,47.51978,-122.138064
34,King,North Seattle-Shoreline,47.51978,-122.138064
35,King,North Seattle-Shoreline,47.51978,-122.138064
36,King,North Seattle-Shoreline,47.51978,-122.138064
37,King,North Seattle-Shoreline,47.51978,-122.138064
38,King,North Seattle-Shoreline,47.51978,-122.138064
39,King,North Seattle-Shoreline,47.51978,-122.138064
40,King,North Seattle-Shoreline,47.51978,-122.138064
41,King,North Seattle-Shoreline,47.51978,-122.138064
42,King,North Seattle-Shoreline,47.51978,-122.138064
43,King,North Seattle-Shoreline,47.51978,-122.138064
44,King,North Seattle-Shoreline,47.51978,-122.138064
45,King,North Seattle-Shoreline,47.51978,-122.138064
46,King,North Seattle-Shoreline,47.51978,-122.138064
47,King,North Seattle-Shoreline,47.51978,-122.138064
48,King,North Seattle-Shoreline,47.51978,-122.138064
49,King,North Seattle-Shoreline,47.51978,-122.138064
50,King,North Seattle-Shoreline,47.51978,-122.138064
51,King,North Seattle-Shoreline,47.51978,-122.138064
52,King,North Seattle-Shoreline,47.51978,-122.138064
53,King,North Seattle-Shoreline,47.51978,-122.138064
54,King,North Seattle-Shoreline,47.51978,-122.138064
55,King,North Seattle-Shoreline,47.51978,-122.138064
56,King,North Seattle-Shoreline,47.51978,-122.138064
57,King,North Seattle-Shoreline,47.51978,-122.138064
58,King,North Seattle-Shoreline,47.51978,-122.138064
59,King,North Seattle-Shoreline,47.51978,-122.138064
60,King,North Seattle-Shoreline,47.51978,-122.138064
61,King,North Seattle-Shoreline,47.51978,-122.138064
62,King,North Seattle-Shoreline,47.51978,-122.138064
63,King,North Seattle-Shoreline,47.51978,-122.138064
64,King,North Seattle-Shoreline,47.51978,-122.138064
65,King,North Seattle-Shoreline,47.51978,-122.138064
66,King,North Seattle-Shoreline,47.51978,-122.138064
67,King,North Seattle-Shoreline,47.51978,-122.138064
68,King,North Seattle-Shoreline,47.51978,-122.138064
69,King,North Seattle-Shoreline,47.51978,-122.138064
70,King,North Seattle-Shoreline,47.51978,-122.138064
71,King,North Seattle-Shoreline,47.51978,-122.138064
72,King,North Seattle-Shoreline,47.51978,-122.138064
73,King,North Seattle-Shoreline,47.51978,-122.138064
74,King,North Seattle-Shoreline,47.51978,-122.138064
75,King,North Seattle-Shoreline,47.51978,-122.138064
76,King,North Seattle-Shoreline,47.51978,-122.138064
77,King,North Seattle-Shoreline,47.51978,-122.138064
78,King,North Seattle-Shoreline,47.51978,-122.138064
79,King,North Seattle-Shoreline,47.51978,-122.138064
80,King,North Seattle-Shoreline,47.51978,-122.138064
81,King,North Seattle-Shoreline,47.51978,-122.138064
82,King,North Seattle-Shoreline,47.51978,-122.138064
83,King,North Seattle-Shoreline,47.51978,-122.138064
84,King,North Seattle-Shoreline,47.51978,-122.138064
85,King,North Seattle-Shoreline,47.51978,-122.138064
86,King,North Seattle-Shoreline,47.51978,-122.138064
87,King,North Seattle-Shoreline,47.51978,-122.138064
88,King,North Seattle-Shoreline,47.51978,-122.138064
89,King,North Seattle-Shoreline,47.51978,-122.138064
90,King,North Seattle-Shoreline,47.51978,-122.138064
91,King,North Seattle-Shoreline,47.51978,-122.138064
92,King,North Seattle-Shoreline,47.51978,-122.138064
93,King,North Seattle-Shoreline,47.51978,-122.138064
94,King,North Seattle-Shoreline,47.51978,-122.138064
95,King,North Seattle-Shoreline,47.51978,-122.138064
96,King,North Seattle-Shoreline,47.51978,-122.138064
97,King,North Seattle-Shoreline,47.51978,-122.138064
98,King,North Seattle-Shoreline,47.51978,-122.138064
99,King,North Seattle-Shoreline,47.51978,-122.138064
100,King,North Seattle-Shoreline,47.51978,-122.138064
101,King,North Seattle-Shoreline,47.51978,-122.138064
102,King,North Seattle-Shoreline,47.51978,-122.138064
103,King,North Seattle-Shoreline,47.51978,-122.138064
104,King,North Seattle-Shoreline,47.51978,-122.138064
105,King,North Seattle-Shoreline,47.51978,-122.138064
106,King,North Seattle-Shoreline,47.51978,-122.138064
