taz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3733,0,2578,11926,32742,1395,0,0,0,0,1893,8352,22924,1395,0,0,0,4580,2131,5929,6481,2187,2980,4642,6036
3734,0,206,1507,4145,0,0,0,0,0,0,779,2149,0,0,0,0,3030,3395,3921,4289,126,170,266,346
3735,0,0,260,712,71,0,0,0,0,47,316,868,71,0,0,0,219,246,285,312,21,30,47,62
3736,0,0,79,216,0,0,0,0,0,0,40,108,0,0,0,0,353,395,457,499,5,7,11,13
3737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3738,0,0,91,222,38,0,0,0,0,0,20,55,0,0,0,0,30,34,39,42,7,9,13,18
3739,0,0,958,2631,0,0,0,0,0,0,958,2631,0,0,0,0,446,498,576,629,228,309,482,626
3740,0,10,200,547,79,0,0,0,0,0,128,354,10,0,0,0,69,77,90,98,24,31,50,65
3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3742,0,0,146,399,49,0,0,0,0,0,91,250,0,0,0,0,71,79,91,100,16,22,34,45
3743,0,0,271,748,85,0,0,0,0,0,87,242,0,0,0,0,131,147,171,188,17,22,30,42
3744,0,720,6805,18683,1806,0,0,0,0,361,5236,14374,1806,0,0,0,2312,2592,2993,3275,948,1292,2013,2620
3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3746,0,0,3385,9290,451,0,0,0,0,0,1694,4648,0,0,0,0,1587,1778,2055,2246,255,346,541,703
3747,0,118,699,1920,0,0,0,0,0,0,572,1572,0,0,0,0,469,525,606,663,49,66,104,136
3748,0,0,3056,8393,227,0,0,0,0,227,305,838,227,0,0,0,800,896,1036,1132,263,359,557,726
3749,0,0,2436,6689,284,0,0,0,0,284,1704,4679,284,0,0,0,1095,1227,1417,1550,244,330,517,672
3750,0,29,723,1982,0,0,0,0,0,29,144,396,121,0,0,0,275,308,355,389,20,28,42,56
