taz,tad,county,district,district_name,lat_taz,lon_taz,TAZ,lat_district,lon_district
1.0,1.0,King,3,North Seattle-Shoreline,47.728095099423854,-122.36802206128222,1,47.717471,-122.338958
2.0,1.0,King,3,North Seattle-Shoreline,47.72868255036953,-122.358250073533,2,47.717471,-122.338958
3.0,1.0,King,3,North Seattle-Shoreline,47.73123810226349,-122.35027022580269,3,47.717471,-122.338958
4.0,1.0,King,3,North Seattle-Shoreline,47.7258170395125,-122.35033144532623,4,47.717471,-122.338958
5.0,1.0,King,3,North Seattle-Shoreline,47.73038522674738,-122.34145984827984,5,47.717471,-122.338958
6.0,1.0,King,3,North Seattle-Shoreline,47.732299908664636,-122.33805921276631,6,47.717471,-122.338958
7.0,1.0,King,3,North Seattle-Shoreline,47.725945603713186,-122.34230357915148,7,47.717471,-122.338958
8.0,1.0,King,3,North Seattle-Shoreline,47.7254799048141,-122.33366187072927,8,47.717471,-122.338958
9.0,1.0,King,3,North Seattle-Shoreline,47.73071521625671,-122.3313925474974,9,47.717471,-122.338958
10.0,1.0,King,3,North Seattle-Shoreline,47.72940929378152,-122.32643594391413,10,47.717471,-122.338958
11.0,2.0,King,3,North Seattle-Shoreline,47.72866690627156,-122.31909248253376,11,47.717471,-122.338958
12.0,2.0,King,3,North Seattle-Shoreline,47.72305574516861,-122.31537158560423,12,47.717471,-122.338958
13.0,2.0,King,3,North Seattle-Shoreline,47.7300729096713,-122.30890378470266,13,47.717471,-122.338958
14.0,2.0,King,3,North Seattle-Shoreline,47.722766595724856,-122.30819118480808,14,47.717471,-122.338958
15.0,2.0,King,3,North Seattle-Shoreline,47.73033515121397,-122.3008513180035,15,47.717471,-122.338958
16.0,2.0,King,3,North Seattle-Shoreline,47.72316554901291,-122.30021864013894,16,47.717471,-122.338958
17.0,2.0,King,3,North Seattle-Shoreline,47.73012110980764,-122.29440489878336,17,47.717471,-122.338958
18.0,2.0,King,3,North Seattle-Shoreline,47.72353392079781,-122.29473814570856,18,47.717471,-122.338958
19.0,2.0,King,3,North Seattle-Shoreline,47.72991291380258,-122.28685928277378,19,47.717471,-122.338958
20.0,2.0,King,3,North Seattle-Shoreline,47.72275189269517,-122.28676552866304,20,47.717471,-122.338958
21.0,2.0,King,3,North Seattle-Shoreline,47.712269134717424,-122.27891015603622,21,47.717471,-122.338958
22.0,2.0,King,3,North Seattle-Shoreline,47.71538630328351,-122.28715006915316,22,47.717471,-122.338958
23.0,2.0,King,3,North Seattle-Shoreline,47.71517453459773,-122.29439744589277,23,47.717471,-122.338958
24.0,2.0,King,3,North Seattle-Shoreline,47.716059947485505,-122.30082528802065,24,47.717471,-122.338958
25.0,2.0,King,3,North Seattle-Shoreline,47.71575828788443,-122.30852901264193,25,47.717471,-122.338958
26.0,1.0,King,3,North Seattle-Shoreline,47.716047194418366,-122.31544207729952,26,47.717471,-122.338958
27.0,1.0,King,3,North Seattle-Shoreline,47.71650407961226,-122.32196995476014,27,47.717471,-122.338958
28.0,1.0,King,3,North Seattle-Shoreline,47.71874564426842,-122.32681023796879,28,47.717471,-122.338958
29.0,1.0,King,3,North Seattle-Shoreline,47.71835934247762,-122.33322049057863,29,47.717471,-122.338958
30.0,1.0,King,3,North Seattle-Shoreline,47.71411884520533,-122.33671248611219,30,47.717471,-122.338958
31.0,1.0,King,3,North Seattle-Shoreline,47.71794926472258,-122.34178535559346,31,47.717471,-122.338958
32.0,1.0,King,3,North Seattle-Shoreline,47.721401789700096,-122.34764358223929,32,47.717471,-122.338958
33.0,1.0,King,3,North Seattle-Shoreline,47.713639229462785,-122.34720037846179,33,47.717471,-122.338958
34.0,1.0,King,3,North Seattle-Shoreline,47.72140653874528,-122.35294096616305,34,47.717471,-122.338958
35.0,1.0,King,3,North Seattle-Shoreline,47.71590045923146,-122.3523757599163,35,47.717471,-122.338958
