description,id,mode,route_code,RouteGroupName
A-Line Rapid Ride,5347,b,1671,RapidRideA
A Line A-Line Rapid*,4085,b,1671,RapidRideA
A Line A-Line Rapid*,4086,b,1671,RapidRideA
B Line B-Line Rapid*,4087,b,1672,RapidRideB
B Line B-Line Rapid*,4088,b,1672,RapidRideB
C Line test,5301,b,1673,RapidRideC
C-Line Rapid Ride,5404,b,1673,RapidRideC
C Line C-Line Rapid*,4089,b,1673,RapidRideC
C Line C-Line Rapid*,4090,b,1673,RapidRideC
D Line test,5299,b,1674,RapidRideD
D Line test,5300,b,1674,RapidRideD
D Line D-Line Rapid*,4091,b,1674,RapidRideD
D Line D-Line Rapid*,4092,b,1674,RapidRideD
E-Line E-Line Rapid*,4093,b,1675,RapidRideE
E-Line E-Line Rapid*,4094,b,1675,RapidRideE
LITE RL TCOMA CBD,4946,r,6995,ST Light Rail - Tacoma
LITE RL TCOMA CBD,4947,r,6995,ST Light Rail - Tacoma
LightRail SeaTac-Sea,4950,r,6996,ST Light Rail -Central Link
LightRail Sea-Seatac,4951,r,6996,ST Light Rail -Central Link
COMMTR RL TAC-SEA NB,4945,c,6998,ST Commuter Rail South
COMMTR RL SEA-LKW SB,4961,c,6998,ST Commuter Rail South
COMMTR RL SEA-TAC SB,4952,c,6998,ST Commuter Rail South
COMMTR RL LKW-SEA NB,4960,c,6998,ST Commuter Rail North
COMMTR RL SEA-EV NB,4944,c,6999,ST Commuter Rail North
COMMTR RL EV-SEA SB,4943,c,6999,ST Commuter Rail North
