id,6to7_board,6to7_time,7to8_board,7to8_time,8to9_board,8to9_time
1,77.82064819,22.72011185,100.5153809,22.78427887,82.17937469,22.76658249
2,97.9391098,20.77882195,110.1179657,20.87145233,104.4172821,20.82998276
3,58.60372162,22.10495949,80.78295898,22.18597031,64.31749725,22.15921211
4,25.46468735,28.99066353,34.41807175,29.07696152,27.90002823,29.04847145
5,112.6762772,19.88614082,126.2729492,19.98669624,114.108757,19.93985748
6,79.81659698,23.42841721,104.4935379,23.50826073,87.89560699,23.47825432
7,77.04808807,20.91083717,79.42063904,21.03644753,87.03710175,20.97579384
8,110.7359467,21.6380558,137.9234009,21.77054024,137.6351929,21.72110748
9,32.67449188,27.41935158,36.39308167,27.73271179,30.75110626,27.53790665
10,50.90209198,18.92671585,53.28903198,19.19844246,46.26615524,19.04486084
11,39.5554657,23.61812592,55.02046967,23.75832367,39.26050949,23.7363739
12,7.27183485,20.36257553,11.82041645,20.48887062,9.611555099,20.47900581
13,64.64691925,21.48928642,61.49041748,21.50328255,56.68408585,21.49490547
14,16.85378075,14.8988266,17.08537102,14.91517448,14.83105278,14.9128561
15,27.50259018,23.20395088,24.84112549,23.21794701,23.04850769,23.20957184
16,19.89513779,25.13743401,27.76900101,25.27763176,19.63025475,25.25568199
17,5.843518734,16.61349297,5.183621407,16.62983894,4.591047287,16.62752151
18,59.06381607,21.3658123,93.82012177,21.45320129,62.16872406,21.42389297
19,15.57993412,27.09824371,23.35343552,27.2255497,16.86552429,27.16965294
20,10.18041611,18.92671585,10.65780544,19.19844246,9.253230095,19.04486084
21,73.13236237,18.86400795,78.93469238,19.05050468,69.71663666,18.96605873
22,68.042099,21.33614922,102.5302353,21.43719292,71.35766602,21.38228607
23,73.97721863,25.32829285,77.24351501,25.44737434,64.72654724,25.37148476
24,39.32823181,30.60962296,60.42726898,30.89716339,47.4633255,30.74305153
25,20.03134918,32.12893295,30.29431915,32.41647339,23.86297607,32.26235962
26,15.12888908,27.04296112,14.76763535,27.1620388,12.15653229,27.08614922
27,29.14473534,49.32456589,33.54112244,50.34475708,28.02122498,49.93901062
28,105.7769852,42.66689682,120.3394623,43.68180466,98.41658783,43.27779388
29,29.93811607,51.02083206,32.97454071,52.31588745,28.50145721,51.6194458
30,108.2166672,44.36316299,117.4452972,45.65293503,99.1206131,44.95822906
31,54.10833359,44.36316299,58.72264862,45.65293503,49.56030655,44.95822906
32,21.93266487,36.89785004,25.33501816,37.50935745,21.73344803,37.25405121
33,67.19628143,32.45650101,75.88639832,33.17776489,56.51387405,32.89019394
34,19.54680824,30.24018097,21.99718475,30.84640503,18.67297173,30.59283447
35,92.98826599,54.02338409,108.4003906,55.6401825,102.7084351,54.65975189
36,122.0461121,43.366539,148.5035706,44.70901871,128.9067841,43.8326683
37,44.78235626,43.92915726,51.3752594,45.53956604,47.77922821,44.56490326
38,16.66659546,27.34053993,19.20026398,27.70656967,20.40787506,27.48759651
39,22.84157753,50.88924408,21.30291367,51.47766876,20.67861176,51.12506866
40,261.3631287,43.77811813,302.0643311,44.54719162,253.8704834,44.04256058
41,29.83733559,48.5575676,33.68064499,49.37007904,30.8374691,48.84841537
42,29.04034805,43.77811813,33.56270981,44.54719162,28.20783043,44.04256058
43,152.9287109,37.39784241,150.2199707,37.77504349,142.0046997,37.55104446
44,69.63095093,52.60390472,69.27309418,53.19233322,63.63734818,52.83973312
45,153.8206177,67.06034851,190.6241608,67.76364136,170.6251984,67.3812561
46,246.3744507,65.55510712,361.9400635,66.77936554,315.6117249,66.03404999
47,127.2362671,39.19594955,161.6597137,39.88731384,125.7002945,39.4949379
48,25.40323639,38.84283066,34.04177094,39.34182358,37.49870682,39.03734589
49,129.5201721,15.07616329,146.7825623,15.20221996,126.9871597,15.13695145
50,21.41310692,24.97028351,24.2885437,25.14031982,24.50046349,25.03869057
51,162.8032074,16.1251812,213.5120544,16.21621323,207.419693,16.14984703
52,0,5.518099308,0.235294119,5.599480629,0,5.558413982
53,148.1671143,22.13796616,159.1934814,22.26776123,120.9332962,22.17221642
54,10.68402576,29.69346428,10.4886837,29.86898041,9.137822151,29.74726868
55,49.56119919,29.16667366,60.68319321,29.47879219,53.87177277,29.24371529
56,179.8667908,22.50900841,221.4284973,22.81583977,196.743988,22.58249474
57,45.66656494,21.35827255,51.01849365,21.43320847,48.90629578,21.38326454
58,19.3012352,16.24480057,19.85745811,16.28527832,18.24800873,16.26317024
59,51.41014862,21.7680378,64.57324982,21.90306091,57.91208267,21.85225868
60,0.384615391,14.63702869,0.430069923,14.75349808,0.471571922,14.71086121
61,9.133312225,21.35827255,10.20370007,21.43320847,9.781259537,21.38326454
62,7.720493793,16.24480057,7.942982674,16.28527832,7.299202919,16.26317024
63,86.48958588,31.6221962,99.69387054,31.91028595,85.61437988,31.73070145
64,54.97528076,23.12956238,60.93809509,23.37601852,53.38443375,23.23765182
65,27.46356583,31.50061607,37.02487946,31.6651268,30.65646553,31.61288834
