station,id,observed_boardings
Tacoma Dome,151798,
East Tacoma,199013,
Fife,199012,
S Federal Way (SR-18),199010,
Federal Way TC,199009,
Star Lake (272nd),199008,
Kent-Des Moines Rd,199007,
South SeaTac,120350,
SeaTac Airport,186180,4659.905272
International Blvd,114752,2213.135731
Boeing Access,107638,
Rainier Beach,104962,1059.240105
Othello,101780,1529.512678
Graham,100100,
Columbia City,183816,1416.076315
Mt. Baker,92684,1598.626221
Beacon Hill,91596,1505.473189
West Seattle Junction,198980,
Avalon & Genesee,198979,
Delridge,198981,
Issaquah,198988,
Lakemont,198987,
Eastgate P&R,199068,
Richards Road,199069,
Main St (Bellevue),198655,
Downtown Redmond,71174,
SE Redmond,198992,
Overlake TC,198662,
148th Ave NE,198661,
Bel Red/132nd,198660,
120th/16th,198659,
Overlake Med Ctr,198658,
Bellevue TC,198657,
S Kirkland P&R,198993,
S Belleuve P&R,90271,
Mercer Island P&R,198653,
Rainier Ave,185807,
SODO,183604,979.6092943
Stadium,88671,982.6142203
International District,183609,2300.278883
Pioneer Square,86614,1554.303399
 Midtown (5th & Madison),198975,
University St,85557,2019.317326
Westlake-2,198973,
Westlake,84791,5269.907366
Denny,198972,
South Lake Union,198971,
Seattle Center,198983,
Capitol Hill,198149,
Smith Cove,198970,
Interbay,198968,
Ballard,198967,
Husky Stadium,183595,
Brooklyn,198995,
Roosevelt,183795,
Northgate TC,64343,
130th St,198997,
145th St,186448,
185th St,53083,
Mountlake Terrace P&R,48891,
Lynnwood P&R,43078,
West Alderwood Mall,198999,
Ash Way P&R,199000,
Mariner P&R,199001,
SR 99/Airport Rd,199002,
SW Evt Industrial Complex,199003,
SR-526/Evergreen,199004,
Everett Station,199005,
S 25th St Station,151922,
Union Station,150772,
Convention Center Station,149887,
Commerce,149191,
Theater District,148900,
4th & Broadway,198571,
Division & St Helens,198570,
Division & MLK,198569,
6th & MLK,199015,
11th & MLK,199016,
18th & MLK,199017,
Hilltop,199019,
Sprague,199020,
Union,199021,
Stevens,199022,
Pearl,199023,
Tacoma CC,199024,
