INode,JNode,LocationID,LocationDe,CityName,CountyName
164725,164715,Parkland1,SR 7 and 121st St S,Parkland,Pierce County
164715,164833,Parkland1,SR 7 and 121st St S,Parkland,Pierce County
164575,164715,Parkland1,SR 7 and 121st St S,Parkland,Pierce County
164715,164710,Parkland1,SR 7 and 121st St S,Parkland,Pierce County
163687,163949,Lakewood2,Pacific Hwy SW at 47th Ave SW (Lakewood Sounder Station),Lakewood,Pierce County
163687,164071,Lakewood2,Pacific Hwy SW at 47th Ave SW (Lakewood Sounder Station),Lakewood,Pierce County
182414,163687,Lakewood2,Pacific Hwy SW at 47th Ave SW (Lakewood Sounder Station),Lakewood,Pierce County
191534,163687,Lakewood2,Pacific Hwy SW at 47th Ave SW (Lakewood Sounder Station),Lakewood,Pierce County
162259,162243,Lakewood1,Pacific Hwy SW and 108th St SW,Lakewood,Pierce County
162236,162243,Lakewood1,Pacific Hwy SW and 108th St SW,Lakewood,Pierce County
162243,162576,Lakewood1,Pacific Hwy SW and 108th St SW,Lakewood,Pierce County
162243,161730,Lakewood1,Pacific Hwy SW and 108th St SW,Lakewood,Pierce County
161559,161706,Lakewood7,Gravelly Lake Dr SW and Main Street SW,Lakewood,Pierce County
161559,161176,Lakewood7,Gravelly Lake Dr SW and Main Street SW,Lakewood,Pierce County
182153,161559,Lakewood7,Gravelly Lake Dr SW and Main Street SW,Lakewood,Pierce County
191528,161559,Lakewood7,Gravelly Lake Dr SW and Main Street SW,Lakewood,Pierce County
160846,161204,Lakewood8,Bridgeport Way SW at Lakewood Mall Blvd SW,Lakewood,Pierce County
160846,160533,Lakewood8,Bridgeport Way SW at Lakewood Mall Blvd SW,Lakewood,Pierce County
160846,160879,Lakewood8,Bridgeport Way SW at Lakewood Mall Blvd SW,Lakewood,Pierce County
160846,160550,Lakewood8,Bridgeport Way SW at Lakewood Mall Blvd SW,Lakewood,Pierce County
158635,158828,Lakewood5,Steilacoom Blvd SW at Lakewood Dr SW,Lakewood,Pierce County
158635,158657,Lakewood5,Steilacoom Blvd SW at Lakewood Dr SW,Lakewood,Pierce County
158635,158638,Lakewood5,Steilacoom Blvd SW at Lakewood Dr SW,Lakewood,Pierce County
158635,157733,Lakewood5,Steilacoom Blvd SW at Lakewood Dr SW,Lakewood,Pierce County
157677,158635,Lakewood5,Steilacoom Blvd SW at Lakewood Dr SW,Lakewood,Pierce County
159538,158635,Lakewood5,Steilacoom Blvd SW at Lakewood Dr SW,Lakewood,Pierce County
158413,157992,Lakewood4,Fort Steilacoom Park Trail at Steilacoom Blvd and Sentinel Dr,Lakewood,Pierce County
158286,158413,Lakewood4,Fort Steilacoom Park Trail at Steilacoom Blvd and Sentinel Dr,Lakewood,Pierce County
158413,158385,Lakewood4,Fort Steilacoom Park Trail at Steilacoom Blvd and Sentinel Dr,Lakewood,Pierce County
