pollutantID,processID,monthID,dayID,hourID,temperature,relHumidity,ratePerVehicle,county,veh_type,year
98,2,4,5,24,45.3,77.8,11.6106,king,light,2014
91,2,4,5,24,45.3,77.8,0.000135031,king,light,2014
90,2,4,5,24,45.3,77.8,10.2402,king,light,2014
6,2,4,5,24,45.3,77.8,0.00421565,king,light,2014
5,2,4,5,24,45.3,77.8,0.00456409,king,light,2014
1,2,4,5,24,45.3,77.8,0.140655,king,light,2014
98,2,4,5,23,46.4,75.4,17.2664,king,light,2014
91,2,4,5,23,46.4,75.4,0.000193434,king,light,2014
90,2,4,5,23,46.4,75.4,14.6698,king,light,2014
6,2,4,5,23,46.4,75.4,0.00800264,king,light,2014
5,2,4,5,23,46.4,75.4,0.00847322,king,light,2014
1,2,4,5,23,46.4,75.4,0.234713,king,light,2014
98,2,4,5,22,47.6,72.7,17.7139,king,light,2014
91,2,4,5,22,47.6,72.7,0.00019141,king,light,2014
90,2,4,5,22,47.6,72.7,14.5161,king,light,2014
6,2,4,5,22,47.6,72.7,0.010004299999999999,king,light,2014
5,2,4,5,22,47.6,72.7,0.00866296,king,light,2014
1,2,4,5,22,47.6,72.7,0.249673,king,light,2014
98,2,4,5,21,49.1,69.7,29.185,king,light,2014
91,2,4,5,21,49.1,69.7,0.00031741,king,light,2014
90,2,4,5,21,49.1,69.7,24.0726,king,light,2014
6,2,4,5,21,49.1,69.7,0.0158271,king,light,2014
5,2,4,5,21,49.1,69.7,0.0158334,king,light,2014
1,2,4,5,21,49.1,69.7,0.42414799999999997,king,light,2014
98,2,4,5,20,51.2,65.1,33.3917,king,light,2014
91,2,4,5,20,51.2,65.1,0.00035662800000000006,king,light,2014
90,2,4,5,20,51.2,65.1,27.0463,king,light,2014
6,2,4,5,20,51.2,65.1,0.019928799999999997,king,light,2014
5,2,4,5,20,51.2,65.1,0.0162614,king,light,2014
1,2,4,5,20,51.2,65.1,0.46387700000000004,king,light,2014
98,2,4,5,19,54.0,60.2,48.5869,king,light,2014
91,2,4,5,19,54.0,60.2,0.000523828,king,light,2014
90,2,4,5,19,54.0,60.2,39.7275,king,light,2014
6,2,4,5,19,54.0,60.2,0.0278218,king,light,2014
5,2,4,5,19,54.0,60.2,0.022739,king,light,2014
1,2,4,5,19,54.0,60.2,0.631703,king,light,2014
98,2,4,5,18,56.0,56.9,55.9714,king,light,2014
91,2,4,5,18,56.0,56.9,0.000605159,king,light,2014
90,2,4,5,18,56.0,56.9,45.8954,king,light,2014
6,2,4,5,18,56.0,56.9,0.0316754,king,light,2014
5,2,4,5,18,56.0,56.9,0.025469,king,light,2014
1,2,4,5,18,56.0,56.9,0.716618,king,light,2014
98,2,4,5,17,56.9,55.5,51.2398,king,light,2014
91,2,4,5,17,56.9,55.5,0.000543572,king,light,2014
90,2,4,5,17,56.9,55.5,41.2245,king,light,2014
6,2,4,5,17,56.9,55.5,0.0316969,king,light,2014
5,2,4,5,17,56.9,55.5,0.0227842,king,light,2014
1,2,4,5,17,56.9,55.5,0.650111,king,light,2014
98,2,4,5,16,57.2,55.5,50.0633,king,light,2014
91,2,4,5,16,57.2,55.5,0.000528541,king,light,2014
90,2,4,5,16,57.2,55.5,40.0859,king,light,2014
6,2,4,5,16,57.2,55.5,0.031451799999999995,king,light,2014
5,2,4,5,16,57.2,55.5,0.0241927,king,light,2014
1,2,4,5,16,57.2,55.5,0.654981,king,light,2014
98,2,4,5,15,56.7,56.8,39.4022,king,light,2014
91,2,4,5,15,56.7,56.8,0.00041538400000000003,king,light,2014
90,2,4,5,15,56.7,56.8,31.502,king,light,2014
6,2,4,5,15,56.7,56.8,0.0250527,king,light,2014
5,2,4,5,15,56.7,56.8,0.017378499999999998,king,light,2014
1,2,4,5,15,56.7,56.8,0.512359,king,light,2014
98,2,4,5,14,55.7,58.9,37.092,king,light,2014
91,2,4,5,14,55.7,58.9,0.000383401,king,light,2014
90,2,4,5,14,55.7,58.9,29.0778,king,light,2014
6,2,4,5,14,55.7,58.9,0.0253396,king,light,2014
5,2,4,5,14,55.7,58.9,0.018522999999999998,king,light,2014
1,2,4,5,14,55.7,58.9,0.5048229999999999,king,light,2014
98,2,4,5,13,54.0,62.0,43.2055,king,light,2014
91,2,4,5,13,54.0,62.0,0.000444821,king,light,2014
90,2,4,5,13,54.0,62.0,33.7345,king,light,2014
6,2,4,5,13,54.0,62.0,0.0301327,king,light,2014
5,2,4,5,13,54.0,62.0,0.0196572,king,light,2014
1,2,4,5,13,54.0,62.0,0.568232,king,light,2014
98,2,4,5,12,52.2,65.1,42.3,king,light,2014
91,2,4,5,12,52.2,65.1,0.00044211699999999995,king,light,2014
90,2,4,5,12,52.2,65.1,33.5299,king,light,2014
6,2,4,5,12,52.2,65.1,0.027646800000000003,king,light,2014
5,2,4,5,12,52.2,65.1,0.0212554,king,light,2014
1,2,4,5,12,52.2,65.1,0.585953,king,light,2014
98,2,4,5,11,50.0,69.0,35.3572,king,light,2014
91,2,4,5,11,50.0,69.0,0.000382004,king,light,2014
90,2,4,5,11,50.0,69.0,28.9707,king,light,2014
6,2,4,5,11,50.0,69.0,0.020047799999999998,king,light,2014
5,2,4,5,11,50.0,69.0,0.0164892,king,light,2014
1,2,4,5,11,50.0,69.0,0.45922299999999994,king,light,2014
98,2,4,5,10,47.6,73.5,37.6846,king,light,2014
91,2,4,5,10,47.6,73.5,0.00040805,king,light,2014
90,2,4,5,10,47.6,73.5,30.9463,king,light,2014
6,2,4,5,10,47.6,73.5,0.021078200000000002,king,light,2014
5,2,4,5,10,47.6,73.5,0.0182843,king,light,2014
1,2,4,5,10,47.6,73.5,0.494541,king,light,2014
98,2,4,5,9,45.1,78.3,77.9064,king,light,2014
91,2,4,5,9,45.1,78.3,0.000916762,king,light,2014
90,2,4,5,9,45.1,78.3,69.5263,king,light,2014
6,2,4,5,9,45.1,78.3,0.025370300000000002,king,light,2014
5,2,4,5,9,45.1,78.3,0.032797,king,light,2014
1,2,4,5,9,45.1,78.3,0.900331,king,light,2014
98,2,4,5,8,42.7,82.5,89.7324,king,light,2014
91,2,4,5,8,42.7,82.5,0.00107883,king,light,2014
90,2,4,5,8,42.7,82.5,81.8163,king,light,2014
6,2,4,5,8,42.7,82.5,0.0235077,king,light,2014
5,2,4,5,8,42.7,82.5,0.036429699999999995,king,light,2014
1,2,4,5,8,42.7,82.5,1.00825,king,light,2014
98,2,4,5,7,40.8,84.8,55.9487,king,light,2014
91,2,4,5,7,40.8,84.8,0.0006746069999999999,king,light,2014
90,2,4,5,7,40.8,84.8,51.1634,king,light,2014
6,2,4,5,7,40.8,84.8,0.013894899999999998,king,light,2014
5,2,4,5,7,40.8,84.8,0.025783799999999996,king,light,2014
1,2,4,5,7,40.8,84.8,0.64873,king,light,2014
98,2,4,5,6,40.8,84.7,13.8311,king,light,2014
91,2,4,5,6,40.8,84.7,0.00016847700000000002,king,light,2014
90,2,4,5,6,40.8,84.7,12.7768,king,light,2014
6,2,4,5,6,40.8,84.7,0.00307213,king,light,2014
5,2,4,5,6,40.8,84.7,0.00554991,king,light,2014
1,2,4,5,6,40.8,84.7,0.15754100000000001,king,light,2014
98,2,4,5,5,41.2,84.1,5.12069,king,light,2014
91,2,4,5,5,41.2,84.1,6.15742e-05,king,light,2014
90,2,4,5,5,41.2,84.1,4.66981,king,light,2014
6,2,4,5,5,41.2,84.1,0.00131865,king,light,2014
5,2,4,5,5,41.2,84.1,0.00231678,king,light,2014
1,2,4,5,5,41.2,84.1,0.060520000000000004,king,light,2014
98,2,4,5,4,41.7,83.6,2.2420400000000003,king,light,2014
91,2,4,5,4,41.7,83.6,2.60187e-05,king,light,2014
90,2,4,5,4,41.7,83.6,1.97322,king,light,2014
6,2,4,5,4,41.7,83.6,0.0008158610000000001,king,light,2014
5,2,4,5,4,41.7,83.6,0.00102752,king,light,2014
1,2,4,5,4,41.7,83.6,0.0286036,king,light,2014
98,2,4,5,3,42.4,82.5,0.87572,king,light,2014
91,2,4,5,3,42.4,82.5,9.950839999999999e-06,king,light,2014
90,2,4,5,3,42.4,82.5,0.754677,king,light,2014
6,2,4,5,3,42.4,82.5,0.00036264099999999997,king,light,2014
5,2,4,5,3,42.4,82.5,0.000519246,king,light,2014
1,2,4,5,3,42.4,82.5,0.013772999999999999,king,light,2014
98,2,4,5,2,43.2,81.2,3.95674,king,light,2014
91,2,4,5,2,43.2,81.2,4.57543e-05,king,light,2014
90,2,4,5,2,43.2,81.2,3.46973,king,light,2014
6,2,4,5,2,43.2,81.2,0.0015024,king,light,2014
5,2,4,5,2,43.2,81.2,0.00157221,king,light,2014
1,2,4,5,2,43.2,81.2,0.05006119999999999,king,light,2014
98,2,4,5,1,44.3,79.7,3.73355,king,light,2014
91,2,4,5,1,44.3,79.7,3.75849e-05,king,light,2014
90,2,4,5,1,44.3,79.7,2.85038,king,light,2014
6,2,4,5,1,44.3,79.7,0.00281468,king,light,2014
5,2,4,5,1,44.3,79.7,0.00177596,king,light,2014
1,2,4,5,1,44.3,79.7,0.048737800000000005,king,light,2014
98,2,4,5,24,45.3,77.8,6.963369999999999,king,medium,2014
91,2,4,5,24,45.3,77.8,7.510399999999999e-05,king,medium,2014
90,2,4,5,24,45.3,77.8,5.70394,king,medium,2014
6,2,4,5,24,45.3,77.8,0.0038326000000000002,king,medium,2014
5,2,4,5,24,45.3,77.8,0.00469346,king,medium,2014
1,2,4,5,24,45.3,77.8,0.0941403,king,medium,2014
98,2,4,5,23,46.4,75.4,18.6857,king,medium,2014
91,2,4,5,23,46.4,75.4,0.000201527,king,medium,2014
90,2,4,5,23,46.4,75.4,15.300999999999998,king,medium,2014
6,2,4,5,23,46.4,75.4,0.0102381,king,medium,2014
5,2,4,5,23,46.4,75.4,0.013352100000000002,king,medium,2014
1,2,4,5,23,46.4,75.4,0.27965100000000004,king,medium,2014
98,2,4,5,22,47.6,72.7,15.3331,king,medium,2014
91,2,4,5,22,47.6,72.7,0.00015198799999999998,king,medium,2014
90,2,4,5,22,47.6,72.7,11.5392,king,medium,2014
6,2,4,5,22,47.6,72.7,0.0117324,king,medium,2014
5,2,4,5,22,47.6,72.7,0.011904399999999999,king,medium,2014
1,2,4,5,22,47.6,72.7,0.248835,king,medium,2014
98,2,4,5,21,49.1,69.7,37.3677,king,medium,2014
91,2,4,5,21,49.1,69.7,0.00039206099999999997,king,medium,2014
90,2,4,5,21,49.1,69.7,29.7644,king,medium,2014
6,2,4,5,21,49.1,69.7,0.0231799,king,medium,2014
5,2,4,5,21,49.1,69.7,0.0278262,king,medium,2014
1,2,4,5,21,49.1,69.7,0.592225,king,medium,2014
98,2,4,5,20,51.2,65.1,34.1264,king,medium,2014
91,2,4,5,20,51.2,65.1,0.000345865,king,medium,2014
90,2,4,5,20,51.2,65.1,26.269000000000002,king,medium,2014
6,2,4,5,20,51.2,65.1,0.024288900000000002,king,medium,2014
5,2,4,5,20,51.2,65.1,0.0247727,king,medium,2014
1,2,4,5,20,51.2,65.1,0.5150399999999999,king,medium,2014
98,2,4,5,19,54.0,60.2,57.1946,king,medium,2014
91,2,4,5,19,54.0,60.2,0.000591204,king,medium,2014
90,2,4,5,19,54.0,60.2,44.8911,king,medium,2014
6,2,4,5,19,54.0,60.2,0.03804880000000001,king,medium,2014
5,2,4,5,19,54.0,60.2,0.0386096,king,medium,2014
1,2,4,5,19,54.0,60.2,0.810616,king,medium,2014
98,2,4,5,18,56.0,56.9,59.757,king,medium,2014
