loop_INode,loop_JNode,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,SR,RID,MP,ARM,Type_,Lanes,Oneway,Dir,ID,Vol_00,Vol_01,Vol_02,Vol_03,Vol_04,Vol_05,Vol_06,Vol_07,Vol_08,Vol_09,Vol_10,Vol_11,Vol_12,Vol_13,Vol_14,Vol_15,Vol_16,Vol_17,Vol_18,Vol_19,Vol_20,Vol_21,Vol_22,Vol_23,Vol_Daily,HOVNT,AB_Vol_10_14,AB_Vol_18_20,AB_Vol_20_5,PSRCEdgeID,HOV_I,HOV_J,NewINode,NewJNode
199581,199582,1,2,1,1,405.0,405,23.21,23.2,H,1.0,0.0,IJ,1,48.05,26.50833333333333,25.43333333333333,31.23333333333333,86.40833333333332,100.525,168.99166666666667,208.3,237.94166666666663,262.1166666666667,288.69166666666666,330.0083333333333,382.8416666666667,451.5916666666668,614.8,989.9833333333331,1143.525,1159.966666666667,986.991666666667,753.2583333333334,440.5583333333333,369.9,231.0833333333333,126.525,9465.233333333332,0,1453.1333333333334,1740.2500000000002,0.0,5411.0,195581.0,195582.0,56679,54880
57322,183632,2,2,2,2,405.0,405,21.77,21.76,G,3.0,0.0,IJ,2,420.2,346.225,308.925,460.175,1109.85,3392.350000000001,5455.700000000002,5073.125,4549.325,4735.25,4382.75,4077.8750000000005,3927.8,3905.15,4046.975,4253.775000000001,4206.950000000001,4155.85,3371.45,2355.9,1885.35,1686.775,1232.575,784.0999999999998,70124.40000000005,0,16293.575,5727.35,9342.925,222163.0,195136.0,195175.0,57322,183632
199759,199068,3,2,3,3,405.0,405,1.71,1.71,H,1.0,0.0,IJ,3,58.93333333333334,29.25833333333333,23.5,23.23333333333333,62.21666666666666,128.71666666666667,294.2999999999999,324.725,304.23333333333335,297.03333333333325,299.20833333333326,351.9666666666667,382.41666666666663,433.41666666666663,536.0,655.4083333333333,800.9416666666667,945.3166666666666,666.025,501.75833333333327,432.6,399.2000000000001,266.46666666666664,136.84166666666667,8353.716666666669,0,1467.0083333333334,1167.783333333333,0.0,7138.0,195759.0,195068.0,184274,114406
199184,199583,4,2,4,4,405.0,405,23.21,23.2,H,1.0,0.0,IJ,4,31.441666666666666,28.100000000000005,13.541666666666664,25.16666666666667,106.01666666666668,276.6,904.0,1263.1916666666666,1111.65,818.3499999999998,534.0583333333334,446.38333333333327,451.48333333333335,485.7000000000001,601.2000000000002,700.5333333333333,755.2583333333333,767.7416666666666,531.4499999999999,424.98333333333335,307.6916666666668,272.45,183.9583333333333,113.94166666666668,11154.891666666676,0,1917.625,956.4333333333332,0.0,5412.0,195184.0,195583.0,187229,56819
114076,112395,5,2,5,5,405.0,405,3.59,3.59,G,2.0,0.0,IJ,5,597.6,368.15,359.25,446.2833333333334,1089.15,2253.65,2787.433333333333,2312.333333333333,2234.0,2522.383333333333,2699.883333333333,2919.166666666666,2963.4166666666674,2976.850000000001,3036.416666666666,3074.4166666666674,3145.45,3229.2833333333333,3099.433333333333,2388.55,2167.4,2039.9333333333332,1571.55,1038.533333333333,51320.51666666665,0,11559.31666666667,5487.983333333334,12904.85,7076.0,195105.0,195262.0,114076,112395
103035,98611,6,2,6,6,405.0,405,8.4,8.37,G,2.0,0.0,IJ,6,566.7166666666667,357.35,317.93333333333334,466.6333333333334,1142.233333333333,2777.866666666667,3712.916666666666,3596.7,3535.916666666666,3528.616666666667,3452.5333333333333,3478.183333333334,3416.8833333333337,3453.100000000001,3538.350000000001,3591.100000000001,3633.8333333333326,3628.9,3182.833333333333,2222.9,1946.55,1860.6,1414.033333333333,923.5166666666664,59746.20000000004,0,13800.7,5405.733333333334,11152.941666666666,6775.0,195695.0,195204.0,103035,98611
114386,114906,7,2,7,7,405.0,405,1.71,1.71,G,3.0,0.0,IJ,7,695.6,470.975,493.5750000000001,678.7750000000002,1538.9,3372.65,4252.35,4322.05,4165.225,3843.45,3751.1,3796.125,3769.9,3784.625,3845.350000000001,3778.8,3775.1,3746.2,3643.6750000000006,3007.125,2523.7249999999995,2353.15,1802.5,1198.35,68609.275,0,15101.75,6650.800000000001,14174.23333333,219075.0,195107.0,195721.0,114386,114906
199795,199796,8,2,8,8,405.0,405,5.36,5.33,H,1.0,0.0,IJ,8,64.65833333333333,22.375,15.916666666666668,28.116666666666664,192.21666666666664,350.45,928.7333333333331,1088.9499999999998,996.9583333333331,855.125,694.3666666666666,660.3083333333333,660.7166666666667,702.0916666666666,766.9083333333333,862.5583333333332,899.45,987.2333333333331,782.075,662.0833333333334,570.1750000000002,537.0333333333333,332.68333333333334,159.55833333333334,13820.74166666667,0,2717.483333333333,1444.158333333333,0.0,6930.0,195795.0,195796.0,109771,109033
199637,199705,9,2,9,9,405.0,405,3.59,3.59,H,1.0,0.0,IJ,9,192.95833333333337,120.95,108.60833333333332,88.525,137.48333333333335,301.06666666666666,527.825,627.2083333333334,578.225,569.9166666666667,594.9166666666667,624.9083333333333,610.5416666666665,669.2166666666665,756.8333333333333,865.5999999999998,910.2833333333331,840.1416666666668,796.9166666666665,756.0499999999998,491.3416666666666,498.8,375.00000000000006,389.50833333333327,12432.82500000001,0,2499.583333333333,1552.9666666666662,0.0,220208.0,195637.0,195705.0,112386,114041
199241,199655,10,2,10,10,405.0,405,28.62,28.6,H,1.0,0.0,IJ,10,33.625,19.86666666666667,20.983333333333327,26.25833333333333,94.33333333333331,103.55,163.4,189.2666666666667,182.1833333333333,193.8333333333333,221.0833333333333,255.8166666666667,289.64166666666665,356.41666666666674,442.0333333333333,678.8416666666667,826.4500000000002,873.4916666666666,634.125,537.1416666666667,322.90833333333325,267.77500000000003,166.84166666666667,79.67500000000003,6979.541666666662,0,1122.958333333333,1171.266666666667,0.0,8239.0,195241.0,195655.0,47057,186111
