Primary,Screenline,ScreenlineName,Observed_Volume
1,14,Auburn,540866
1,30,Bellevue/Redmond,362151
1,44,Bothell,268625
1,37,Kirkland/Redmond,375697
1,43,Lynnwood/Bothell,255467
1,46,Mill Creek,365342
1,23,Renton,85258
1,41,Seattle - North,338825
1,29,Seattle - South of CBD,469433
1,35,Ship Canal,507450
1,4,Tacoma - East of CBD,283164
1,32,TransLake,234150
1,22,Tukwila,245433
1,58,Agate Pass,21000
0,60,Cross-Sound,17412
0,54,Gig Harbor,61503
0,20,Kent,557842
0,57,Kitsap - North,100890
0,18,Maple Valley,75982
0,2,Parkland,275733
0,66,"Preston, Issaquah",91451
0,3,Puyallup,119401
0,19,SeaTac,72335
0,7,Tacoma Narrows,80000
0,71,Woodinville,87944
