,i,j,ij_id,CountID,Location,LocationDetail,FacilityType,observedTot,observedMed,observedHvy,LARGE_AREA,county,lat,lon
163,104807,104813,104807-104813,71,Henderson,MLK to Rainier (e/o Renton Ave),3,853,388,465,Seattle,King,47.52331109,-122.2753227
164,104813,104807,104813-104807,71,Henderson,MLK to Rainier (e/o Renton Ave),3,853,388,465,Seattle,King,47.52331109,-122.2753227
165,106302,107104,106302-107104,72,Renton Ave,Roxbury to Bangor (n/o Prentice),3,425,203,222,Seattle,King,47.51247511,-122.262971
166,107104,106302,107104-106302,72,Renton Ave,Roxbury to Bangor (n/o Prentice),3,425,203,222,Seattle,King,47.51247511,-122.262971
167,105288,106451,105288-106451,73,MLK,Boeing Access to Henderson (n/o Norfolk),3,797,586,211,Seattle,King,47.51705691,-122.2793436
168,106451,105288,106451-105288,73,MLK,Boeing Access to Henderson (n/o Norfolk),3,797,586,211,Seattle,King,47.51705691,-122.2793436
169,99129,99259,99129-99259,75,Corson,Michigan to Lucille (w/o I-5 ramp),3,2968,2008,960,Seattle,King,47.54922433,-122.3209168
170,99259,99129,99259-99129,75,Corson,Michigan to Lucille (w/o I-5 ramp),3,2968,2008,960,Seattle,King,47.54922433,-122.3209168
171,91303,91323,91303-91323,76,Admiral,California to 59th (w/o 49th),3,551,463,88,Seattle,King,47.57931917,-122.3957131
172,91323,91303,91323-91303,76,Admiral,California to 59th (w/o 49th),3,551,463,88,Seattle,King,47.57931917,-122.3957131
173,90892,91413,90892-91413,77,1st Ave,Royal Brougham to Spokane (n/o Lander),3,1691,1580,111,Seattle,King,47.58085319,-122.3341985
174,91413,90892,91413-90892,77,1st Ave,Royal Brougham to Spokane (n/o Lander),3,1691,1580,111,Seattle,King,47.58085319,-122.3341985
175,96181,185695,96181-185695,78,Columbian,15th to Beacon (w/o VA Hospital),3,1000,834,166,Seattle,King,47.56262405,-122.3119071
176,185695,96181,185695-96181,78,Columbian,15th to Beacon (w/o VA Hospital),3,1000,834,166,Seattle,King,47.56262405,-122.3119071
177,105669,105679,105669-105679,79,Roxbury,16th to 26th (w/o 20th),3,603,427,176,Seattle,King,47.51736323,-122.3605244
178,105679,105669,105679-105669,79,Roxbury,16th to 26th (w/o 20th),3,603,427,176,Seattle,King,47.51736323,-122.3605244
179,79245,79249,79245-79249,80,Magnolia Bridge,West of 15th,3,978,765,213,Seattle,King,47.63348784,-122.3828438
180,79249,79245,79249-79245,80,Magnolia Bridge,West of 15th,3,978,765,213,Seattle,King,47.63348784,-122.3828438
181,71799,72222,71799-72222,81,Leary,15th to 20th (w/o 17th),3,1317,875,442,Seattle,King,47.66477448,-122.3798749
182,72222,71799,72222-71799,81,Leary,15th to 20th (w/o 17th),3,1317,875,442,Seattle,King,47.66477448,-122.3798749
183,84032,84037,84032-84037,82,Pine,I-5 to Broadway (e/o Bellevue),3,784,461,323,Seattle,King,47.6152185,-122.3261668
184,84037,84032,84037-84032,82,Pine,I-5 to Broadway (e/o Bellevue),3,784,461,323,Seattle,King,47.6152185,-122.3261668
185,177515,177985,177515-177985,83,008 AV E,S/O SR-7,6,496.5,451,46,Pierce Other,Pierce,47.07372506,-122.4217475
186,177515,177985,177515-177985,83,008 AV E,S/O SR-7,6,496.5,451,46,Pierce Other,Pierce,47.07082357,-122.4217118
187,177515,177985,177515-177985,83,008 AV E,S/O SR-7,6,496.5,451,46,SW Pierce,Pierce,47.07372506,-122.4217475
188,177515,177985,177515-177985,83,008 AV E,S/O SR-7,6,496.5,451,46,SW Pierce,Pierce,47.07082357,-122.4217118
189,177985,177515,177985-177515,83,008 AV E,S/O SR-7,6,496.5,451,46,Pierce Other,Pierce,47.07372506,-122.4217475
190,177985,177515,177985-177515,83,008 AV E,S/O SR-7,6,496.5,451,46,Pierce Other,Pierce,47.07082357,-122.4217118
191,177985,177515,177985-177515,83,008 AV E,S/O SR-7,6,496.5,451,46,SW Pierce,Pierce,47.07372506,-122.4217475
192,177985,177515,177985-177515,83,008 AV E,S/O SR-7,6,496.5,451,46,SW Pierce,Pierce,47.07082357,-122.4217118
193,177975,179257,177975-179257,84,008 AV S,S/O SR-507,6,323,274,50,SW Pierce,Pierce,47.05334216,-122.443088
194,179257,177975,179257-177975,84,008 AV S,S/O SR-507,6,323,274,50,SW Pierce,Pierce,47.05334216,-122.443088
