origin,destination,best_guess,optimistic,pessimistic,time,date,d_city,o_city,dtaz,otaz
"501-505 E 25th St, Tacoma, WA 98421, USA","3200 184th St SW, Lynnwood, WA 98037, USA",67.4333333333,58.0666666667,84.2333333333,pm,10/18/2017,Lynnwood,Tacoma,2570,3108
"501-505 E 25th St, Tacoma, WA 98421, USA","505 Madison St, Seattle, WA 98104, USA",40.45,34.9833333333,52.0666666667,pm,10/18/2017,Seattle,Tacoma,532,3108
"501-505 E 25th St, Tacoma, WA 98421, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",46.4666666667,39.1666666667,58.25,pm,10/18/2017,Bellevue,Tacoma,1552,3108
"505 Madison St, Seattle, WA 98104, USA","2349 Dakota St, Everett, WA 98201, USA",52.3666666667,42.0333333333,68.3833333333,pm,10/18/2017,Everett,Seattle,2286,532
"505 Madison St, Seattle, WA 98104, USA","3200 184th St SW, Lynnwood, WA 98037, USA",39.3,30.2666666667,54.2166666667,pm,10/18/2017,Lynnwood,Seattle,2570,532
"505 Madison St, Seattle, WA 98104, USA","501-505 E 25th St, Tacoma, WA 98421, USA",58.5833333333,49.6166666667,75.6333333333,pm,10/18/2017,Tacoma,Seattle,3108,532
"505 Madison St, Seattle, WA 98104, USA","940-1002 110th Ave NE, Bellevue, WA 98004, USA",21.6333333333,16.45,31.2166666667,pm,10/18/2017,Bellevue,Seattle,1552,532
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","2349 Dakota St, Everett, WA 98201, USA",48.65,38.4,64.4,pm,10/18/2017,Everett,Bellevue,2286,1552
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","3200 184th St SW, Lynnwood, WA 98037, USA",37.2666666667,27.7833333333,53.2666666667,pm,10/18/2017,Lynnwood,Bellevue,2570,1552
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","501-505 E 25th St, Tacoma, WA 98421, USA",74.0666666667,61.3666666667,98.2166666667,pm,10/18/2017,Tacoma,Bellevue,3108,1552
"940-1002 110th Ave NE, Bellevue, WA 98004, USA","505 Madison St, Seattle, WA 98104, USA",33.8166666667,23.7166666667,51.4666666667,pm,10/18/2017,Seattle,Bellevue,532,1552
