OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length
1,1,300,1,5,4498,522,4.210000000000000,32000.000000000000000,Bothways,"Before Milepost 4.22 A: RIGHT INTERSECTION NE 145TH ST,  LEFT INTERSECTION SR 523-NE 145TH ST",NO ERROR,32000.695556600000000,16993.000000000000000,2.000000000000000,194865.000000000000000,194866.000000000000000,58459,58835,660.358068897493130
2,1,273,1,20,2427,099,34.170000000000002,30000.000000000000000,Bothways,Before Milepost 40.44 A: RIGHT WYE CONNECTION N ROOSEVELT WAY,NO ERROR,18432.154995000001000,202297.000000000000000,2.000000000000000,194897.000000000000000,194872.000000000000000,58318,58621,549.982921573414730
3,1,266,1,31,1853,099,43.930000000000000,30000.000000000000000,Bothways,Before Milepost 50.21 A: LEFT WYE CONNECTION 148TH ST SW,NO ERROR,33434.333068799999000,213377.000000000000000,2.000000000000000,194917.000000000000000,194918.000000000000000,33943,35110,2430.957526529028200
4,1,304,1,38,4392,522,7.200000000000000,44000.000000000000000,Bothways,Before Milepost 7.21 A: BOTHWAYS INTERSECTION 68TH AVE NE,NO ERROR,39425.354999499999000,202101.000000000000000,2.000000000000000,195298.000000000000000,195299.000000000000000,54170,54134,547.135631373338920
5,1,269,1,47,2431,099,40.549999999999997,30000.000000000000000,Bothways,Before Milepost 46.83 A: LEFT WYE CONNECTION SR 524,NO ERROR,22026.201477099999000,213773.000000000000000,2.000000000000000,195318.000000000000000,195316.000000000000000,41875,41731,393.756054836282660
6,1,195,1,70,3658,304,0.250000000000000,28000.000000000000000,Bothways,After Milepost 0.19 A: LEFT OFF RAMP SR 3 NB,NO ERROR,32284.761436500001000,201257.000000000000000,2.000000000000000,195364.000000000000000,195290.000000000000000,98303,97079,3101.513190491638900
7,1,294,1,100,2840,104,28.809999999999999,44000.000000000000000,Bothways,"After Milepost 29.33 A: RIGHT INTERSECTION 5TH AVE NE,  LEFT ENTRANCE/EXIT NILE TEMPLE",NO ERROR,37372.689575199998000,9581.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,50415,50421,360.811059376053660
8,1,282,1,143,6801,099R103203,0.040000000000000,1900.000000000000000,South Bound,On R1 RAMP (SR 99 SB TO WESTERN AVE) After LEFT INTERSECTION SR 99 SB,NO ERROR,5601.790283200000000,5928.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,84251,84364,282.292454146990680
9,1,20,2,154,556,005,214.650000000000010,56000.000000000000000,Bothways,Before Milepost 214.61 A: LEFT ON RAMP 300TH ST NW,NO ERROR,54830.473632800000000,8277.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5304,6817,10661.244379189371000
10,1,668,1,1375,2967,166,2.870000000000000,14000.000000000000000,Bothways,Before Milepost 2.90 A: BOTHWAYS INTERSECTION SIDNEY AVE,NO ERROR,10364.388168300000000,111411.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,99775,99880,393.834259695958740
11,1,667,1,1376,2966,166,2.890000000000000,17000.000000000000000,Bothways,After Milepost 2.90 A: BOTHWAYS INTERSECTION SIDNEY AVE,NO ERROR,11656.707824700001000,111412.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,99915,99880,402.243356270048480
12,1,649,1,1601,3000,163,1.710000000000000,11000.000000000000000,Bothways,"After Milepost 1.70 A: CENTER INTERSECTION MED XROAD,  BOTHWAYS INTERSECTION N 37TH ST",NO ERROR,11415.011611899999000,140391.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,144241,143801,885.588375911983800
13,1,372,1,1707,2292,092,5.270000000000000,12000.000000000000000,Bothways,After Milepost 5.26 A: LEFT INTERSECTION 75TH ST NE,NO ERROR,12066.985809300000000,164321.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,16162,16117,270.057013481589140
14,1,393,1,1740,4759,529,1.450000000000000,4700.000000000000000,Bothways,Before Milepost 1.46 A: LEFT INTERSECTION W MARINE VIEW DR,NO ERROR,5415.532501220000100,168596.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,21218,21220,346.773250445017770
15,1,554,1,1864,4837,525,8.510000000000000,9800.000000000000000,Bothways,Before Milepost 8.35 A: RIGHT INTERSECTION 2ND ST,NO ERROR,8346.678466800000000,193678.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,24036,24140,333.559136976765270
16,1,314,1,1891,4799,527,1.990000000000000,20000.000000000000000,Bothways,After Milepost 1.98 A: LEFT INTERSECTION 234TH ST SE,NO ERROR,19648.052978500000000,194707.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,48949,49071,238.509313480731520
17,1,592,1,1895,2203,096,1.410000000000000,32000.000000000000000,Bothways,After Milepost 1.40 A: LEFT WYE CONNECTION SR 527,NO ERROR,40350.719848599998000,198937.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,31839,31855,700.285787252905610
18,1,287,1,1951,2854,104,25.390000000000001,9600.000000000000000,Bothways,Before Milepost 25.44 A: LEFT INTERSECTION SR 104 W BND,NO ERROR,4264.589904790000200,201749.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,45768,46266,972.512041749223390
19,1,288,1,1952,2851,104,25.670000000000002,17000.000000000000000,Bothways,After Milepost 25.70 A: LEFT INTERSECTION SR 104 W BND,NO ERROR,8328.701263430000800,201751.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,46266,46682,856.745590796604460
20,1,387,1,2023,697,009,19.270000000000000,13000.000000000000000,Bothways,After Milepost 19.26 A: LEFT INTERSECTION SR 528,NO ERROR,26010.250854499998000,201775.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,15326,16882,6789.890873072479700
21,1,298,1,2051,2833,104,31.710000000000001,18000.000000000000000,Bothways,Before Milepost 32.25 A: BOTHWAYS WYE CONNECTION SR 522,NO ERROR,19604.892761200001000,202141.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,54956,54751,658.770557788338120
22,1,303,1,2053,4464,522,5.880000000000000,46000.000000000000000,Bothways,After Milepost 5.87 A: LEFT WYE CONNECTION SR 104,NO ERROR,51214.641078900000000,202148.000000000000000,2.000000000000000,194895.000000000000000,194896.000000000000000,54912,54807,436.072071268667170
23,1,650,1,2374,2999,163,2.340000000000000,8700.000000000000000,Bothways,After Milepost 2.33 A: BOTHWAYS INTERSECTION N 46TH ST,NO ERROR,6155.695663450000200,209882.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,142562,142415,315.022566454805770
24,1,654,1,2459,2981,164,11.940000000000000,10000.000000000000000,Bothways,After Milepost 12.24 A: BOTHWAYS INTERSECTION 228TH AVE SE,NO ERROR,12515.365570100001000,207794.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,157345,157366,2498.014232714072900
25,1,532,1,2478,3617,310,0.770000000000000,35000.000000000000000,Bothways,Before Milepost 0.78 A: RIGHT WYE CONNECTION NATIONAL AVE,NO ERROR,16739.461883500000000,208077.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,93219,93233,623.678829881833850
