OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length
26,1,134,1,2512,2830,104COKNGSTN,0.270000000000000,4000.000000000000000,West Bound,After Milepost 24.79 A: BOTHWAYS INTERSECTION IOWA AVE,NO ERROR,1010.782527920000000,208281.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,45795,45653,291.738957247705510
27,1,538,1,2514,3671,303,2.900000000000000,34000.000000000000000,Bothways,Before Milepost 2.75 A: BOTHWAYS INTERSECTION NE RIDDELL RD,NO ERROR,24713.182617200000000,208292.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,85807,84917,1563.651231638256400
28,1,536,1,2535,3673,303,1.610000000000000,35000.000000000000000,Bothways,"Before Milepost 1.46 A: RIGHT INTERSECTION OLD SR 303 SPUR MANETT,  LEFT INTERSECTION SHERIDAN RD",NO ERROR,21709.298034700001000,208589.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,88799,88478,631.862728901665720
29,1,61,1,2647,7582,005LX20247,0.065000000000000,20000.000000000000000,Bothways,"On LX RAMP (116TH ST NE) After RIGHT OFF RAMP S120206,  LEFT ON RAMP R120273",NO ERROR,18819.886169400001000,214656.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,13346,13355,316.848370175729200
30,1,286,1,2651,2855,104,25.120000000000001,9600.000000000000000,Bothways,After Milepost 25.15 A: LEFT WYE CONNECTION SR 524 SPUR,NO ERROR,9732.636444089999700,214677.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,45124,45256,195.585810639091310
31,1,646,1,2672,3014,162,0.820000000000000,18000.000000000000000,Bothways,"Before Milepost 3.21 A: RIGHT INTERSECTION PIONEER WAY E,  LEFT INTERSECTION BOWMAN HILTON RD E",NO ERROR,17799.838623000000000,210798.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,162551,161890,1340.814924735987700
32,1,285,1,2791,2856,104,25.070000000000000,10000.000000000000000,Bothways,Before Milepost 25.12 A: RIGHT WYE CONNECTION PINE ST,NO ERROR,7551.508941650000500,213962.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,45124,44429,1187.577179473984000
33,1,292,1,2833,2845,104,27.469999999999999,20000.000000000000000,Bothways,After Milepost 27.58 A: LEFT WYE CONNECTION 238TH ST SW,NO ERROR,23880.612243700001000,214278.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,49278,49488,643.830887463866360
34,1,345,1,3106,3421,202,18.239999999999998,7400.000000000000000,Bothways,After Milepost 18.25 A: RIGHT INTERSECTION 292ND AVE SE,NO ERROR,7531.036895750000400,204710.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,90400,91905,3388.166864160337400
35,1,426,1,3176,6647,090S102212,0.082000000000000,6400.000000000000000,West Bound,On S1 RAMP (SE 82ND ST TO SR 90 WB) After BOTHWAYS INTERSECTION LX02252-SE 82ND ST,NO ERROR,10234.896545400001000,6811.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,104883,104623,728.934425968410550
36,1,441,1,3181,6558,090R103091,0.256000000000000,3700.000000000000000,West Bound,On R1 RAMP (SR 90 WB TO SR 202) After LEFT INTERSECTION SR 90 WB,NO ERROR,3784.487365720000100,9078.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,111882,111508,801.432225258912690
37,1,438,1,3182,6643,090S103023,0.070000000000000,6200.000000000000000,West Bound,On S1 RAMP (SR 202 TO SR 90 WB) After BOTHWAYS INTERSECTION SR 202,NO ERROR,9228.104919429999400,9079.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,111508,111440,536.141917718070430
38,1,698,1,3183,6853,167P101934,0.232000000000000,15000.000000000000000,North Bound,On P1 RAMP (SR 167 NB TO SR 516) After LEFT INTERSECTION SR 167 NB,NO ERROR,18527.423584000000000,9174.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,128055,127502,1086.774684080260200
39,1,68,1,3205,5903,005S120018,0.120000000000000,13000.000000000000000,South Bound,"On S1 RAMP (88TH ST NE TO SR 5 SB) After RIGHT INTERSECTION 88TH ST NE,  LEFT INTERSECTION LX20078",NO ERROR,14802.585083000000000,193144.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14920,15217,1218.925555113543900
40,1,40,1,3206,5900,005S120837,0.068000000000000,7900.000000000000000,South Bound,On S1 RAMP (PIONEER HWY E TO SR 5 SB) After BOTHWAYS INTERSECTION LX20867-PIONEER HWY E,NO ERROR,3633.279327390000200,193147.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8797,8920,1203.769406449782300
41,1,39,1,3207,5757,005R120889,0.152000000000000,4800.000000000000000,South Bound,On R1 RAMP (SR 5 SB TO PIONEER HWY E) After LEFT INTERSECTION SR 5 SB,NO ERROR,2446.941375729999900,193148.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8666,8797,845.235714295565000
42,1,453,1,3228,6556,090R103500,0.280000000000000,920.000000000000000,West Bound,On R1 RAMP (SR 90 WB TO 468TH AVE SE) After LEFT INTERSECTION SR 90 WB,NO ERROR,441.570164680000000,206481.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,115736,115463,1272.867521696370700
43,1,712,1,3229,6889,167R102473,0.120000000000000,12000.000000000000000,South Bound,On R1 RAMP (SR 167 SB TO E VALLEY RD) After LEFT INTERSECTION SR 167 SB,NO ERROR,8439.206542969999600,206633.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,117746,117860,601.075047594481130
44,1,710,1,3230,6902,167Q102504,0.132000000000000,11000.000000000000000,North Bound,On Q1 RAMP (S 180TH ST TO SR 167 NB) After RIGHT WYE CONNECTION S 180TH ST,NO ERROR,13968.628784200000000,206672.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,118201,117747,1328.089152987993700
45,1,702,1,3231,6891,167R102166,0.224000000000000,9900.000000000000000,South Bound,On R1 RAMP (SR 167 SB TO 84TH AVE SE) After LEFT INTERSECTION SR 167 SB,NO ERROR,11137.350219700000000,206912.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,123454,123644,955.597820993552430
46,1,693,1,3232,6840,167Q101845,0.106000000000000,9500.000000000000000,North Bound,On Q1 RAMP (S 277TH ST TO SR 167 NB) After BOTHWAYS INTERSECTION LX01793-S 277TH ST,NO ERROR,7692.293579100000000,207146.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,132046,131272,1608.374787396427100
47,1,690,1,3233,6854,167P101767,0.216000000000000,6900.000000000000000,North Bound,On P1 RAMP (SR 167 NB TO S 277TH ST) After LEFT INTERSECTION SR 167 NB,NO ERROR,8075.591003419999700,207147.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,132590,132046,1358.236893638710200
48,1,680,1,3243,6896,167R101262,0.256000000000000,4000.000000000000000,South Bound,On R1 RAMP (SR 167 SB TO ELINGSON RD) After LEFT INTERSECTION SR 167 SB,NO ERROR,5457.981384280000400,216523.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,145832,146292,1066.888870004789600
49,1,82,1,3250,5348,005P119449,0.232000000000000,10000.000000000000000,North Bound,On P1 RAMP (SR 5 NB TO GRAND AVE) After LEFT INTERSECTION SR 5 NB,NO ERROR,11221.412292499999000,219348.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20597,20545,344.564678802131430
50,1,72,1,3252,5761,005R119939,0.192000000000000,7400.000000000000000,South Bound,On R1 RAMP (SR 5 SB TO 4TH ST) After LEFT INTERSECTION SR 5 SB,NO ERROR,6284.364593510000300,219351.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16686,16893,834.868277078578900
51,1,444,1,3262,6557,090R103287,0.192000000000000,550.000000000000000,West Bound,On R1 RAMP (SR 90 WB TO 436TH AVE SE) After LEFT INTERSECTION SR 90 WB,NO ERROR,1321.205467219999900,218890.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,114124,114064,734.227581175198110
52,1,26,1,3265,5898,005S121226,0.108000000000000,9800.000000000000000,South Bound,On S1 RAMP (SR 532 TO SR 5 SB) After RIGHT WYE CONNECTION SR 532,NO ERROR,6051.296325680000300,219279.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6936,7018,763.567347541259780
53,1,59,1,3269,5902,005S120206,0.084000000000000,13000.000000000000000,South Bound,On S1 RAMP (116TH ST NE TO SR 5 SB) After BOTHWAYS INTERSECTION LX20247-116TH ST NE,NO ERROR,9849.537353519999700,219293.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,13368,13476,862.263084956437070
54,1,58,1,3277,5547,005Q120287,0.084000000000000,6100.000000000000000,North Bound,On Q1 RAMP (116TH ST NE TO SR 5 NB) After BOTHWAYS INTERSECTION LX20247-116TH ST NE,NO ERROR,6685.992248540000200,219416.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,13347,13260,634.549657445030790
55,1,3,1,3283,5285,005P111641,0.240000000000000,270.000000000000000,North Bound,On P1 RAMP (SR 5 NB TO MOUNTS RD) After LEFT INTERSECTION SR 5 NB,NO ERROR,4215.379882809999800,151061.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,176691,176629,1664.814910003646200
56,1,4,1,3285,5841,005S111642,0.052000000000000,430.000000000000000,South Bound,On S1 RAMP (MOUNTS RD TO SR 5 SB) After BOTHWAYS INTERSECTION LX11670-MOUNTS RD,NO ERROR,4102.820129390000100,121386.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,176557,176609,1097.024692282574500
57,1,711,1,3342,6876,167S102408,0.110000000000000,10000.000000000000000,South Bound,On S1 RAMP (E VALLEY RD TO SR 167 SB) After BOTHWAYS INTERSECTION EAST VALLEY RD,NO ERROR,11036.086303700000000,206632.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,117860,118035,710.755687218100770
58,1,709,1,3343,6850,167P102408,0.288000000000000,11000.000000000000000,North Bound,On P1 RAMP (SR 167 NB TO S 180TH ST) After LEFT INTERSECTION SR 167 NB,NO ERROR,13572.953979500000000,206670.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,118632,118201,1253.027269721376100
59,1,704,1,3344,6890,167R102264,0.192000000000000,11000.000000000000000,South Bound,On R1 RAMP (SR 167 SB TO S 212TH ST) After LEFT INTERSECTION SR 167 SB,NO ERROR,13584.862182600000000,206835.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,121652,121847,635.780160588431270
60,1,705,1,3345,6877,167S102191,0.098000000000000,9200.000000000000000,South Bound,On S1 RAMP (S 212TH ST TO SR 167 SB) After BOTHWAYS INTERSECTION LX02240,NO ERROR,10579.908020000001000,206833.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,121847,122186,992.941634629203460
61,1,701,1,3346,6852,167P102110,0.136000000000000,4800.000000000000000,North Bound,On P1 RAMP (SR 167 NB TO N CNTRL AVE) After LEFT INTERSECTION SR 167 NB,NO ERROR,14129.766235400000000,216371.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,124065,123880,805.195249926740190
62,1,700,1,3347,6878,167S102109,0.056000000000000,6300.000000000000000,South Bound,On S1 RAMP (84TH AVE SE TO SR 167 SB) After BOTHWAYS INTERSECTION LX02131-84TH AVE S,NO ERROR,11778.953613300000000,206910.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,123644,123991,1024.691633434431200
63,1,695,1,3348,6892,167R101989,0.224000000000000,6900.000000000000000,South Bound,On R1 RAMP (SR 167 SB TO SR 516) After LEFT INTERSECTION SR 167 SB,NO ERROR,11144.471923800000000,7450.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,126970,127493,1124.957594988766700
64,1,697,1,3349,6839,167Q102014,0.108000000000000,5600.000000000000000,North Bound,On Q1 RAMP (SR 516 TO SR 167 NB) After BOTHWAYS INTERSECTION SR 516,NO ERROR,13703.588012700000000,9169.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,127502,127116,851.233577803155070
65,1,696,1,3350,6879,167S101913,0.108000000000000,13000.000000000000000,South Bound,On S1 RAMP (SR 516 TO SR 167 SB) After RIGHT WYE CONNECTION SR 516,NO ERROR,18251.762695300000000,7463.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,127493,128071,1164.706655087770700
66,1,692,1,3351,6880,167S101743,0.102000000000000,6500.000000000000000,South Bound,On S1 RAMP (S 277TH ST TO SR 167 SB) After BOTHWAYS INTERSECTION LX01793-S 277TH ST,NO ERROR,7227.253814699999600,207140.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,132038,132616,1421.758022880929700
67,1,691,1,3352,6893,167R101822,0.240000000000000,9100.000000000000000,South Bound,On R1 RAMP (SR 167 SB TO S 277TH ST) After LEFT INTERSECTION SR 167 SB,NO ERROR,11709.385376000000000,207141.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,131619,132038,999.004636877810640
68,1,406,1,3360,7434,522P102293,0.232000000000000,6000.000000000000000,East Bound,On P1 RAMP (SR 522 EB TO 164TH ST) After LEFT INTERSECTION SR 522 EB,NO ERROR,9558.972717290000200,219247.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,37888,37745,856.468712318834260
69,1,408,1,3364,7432,522Q102365,0.086000000000000,1000.000000000000000,East Bound,On Q1 RAMP (164TH ST TO SR 522 EB) After BOTHWAYS ROUNDABOUT LX02315,NO ERROR,687.631988525000000,219362.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,37603,37252,1115.930612062095200
70,1,41,1,3372,5343,005P120846,0.152000000000000,8200.000000000000000,North Bound,On P1 RAMP (SR 5 NB TO SR 530) After LEFT INTERSECTION SR 5 NB,NO ERROR,4081.479476930000100,214749.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8917,8795,887.381121151846170
71,1,35,1,3373,5342,005P121005,0.208000000000000,3100.000000000000000,North Bound,On P1 RAMP (SR 5 NB TO 236TH ST NE) After LEFT INTERSECTION SR 5 NB,NO ERROR,2827.881935120000000,214756.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7997,7879,1465.460065229257500
72,1,30,1,3375,5544,005Q121079,0.124000000000000,990.000000000000000,North Bound,On Q1 RAMP (236TH ST NE TO SR 5 NB) After RIGHT WYE CONNECTION 236TH ST NE,NO ERROR,1729.970016479999900,219285.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7852,7744,1130.694658857103100
73,1,34,1,3376,5899,005S120990,0.104000000000000,3000.000000000000000,South Bound,On S1 RAMP (236TH ST NE TO SR 5 SB) After RIGHT WYE CONNECTION 236TH ST NE,NO ERROR,3002.048706050000000,219288.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7890,7940,714.404106854526840
74,1,25,1,3379,5341,005P121237,0.208000000000000,9400.000000000000000,North Bound,On P1 RAMP (SR 5 NB TO 268TH ST NE) After LEFT INTERSECTION SR 5 NB,NO ERROR,6455.822631840000200,218149.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7022,6918,699.285629541765960
75,1,22,1,3382,5543,005Q121308,0.110000000000000,1000.000000000000000,North Bound,On Q1 RAMP (268TH ST NE TO SR 5 NB) After RIGHT WYE CONNECTION 268TH ST NE,NO ERROR,2291.113159179999900,219282.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6903,6822,782.748501531420630
76,1,18,1,3383,5340,005P121480,0.192000000000000,1400.000000000000000,North Bound,On P1 RAMP (SR 5 NB TO 300TH ST NW) After LEFT INTERSECTION SR 5 NB,NO ERROR,2166.458763120000200,214870.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5275,5110,862.358902499981810
77,0,27,1,3384,27,,0.000000000000000,0.000000000000000,,,,0.000000000000000,214871.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5110,4991,1199.254363943167200
78,1,520,1,3402,6064,016P101046,0.248000000000000,8400.000000000000000,North Bound,On P1 RAMP (SR 16 WB TO OLYMPC DR NW) After LEFT INTERSECTION SR 16 WB,NO ERROR,6686.242370609999900,152387.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,140160,139302,1525.376004887159300
79,1,517,1,3403,6117,016Q101119,0.090000000000000,7500.000000000000000,North Bound,"On Q1 RAMP (OLYMPC DR NW TO SR 16 WB) After RIGHT INTERSECTION OLYMPIC DR NW,  LEFT INTERSECTION LX01074",NO ERROR,4120.420013429999900,152385.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,139302,138574,1565.678637933891400
80,1,519,1,3404,6094,016S101028,0.096000000000000,7500.000000000000000,South Bound,On S1 RAMP (OLYMPC DR NW TO SR 16 EB) After RIGHT WYE CONNECTION OLYMPIC DR NW,NO ERROR,5382.189544679999900,211472.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,139609,140420,1807.297863136331700
81,1,518,1,3405,6106,016R101102,0.256000000000000,6700.000000000000000,South Bound,On R1 RAMP (SR 16 EB TO OLYMPC DR NW) After LEFT INTERSECTION SR 16 EB,NO ERROR,4476.153228760000300,211471.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,138693,139609,1584.947120065590300
82,1,524,1,3409,6062,016P101456,0.224000000000000,8300.000000000000000,North Bound,On P1 RAMP (SR 16 WB TO BURNHM DR NW) After LEFT INTERSECTION SR 16 WB,NO ERROR,6855.464904790000200,218336.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,130932,130213,1405.627456835410200
83,1,521,1,3411,6116,016Q101536,0.106000000000000,6700.000000000000000,North Bound,On Q1 RAMP (BURNHM DR NW TO SR 16 WB) After BOTHWAYS ROUNDABOUT LX01486,NO ERROR,5172.441223140000100,210502.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,130184,129358,1984.294906699407000
84,1,523,1,3412,6093,016S101436,0.106000000000000,7300.000000000000000,South Bound,On S1 RAMP (BURNHM DR NW TO SR 16 EB) After BOTHWAYS ROUNDABOUT LX01486,NO ERROR,6535.627380369999600,216890.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,130131,131029,1933.940820199366000
85,1,522,1,3413,6104,016R101521,0.264000000000000,5300.000000000000000,South Bound,On R1 RAMP (SR 16 EB TO BURNHM DR NW) After LEFT INTERSECTION SR 16 EB,NO ERROR,5952.103546139999700,210083.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,129330,130131,1678.129057175453000
86,1,13,1,3445,7443,705S100050,0.060000000000000,12000.000000000000000,South Bound,On S1 RAMP (21ST ST TO SR 705 SB) After RIGHT WYE CONNECTION LX00072,NO ERROR,14520.754516600000000,9267.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,151232,151567,833.465191460509120
87,1,11,1,3446,7446,705Q100099,0.070000000000000,6700.000000000000000,North Bound,On Q1 RAMP (21ST ST TO SR 705 WB) After RIGHT WYE CONNECTION SR 509,NO ERROR,7882.982025149999600,8097.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,151220,150783,903.521577132243920
88,1,495,1,3447,7445,705R100098,0.200000000000000,6600.000000000000000,South Bound,On R1 RAMP (SR 705 SB TO 21ST ST) After LEFT INTERSECTION SR 705 SB,NO ERROR,10085.704956100000000,9268.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,150645,151232,1290.287408667667500
89,1,586,1,3452,6129,018P101273,0.320000000000000,1800.000000000000000,East Bound,On P1 RAMP (SR 18 EB TO SE 256TH ST) After LEFT INTERSECTION SR 18 EB,NO ERROR,868.134906769000050,221435.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,184375,184374,2156.548752350327000
90,1,588,1,3453,6215,018S501273,0.130000000000000,1800.000000000000000,West Bound,On S5 RAMP (SE 256TH ST TO SR 18 WB) After BOTHWAYS INTERSECTION LX01312,NO ERROR,1303.508605960000100,221436.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,184377,184376,3472.474864662399800
91,1,587,1,3454,6185,018Q101369,0.114000000000000,2400.000000000000000,East Bound,"On Q1 RAMP (SE 256TH ST TO SR 18 EB) After RIGHT INTERSECTION SE 256TH ST,  LEFT INTERSECTION LX01312",NO ERROR,3024.492507930000100,221443.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,184374,184382,3012.803804078683200
92,1,6,1,3460,5864,005S116966R,0.058000000000000,410.000000000000000,South Bound,On S1 RAMP (RAVENNA BLVD TO SR 5 REV) After RIGHT INTERSECTION S116963,NO ERROR,9882.605285640000100,5590.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,70708,183887,1386.698876402861100
