@svtl1,@svtl2,@svtl3,@svnt1,@h2tl1,@h2tl2,@h2tl3,@h2nt1,@h3tl1,@h3tl2,@h3tl3,@h3nt1,@lttrk,@mveh,@hveh,@bveh
63792.300781,24349.130859,12348.979492,2466877.25,10384.000977,21207.351562,11496.581055,450635.25,6416.548828,13012.109375,6426.459473,293692.3125,353352.90625,428167.0625,525864.875,10890.503906,9to10
27817.419922,12771.932617,16813.833984,4341707.0,5889.708496,11783.914062,7658.675781,831643.5,3206.462646,6418.424316,4788.543457,434966.40625,247014.65625,210030.921875,239255.96875,0.0,16to17
23953.902344,10973.766602,11465.727539,4366430.0,5014.34375,10012.654297,6612.868164,978408.75,2714.001221,5437.521484,3616.606201,518239.15625,212248.53125,180931.953125,206260.03125,0.0,15to16
21181.222656,13940.413086,28556.115234,6799563.0,4231.799805,8463.607422,6703.969727,1421111.0,2009.516602,4019.033203,2286.312012,776623.9375,338636.25,278064.46875,275451.59375,0.0,20to5
14359.258789,7608.547363,22283.240234,4285898.0,1677.982666,3367.851074,4143.241211,435874.78125,813.149109,1612.583618,810.131287,299557.25,200253.171875,215223.25,264689.625,16666.986328,7to8
35688.773438,14434.603516,10950.995117,3332903.25,6020.495117,12068.662109,6828.203125,777970.5625,3592.951416,7196.313477,3607.824951,453431.375,203332.921875,249913.8125,303534.25,10890.503906,14to15
14524.669922,7709.391602,10279.835938,3191820.25,1652.056152,3300.482178,2779.09082,406383.46875,801.989563,1590.899048,1021.002136,267107.875,200076.140625,219129.625,266818.96875,16666.986328,8to9
60568.472656,24459.529297,25386.435547,6966940.5,13779.250977,27667.275391,16959.179688,1565911.0,8007.211914,15555.144531,8074.34082,830588.75,243897.46875,186708.015625,169279.703125,0.0,18to20
27639.65625,12759.71875,18821.800781,5325330.0,5928.208496,11862.892578,7485.416016,925156.9375,3190.355713,6357.128906,3899.175781,488135.875,245548.703125,206658.125,236141.84375,0.0,17to18
12404.143555,6591.980469,11959.205078,3214166.25,1419.187012,2857.710938,4796.53418,320229.9375,678.33844,1372.547729,1377.741943,203326.140625,171970.140625,184700.9375,227713.0,16666.986328,6to7
4208.221191,2244.750488,5740.128418,1634102.5,480.757019,946.070862,1245.520874,157327.21875,221.861435,456.310669,494.002441,101071.6875,58524.628906,63561.523438,76347.882812,0.0,5to6
106986.609375,42212.886719,30006.724609,12696564.0,17579.375,35641.742188,20648.943359,2909394.5,11064.967773,22129.125,12701.420898,1767264.125,614051.875,753685.125,916583.25,43562.015625,10to14
