#variable,mode,path-type,vot-group,start-minute,end-minute,length,file-type, name, field, transpose, blend-variable,blend-path-type,factor,scaling
distance,bike,full-network,all,0,1439,maxzone,hdf5,7to8.h5/Skims/mfbkpt,1,False,distance,null,0.15,True
time,bike,full-network,all,0,1439,maxzone,hdf5,7to8.h5/Skims/mfbkpt,1,False,distance,null,null,True
fare,transit,local-bus,all,0,1439,maxzone,hdf5,9to10.h5/Skims/mfmfarbx,1,False,null,null,null,True
fare,transit,light-rail,all,0,1439,maxzone,hdf5,9to10.h5/Skims/mfmfarbx,1,False,null,null,null,True
comtime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwac,1,False,null,null,null,True
comtime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwrc,1,False,null,null,null,True
ferrtime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwaf,1,False,null,null,null,True
ferrtime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwrf,1,False,null,null,null,True
ivtime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwa,1,False,null,null,null,True
ivtime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwr,1,False,null,null,null,True
iwaittime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/iwtwa,1,False,null,null,null,True
iwaittime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/iwtwr,1,False,null,null,null,True
lrttime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwar,1,False,null,null,null,True
lrttime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwrr,1,False,null,null,null,True
nboard,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/ndbwa,1,False,null,null,null,True
nboard,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/ndbwr,1,False,null,null,null,True
premtime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwap,1,False,null,null,null,True
premtime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/ivtwrp,1,False,null,null,null,True
xwaittime,transit,local-bus,all,300,359,maxzone,hdf5,5to6.h5/Skims/xfrwa,1,False,null,null,null,True
xwaittime,transit,light-rail,all,300,359,maxzone,hdf5,5to6.h5/Skims/xfrwr,1,False,null,null,null,True
comtime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwac,1,False,null,null,null,True
comtime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwrc,1,False,null,null,null,True
ferrtime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwaf,1,False,null,null,null,True
ferrtime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwrf,1,False,null,null,null,True
ivtime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwa,1,False,null,null,null,True
ivtime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwr,1,False,null,null,null,True
iwaittime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/iwtwa,1,False,null,null,null,True
iwaittime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/iwtwr,1,False,null,null,null,True
lrttime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwar,1,False,null,null,null,True
lrttime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwrr,1,False,null,null,null,True
nboard,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/ndbwa,1,False,null,null,null,True
nboard,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/ndbwr,1,False,null,null,null,True
premtime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwap,1,False,null,null,null,True
premtime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/ivtwrp,1,False,null,null,null,True
xwaittime,transit,local-bus,all,360,419,maxzone,hdf5,6to7.h5/Skims/xfrwa,1,False,null,null,null,True
xwaittime,transit,light-rail,all,360,419,maxzone,hdf5,6to7.h5/Skims/xfrwr,1,False,null,null,null,True
comtime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwac,1,False,null,null,null,True
comtime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwrc,1,False,null,null,null,True
ferrtime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwaf,1,False,null,null,null,True
ferrtime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwrf,1,False,null,null,null,True
ivtime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwa,1,False,null,null,null,True
ivtime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwr,1,False,null,null,null,True
iwaittime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/iwtwa,1,False,null,null,null,True
iwaittime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/iwtwr,1,False,null,null,null,True
lrttime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwar,1,False,null,null,null,True
lrttime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwrr,1,False,null,null,null,True
nboard,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/ndbwa,1,False,null,null,null,True
nboard,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/ndbwr,1,False,null,null,null,True
premtime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwap,1,False,null,null,null,True
premtime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/ivtwrp,1,False,null,null,null,True
xwaittime,transit,local-bus,all,420,479,maxzone,hdf5,7to8.h5/Skims/xfrwa,1,False,null,null,null,True
xwaittime,transit,light-rail,all,420,479,maxzone,hdf5,7to8.h5/Skims/xfrwr,1,False,null,null,null,True
comtime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwac,1,False,null,null,null,True
comtime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwrc,1,False,null,null,null,True
ferrtime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwaf,1,False,null,null,null,True
ferrtime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwrf,1,False,null,null,null,True
ivtime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwa,1,False,null,null,null,True
ivtime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwr,1,False,null,null,null,True
iwaittime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/iwtwa,1,False,null,null,null,True
iwaittime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/iwtwr,1,False,null,null,null,True
lrttime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwar,1,False,null,null,null,True
lrttime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwrr,1,False,null,null,null,True
nboard,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/ndbwa,1,False,null,null,null,True
nboard,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/ndbwr,1,False,null,null,null,True
premtime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwap,1,False,null,null,null,True
premtime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/ivtwrp,1,False,null,null,null,True
xwaittime,transit,local-bus,all,480,539,maxzone,hdf5,8to9.h5/Skims/xfrwa,1,False,null,null,null,True
xwaittime,transit,light-rail,all,480,539,maxzone,hdf5,8to9.h5/Skims/xfrwr,1,False,null,null,null,True
comtime,transit,local-bus,all,540,599,maxzone,hdf5,9to10.h5/Skims/ivtwac,1,False,null,null,null,True
comtime,transit,light-rail,all,540,599,maxzone,hdf5,9to10.h5/Skims/ivtwrc,1,False,null,null,null,True
ferrtime,transit,local-bus,all,540,599,maxzone,hdf5,9to10.h5/Skims/ivtwaf,1,False,null,null,null,True
ferrtime,transit,light-rail,all,540,599,maxzone,hdf5,9to10.h5/Skims/ivtwrf,1,False,null,null,null,True
