NodeID	ZoneID	XCoord	YCoord	Capacity	Cost
3719	3751	1292480	171093	199	0
3720	3752	1244897	91830	2400	0
3721	3754	1306256	358805	1107	0
3722	3755	1289401	76344	286	0
3723	3756	1279599	349270	0	0
3724	3757	1293417	143069	876	0
3725	3758	1293547	114779	507	0
3726	3760	1287803	339787	0	0
3727	3761	1278070	157729	0	0
3728	3762	1303589	197218	0	0
3729	3764	1308636	258476	0	0
3730	3766	1294376	302477	0	0
3731	3767	1308522	359493	0	0
3732	3768	1279785	172085	0	0
3733	3770	1276788	73848	364	0
3734	3774	1291244	313107	0	0
3735	3775	1301502	177356	0	0
3736	3778	1306619	283461	0	0
3737	3780	1307418	262455	0	0
3738	3781	1307218	247168	0	0
3739	3782	1320004	237745	170	0
3740	3783	1306968	233830	0	0
3741	3784	1303881	186022	0	0
3742	3787	1308312	209856	0	0
3743	3788	1274532	133175	697	0
3744	3789	1343225	195651	0	0
3745	3790	1303323	192173	0	0
3746	3791	1302481	335024	0	0
3747	3794	1305615	344429	0	0
3748	3796	1272142	109339	0	0
3749	3800	1290901	327774	0	0
3750	3801	1205624	120666	306	0
3751	3802	1207546	117354	34	0
3752	3803	1241443	34325	100	0
3753	3804	1274242	62310	350	0
3754	3805	1241740	58142	62	0
3755	3806	1230040	63380	493	0
3756	3807	1227060	89996	75	0
3757	3808	1234018	82282	150	0
3758	3809	1235316	79212	78	0
3759	3810	1236360	79518	44	0
3760	3811	1218429	98025	195	0
3761	3812	1196476	147340	200	0
3762	3813	1223274	116128	79	0
3763	3814	1270895	109056	515	0
3764	3815	1270571	118397	0	0
3765	3817	1402435	316366	64	0
3766	3818	1276219	117359	877	0
3767	3819	1294744	120344	358	0
3768	3820	1277271	134297	540	0
3769	3821	1303250	141644	23	0
3770	3822	1280061	146479	370	0
3771	3823	1291190	143618	713	0
3772	3824	1268256	174822	304	0
3773	3825	1285434	179204	255	0
3774	3826	1340327	147016	122	0
3775	3827	1299069	175583	373	0
3776	3828	1298718	177583	546	0
3777	3829	1306594	187922	146	0
3778	3830	1337055	200124	819	0
3779	3831	1295406	217932	447	0
3780	3832	1296318	213707	30	0
3781	3833	1305731	206149	275	0
3782	3834	1307953	203996	37	0
3783	3835	1310305	208754	75	0
3784	3836	1305596	217050	519	0
3785	3837	1306911	223003	186	0
3786	3838	1314962	214630	1614	0
3787	3840	1294144	235413	51	0
3788	3841	1300644	228187	50	0
3789	3842	1304413	237889	596	0
3790	3843	1319345	233607	203	0
3791	3844	1307424	246840	470	0
3792	3845	1274873	279154	40	0
3793	3846	1322409	249293	211	0
3794	3847	1296392	229734	52	0
3795	3848	1237508	158590	55	0
3796	3849	1328230	248449	283	0
3797	3850	1306916	264387	502	0
3798	3851	1307054	273247	233	0
3799	3853	1294155	279616	603	0
3800	3854	1289668	280149	75	0
3801	3855	1304044	280068	220	0
3802	3856	1316210	278850	438	0
3803	3857	1269297	193466	98	0
3804	3858	1262383	212305	55	0
3805	3859	1273921	250394	247	0
3806	3861	1272431	259789	296	0
3807	3862	1273561	271978	68	0
3808	3863	1281481	271118	54	0
3809	3864	1268242	283392	384	0
3810	3865	1301396	330334	397	0
3811	3866	1237981	169093	48	0
3812	3867	1236853	189485	230	0
3813	3868	1276195	290093	765	0
3814	3869	1277718	290340	30	0
3815	3870	1259716	299897	460	0
3816	3871	1272390	297351	255	0
3817	3872	1281147	300810	1378	0
3818	3875	1198826	135774	0	0
3819	3876	1329692	342494	104	0
3820	3877	1310196	387058	202	0
3821	3878	1309823	404453	51	0
3822	3879	1308855	423448	32	0
3823	3880	1324359	439030	25	0
3824	3881	1296932	454905	147	0
3825	3882	1355067	318951	102	0
3826	3883	1275474	119575	1200	0
3827	3884	1199522	199782	105	0
3828	3885	1229036	191037	313	214
3829	3886	1197785	231611	99	0
3830	3888	1226638	232221	184	447
3831	3889	1196056	272972	138	0
3832	3890	1213305	265004	62	0
3833	3891	1231599	295748	73	72
3834	3892	1216089	272227	56	0
3835	3893	1226899	232139	170	0
3836	3894	1276654	73542	0	0
3837	3895	1248058	74219	68	0
3838	3896	1244465	91792	2283	0
3839	3897	1302125	185604	300	0
3840	3898	1348789	210007	30	0
3841	3900	1269562	286309	202	0
3842	3901	1270957	279490	116	0
3843	3902	1310720	210592	64	0
3844	3903	1298161	163269	100	0
3845	3904	1310602	159927	25	0
3846	3905	1310139	134552	172	0
3847	3906	1311172	425068	50	0
3848	3907	1304194	337027	173	0
3849	3908	1299865	324116	409	0
3850	3909	1301725	292863	302	0
3851	3910	1268126	289233	25	0
3852	3911	1221044	300895	225	0
3853	3912	1193069	282469	100	0
3854	3915	1224728	188459	158	0
3855	3917	1242877	91956	150	0
3856	3918	1190249	38052	125	0
3857	3919	1232466	73801	0	0
3858	3920	1220245	93423	95	0
3859	3921	1290519	314114	1022	0
3860	3922	1304264	66400	356	0
3861	3923	1305333	356876	0	0
3862	3924	1197650	210664	0	0
3863	3925	1280864	172906	600	0
3864	3927	1236279	79805	33	0
3865	3929	1347501	201100	1006	0
3866	3930	1329327	367008	207	0
3867	3931	1277533	78724	0	0
3868	3932	1288703	77667	0	0
3869	3934	1184975	247818	0	0
3870	3937	1210766	316494	0	0
3871	3938	1303084	165340	0	0
3872	3939	1367655	194217	53	0
3873	3940	1228807	296203	220	0
3874	3941	1196597	189503	0	0
3875	3947	1198104	210774	566	357
3876	3948	1305970	358531	0	0
3877	3949	1402594	179829	0	0
3878	3950	1181257	70230	0	0
