TAZ,District,County,SeattleOrNot
290,13,King,Seattle
291,13,King,Seattle
292,13,King,Seattle
293,13,King,Seattle
294,13,King,Seattle
295,13,King,Seattle
296,13,King,Seattle
297,13,King,Seattle
298,13,King,Seattle
299,13,King,Seattle
300,13,King,Seattle
301,13,King,Seattle
302,13,King,Seattle
303,13,King,Seattle
304,13,King,Seattle
305,13,King,Seattle
306,13,King,Seattle
307,13,King,Seattle
308,13,King,Seattle
309,13,King,Seattle
310,13,King,Seattle
311,13,King,Seattle
312,13,King,Seattle
313,13,King,Seattle
314,13,King,Seattle
315,13,King,Seattle
316,13,King,Seattle
317,13,King,Seattle
318,13,King,Seattle
319,13,King,Seattle
320,13,King,Seattle
321,13,King,Seattle
322,13,King,Seattle
323,13,King,Seattle
324,13,King,Seattle
325,13,King,Seattle
326,13,King,Seattle
327,13,King,Seattle
328,13,King,Seattle
329,13,King,Seattle
330,13,King,Seattle
331,12,King,Seattle
332,12,King,Seattle
333,12,King,Seattle
334,12,King,Seattle
335,12,King,Seattle
336,12,King,Seattle
337,12,King,Seattle
338,12,King,Seattle
339,12,King,Seattle
340,12,King,Seattle
341,12,King,Seattle
342,12,King,Seattle
343,12,King,Seattle
344,12,King,Seattle
345,12,King,Seattle
346,12,King,Seattle
347,12,King,Seattle
348,12,King,Seattle
349,12,King,Seattle
350,12,King,Seattle
351,12,King,Seattle
352,12,King,Seattle
353,12,King,Seattle
354,12,King,Seattle
355,12,King,Seattle
356,12,King,Seattle
357,12,King,Seattle
358,12,King,Seattle
359,12,King,Seattle
360,12,King,Seattle
361,12,King,Seattle
362,12,King,Seattle
363,12,King,Seattle
364,12,King,Seattle
365,12,King,Seattle
366,12,King,Seattle
367,12,King,Seattle
368,12,King,Seattle
369,12,King,Seattle
370,12,King,Seattle
371,12,King,Seattle
372,12,King,Seattle
373,12,King,Seattle
374,12,King,Seattle
375,12,King,Seattle
376,12,King,Seattle
377,12,King,Seattle
378,12,King,Seattle
379,12,King,Seattle
380,12,King,Seattle
381,12,King,Seattle
382,12,King,Seattle
383,12,King,Seattle
384,12,King,Seattle
385,12,King,Seattle
386,12,King,Seattle
387,12,King,Seattle
388,12,King,Seattle
389,12,King,Seattle
390,12,King,Seattle
391,12,King,Seattle
392,12,King,Seattle
393,12,King,Seattle
394,12,King,Seattle
395,12,King,Seattle
396,12,King,Seattle
397,12,King,Seattle
398,12,King,Seattle
399,12,King,Seattle
400,12,King,Seattle
401,12,King,Seattle
402,12,King,Seattle
403,12,King,Seattle
404,12,King,Seattle
405,12,King,Seattle
406,12,King,Seattle
407,12,King,Seattle
408,12,King,Seattle
409,12,King,Seattle
410,12,King,Seattle
411,12,King,Seattle
412,12,King,Seattle
413,12,King,Seattle
414,12,King,Seattle
415,12,King,Seattle
416,12,King,Seattle
417,12,King,Seattle
418,12,King,Seattle
419,12,King,Seattle
420,12,King,Seattle
421,12,King,Seattle
422,12,King,Seattle
423,12,King,Seattle
424,12,King,Seattle
425,12,King,Seattle
426,12,King,Seattle
427,12,King,Seattle
428,12,King,Seattle
429,12,King,Seattle
430,12,King,Seattle
431,12,King,Seattle
432,12,King,Seattle
433,12,King,Seattle
434,12,King,Seattle
435,12,King,Seattle
436,12,King,Seattle
437,12,King,Seattle
438,12,King,Seattle
439,12,King,Seattle
440,12,King,Seattle
441,12,King,Seattle
442,12,King,Seattle
443,12,King,Seattle
444,12,King,Seattle
445,11,King,Seattle
446,11,King,Seattle
447,11,King,Seattle
448,11,King,Seattle
449,11,King,Seattle
450,11,King,Seattle
451,11,King,Seattle
452,11,King,Seattle
453,11,King,Seattle
454,11,King,Seattle
455,11,King,Seattle
456,11,King,Seattle
457,11,King,Seattle
458,11,King,Seattle
459,11,King,Seattle
460,11,King,Seattle
461,11,King,Seattle
462,11,King,Seattle
463,11,King,Seattle
464,11,King,Seattle
465,11,King,Seattle
466,11,King,Seattle
467,11,King,Seattle
468,11,King,Seattle
469,11,King,Seattle
470,11,King,Seattle
471,11,King,Seattle
472,11,King,Seattle
473,11,King,Seattle
474,11,King,Seattle
475,11,King,Seattle
476,11,King,Seattle
477,11,King,Seattle
478,11,King,Seattle
479,11,King,Seattle
480,11,King,Seattle
481,11,King,Seattle
482,11,King,Seattle
483,11,King,Seattle
484,11,King,Seattle
485,11,King,Seattle
486,11,King,Seattle
487,11,King,Seattle
488,11,King,Seattle
489,11,King,Seattle
490,11,King,Seattle
491,11,King,Seattle
492,11,King,Seattle
493,11,King,Seattle
494,11,King,Seattle
495,11,King,Seattle
496,11,King,Seattle
497,11,King,Seattle
498,11,King,Seattle
499,11,King,Seattle
500,11,King,Seattle
501,11,King,Seattle
502,11,King,Seattle
503,11,King,Seattle
504,11,King,Seattle
505,11,King,Seattle
506,11,King,Seattle
507,11,King,Seattle
508,11,King,Seattle
509,11,King,Seattle
510,11,King,Seattle
511,11,King,Seattle
512,11,King,Seattle
513,11,King,Seattle
514,11,King,Seattle
515,11,King,Seattle
516,11,King,Seattle
517,11,King,Seattle
518,11,King,Seattle
519,11,King,Seattle
520,11,King,Seattle
521,11,King,Seattle
522,11,King,Seattle
523,11,King,Seattle
524,11,King,Seattle
525,11,King,Seattle
526,11,King,Seattle
527,11,King,Seattle
528,11,King,Seattle
529,11,King,Seattle
530,11,King,Seattle
531,11,King,Seattle
532,11,King,Seattle
533,11,King,Seattle
534,11,King,Seattle
535,11,King,Seattle
536,11,King,Seattle
537,11,King,Seattle
538,11,King,Seattle
539,11,King,Seattle
540,11,King,Seattle
541,11,King,Seattle
542,11,King,Seattle
543,11,King,Seattle
544,11,King,Seattle
545,11,King,Seattle
546,11,King,Seattle
547,12,King,Seattle
548,12,King,Seattle
549,12,King,Seattle
550,12,King,Seattle
551,12,King,Seattle
552,12,King,Seattle
553,12,King,Seattle
554,12,King,Seattle
555,12,King,Seattle
556,12,King,Seattle
557,12,King,Seattle
558,12,King,Seattle
559,12,King,Seattle
560,12,King,Seattle
561,12,King,Seattle
562,12,King,Seattle
563,12,King,Seattle
564,12,King,Seattle
565,12,King,Seattle
566,12,King,Seattle
567,12,King,Seattle
568,12,King,Seattle
569,12,King,Seattle
570,12,King,Seattle
571,12,King,Seattle
572,12,King,Seattle
573,12,King,Seattle
574,12,King,Seattle
575,12,King,Seattle
576,12,King,Seattle
577,12,King,Seattle
578,12,King,Seattle
579,12,King,Seattle
580,12,King,Seattle
581,12,King,Seattle
582,12,King,Seattle
583,12,King,Seattle
584,12,King,Seattle
585,12,King,Seattle
586,12,King,Seattle
587,12,King,Seattle
588,12,King,Seattle
589,12,King,Seattle
590,12,King,Seattle
591,12,King,Seattle
592,12,King,Seattle
593,12,King,Seattle
594,12,King,Seattle
595,12,King,Seattle
596,12,King,Seattle
597,12,King,Seattle
598,12,King,Seattle
599,12,King,Seattle
600,12,King,Seattle
601,12,King,Seattle
602,12,King,Seattle
603,12,King,Seattle
604,12,King,Seattle
605,12,King,Seattle
606,12,King,Seattle
607,12,King,Seattle
608,12,King,Seattle
609,12,King,Seattle
610,11,King,Seattle
611,11,King,Seattle
612,11,King,Seattle
613,11,King,Seattle
