"","Bellevue","Burien","Capitol Hill","Everett","Federal Way","Issaquah","Kent","Kitsap","Lakewood","Lynnwood","Marysville","Mill Creek","North Seattle","Redmond","SE Pierce","Seattle CBD","Shoreline","South Seattle","Tacoma"
"Bellevue",17862,7803,2974,449,1279,4596,2877,40,180,1589,478,1318,2885,11526,656,4945,639,4343,242
"Burien",3861,37001,2684,266,5536,2807,11690,64,624,995,265,567,2317,3165,2177,4792,532,10691,938
"Capitol Hill",4267,7440,19074,487,1189,1526,2230,55,195,2324,388,978,9535,4531,581,17979,1631,9166,279
"Everett",539,766,544,11632,156,290,310,17,31,7943,4566,3942,1304,2846,102,858,891,588,34
"Federal Way",1339,13301,960,125,30564,1139,14071,177,2213,498,118,297,898,1445,11040,1650,241,3445,4047
"Issaquah",10656,15135,1655,541,3367,22408,7733,50,423,1690,628,1537,2252,13825,1772,2944,646,4815,576
"Kent",3626,27221,1225,286,19671,4645,44589,191,1698,849,271,642,1340,3725,8810,2019,391,5477,2397
"Kitsap",1014,3309,863,293,3211,531,2241,73034,9218,2148,257,580,1301,1240,5235,1714,695,1982,5450
"Lakewood",561,3758,291,59,5584,450,3435,2784,29373,218,63,121,343,662,15213,451,109,1227,16777
"Lynnwood",1943,2945,2383,8498,592,874,1063,72,95,34128,3165,10007,7264,9536,307,3691,5491,2366,146
"Marysville",1847,2629,663,10749,560,1172,1051,32,116,12616,53992,10471,2865,10519,395,889,1889,1532,137
"Mill Creek",2827,3080,1156,7506,621,1443,1234,44,135,18377,7129,24010,4460,17372,418,1752,3148,1784,146
"North Seattle",5694,9321,13885,1548,1559,1929,2851,72,293,8558,999,3338,43989,8679,774,17986,6955,10100,396
"Redmond",12368,8751,3419,2459,1811,6750,3670,58,290,9470,3140,9702,5957,60667,1013,5071,2839,4162,373
"SE Pierce",1655,10798,572,134,21000,1440,13347,622,15276,527,208,370,787,1747,96515,816,269,2752,17171
"Seattle CBD",720,1271,2494,62,183,223,347,6,31,315,48,131,1148,619,84,4301,235,1704,37
"Shoreline",889,1566,1596,858,328,334,542,29,45,5669,525,1971,6009,3083,154,2522,5627,1563,84
"South Seattle",4535,18938,6944,367,2713,1955,5268,387,630,1647,308,738,4547,3362,1298,11791,942,27245,910
"Tacoma",631,5280,506,66,9918,570,4966,715,13051,258,70,153,500,738,17829,929,139,1749,30175
