coefficient_name,value,constrain
coef_zero,0,T
coef_lnSize,0,T
coef_abmcalib_01miles,-2,T
coef_abmcalib_12miles,-1.3,T
coef_abmcalib_23miles,0,T
coef_abmcalib_5to15miles,2.5,T
coef_abmcalib_20miles,0,T
coef_mclogsum_univ,0.405897504,F
coef_mclogsum_hsch,1.528594632,F
coef_dist_hsch,-6.876610254,F
coef_sqrtdist_hsch,12.31026275,F
coef_sqrddist_hsch,0.409526691,F
coef_cubeddist_hsch,-0.011680729,F
coef_mclogsum_gs,1.034545173,F
coef_dist_gs,-0.597448625,F
coef_sqrtdist_gs,-3.10618638,F
coef_sqrddist_gs,0.04425123,F
coef_cubeddist_gs,-0.000749646,F
coef_mclogsum_ps,0.5,F
coef_dist_ps,0.4333,F
coef_lndist_ps,4.3415,F
coef_sqrtdist_ps,-7.38,F
coef_sqrddist_ps,0.0125,F
coef_cubeddist_ps,-0.0004,F
coef_univ_dist_0_1,-4.041168201,F
coef_univ_dist_1_2,-2.727947472,F
coef_univ_dist_2_5,-0.803262584,F
coef_univ_dist_5_15,-0.675629241,F
coef_univ_dist_15_up,-0.125026015,F
coef_dist_child_0_5,0.0236,F
coef_dist_child_6_12,-0.0657,F
