Description,Target,Expression
#,, annotate persons table after workplace_location model has run
,distance_to_work,"np.where(persons.workplace_zone_id>=0,skim_dict.lookup(persons.home_zone_id, persons.workplace_zone_id, 'DIST'),np.nan)"
workplace_in_cbd,workplace_in_cbd,"reindex(land_use.area_type, persons.workplace_zone_id) < setting('cbd_threshold')"
work_zone_area_type,work_zone_area_type,"reindex(land_use.area_type, persons.workplace_zone_id)"
#,, auto time to work - free flow travel time in both directions. MTC TM1 was MD and MD
#,,roundtrip_auto_time_to_work
,_auto_time_home_to_work,"skim_dict.lookup(persons.home_zone_id, persons.workplace_zone_id, ('sov_inc2t', 'MD'))"
,_auto_time_work_to_home,"skim_dict.lookup(persons.workplace_zone_id, persons.home_zone_id, ('sov_inc2t', 'MD'))"
,roundtrip_auto_time_to_work,"np.where(persons.workplace_zone_id>=0,_auto_time_home_to_work + _auto_time_work_to_home,0)"
#,,_roundtrip_walk_time_to_work
,_MAX_TIME_TO_WORK,999
,_WALK_SPEED_MPH,3
,_walk_time_home_to_work,"60 * skim_dict.lookup(persons.home_zone_id, persons.workplace_zone_id, 'DISTWALK')/_WALK_SPEED_MPH"
,_walk_time_work_to_home,"60 * skim_dict.lookup(persons.workplace_zone_id, persons.home_zone_id, 'DISTWALK')/_WALK_SPEED_MPH"
,_work_walk_available,(_walk_time_home_to_work > 0) & (_walk_time_work_to_home > 0)
,_roundtrip_walk_time_to_work,"np.where(_work_walk_available, _walk_time_home_to_work + _walk_time_work_to_home, _MAX_TIME_TO_WORK)"
#,,_roundtrip_transit_time_to_work
,_transit_ivt_home_to_work,"skim_dict.lookup(persons.home_zone_id, persons.workplace_zone_id, ('ivtwa', 'MD'))"
,_transit_ivt_work_to_home,"skim_dict.lookup(persons.workplace_zone_id, persons.home_zone_id, ('ivtwa', 'MD'))"
,_work_transit_available,(_transit_ivt_home_to_work > 0) & (_transit_ivt_work_to_home > 0)
,_transit_total_wait,"skim_dict.lookup(persons.home_zone_id, persons.workplace_zone_id, ('twtwa', 'MD')) + skim_dict.lookup(persons.workplace_zone_id, persons.home_zone_id, ('twtwa', 'MD'))"
,_transit_total_walk,"skim_dict.lookup(persons.home_zone_id, persons.workplace_zone_id, ('auxwa', 'MD')) + skim_dict.lookup(persons.workplace_zone_id, persons.home_zone_id, ('auxwa', 'MD'))"
,_roundtrip_transit_time_to_work,_transit_ivt_home_to_work + _transit_ivt_work_to_home + _transit_total_wait + _transit_total_walk
#,,work_auto_savings_ratio
,_min_work_walk_transit,"np.where(_work_transit_available, np.minimum(_roundtrip_transit_time_to_work, _roundtrip_walk_time_to_work), _roundtrip_walk_time_to_work)"
,work_auto_savings,"np.where(persons.is_worker, _min_work_walk_transit - roundtrip_auto_time_to_work, 0)"
#,,auto savings over walk or transit capped at 120 and normalized to unity
,work_auto_savings_ratio,"(work_auto_savings / 120.0).clip(-1.0, 1.0)"
workplace_in_cbd,workplace_in_cbd,"reindex(land_use.area_type, persons.workplace_zone_id) < setting('cbd_threshold')"
workplace AGR employment share,workplace_AGREMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.AGREMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
workplace FOO employment share,workplace_FOOEMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.FOOEMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
workplace FPS employment share,workplace_FPSEMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.FPSEMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
workplace HER employment share,workplace_HEREMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.HEREMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
workplace MWT employment share,workplace_MWTEMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.MWTEMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
workplace OTH employment share,workplace_OTHEMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.OTHEMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
workplace RET employment share,workplace_RETEMPN_share,"np.where(reindex(land_use.TOTEMP, persons.workplace_zone_id)>0, reindex(land_use.RETEMPN, persons.workplace_zone_id) / reindex(land_use.TOTEMP, persons.workplace_zone_id), 0)"
,_dest_hourly_peak_parking_cost,"reindex(land_use.PRKCST, persons.workplace_zone_id)"
pay to park at work,pay_to_park_at_work,"np.where(_dest_hourly_peak_parking_cost>0, 1,0)"
employment density at work,log_employment_density_at_work,"reindex(land_use.log_emptot_1, persons.workplace_zone_id)"
