coefficient_name,value,constrain
coef_emp_density_index_transit_school_univ,0.10124345667535953,F
coef_emp_density_index_transit_work,0.2625032211271852,F
coef_emp_density_index_transit_atwork,0.0,T
coef_topology_walk_disc,0.0,F
coef_topology_walk_maint,0.0,F
coef_topology_walk_school,0.0,F
coef_topology_walk_univ,0.0,F
coef_topology_walk_work,0.0,F
coef_topology_walk_atwork,0.0,F
coef_topology_bike_disc,-0.38811948,F
coef_topology_bike_maint,-0.38811948,F
coef_topology_bike_school,-0.069434009,F
coef_topology_bike_univ,-0.069434009,F
coef_topology_bike_work,-0.38811948,F
coef_topology_bike_atwork,0.0032336,F
coef_topology_trn_disc,-1.703183744,F
coef_topology_trn_maint,-1.703183744,F
coef_topology_trn_school,-2.221867354,F
coef_topology_trn_univ,-2.221867354,F
coef_topology_trn_work,-1.703183744,F
coef_topology_trn_atwork,0.000722,F
coef_age1619_da_disc,0.0,T
coef_age1619_da_maint,0.0,T
coef_age1619_da_school,0.0,T
coef_age1619_da_univ,0.0,T
coef_age1619_da_work,0.0,T
coef_age1619_da_atwork,0.0,T
coef_age010_trn_disc,0.0,T
coef_age010_trn_maint,0.0,T
coef_age010_trn_school,-2.5255244259599277,F
coef_age010_trn_univ,0.0,T
coef_age16p_sr_disc,-1.4471476780900947,F
coef_age16p_sr_maint,0.0,T
coef_age16p_sr_school,0.0,T
coef_age16p_sr_univ,0.0,T
coef_age16p_sr_work,0.0,T
coef_age16p_sr_atwork,0.0,T
coef_hhsize1_sr_disc,-0.6718426313553304,F
coef_hhsize1_sr_maint,-0.8592365454562146,F
coef_hhsize1_sr_school,0.0,F
coef_hhsize1_sr_univ,0.0,T
coef_hhsize1_sr_work,-0.9250222324597335,F
coef_hhsize1_sr_atwork,0.0,T
coef_hhsize2_sr_disc,-0.4358950154729583,F
coef_hhsize2_sr_maint,-0.45537390343291917,F
coef_hhsize2_sr_school,0.0,T
coef_hhsize2_sr_univ,0.0,T
coef_hhsize2_sr_work,-0.5233597854224645,F
coef_hhsize2_sr_atwork,0.0,T
walk_ASC_no_auto_eatout,4.034818337416181,F
walk_ASC_no_auto_escort,16.086974518562908,F
walk_ASC_no_auto_othdiscr,4.91628515823348,F
walk_ASC_no_auto_othmaint,4.037019067918825,F
walk_ASC_no_auto_school,3.383433524381439,F
walk_ASC_no_auto_shopping,4.043074198522205,F
walk_ASC_no_auto_social,4.3137434141932784,F
walk_ASC_no_auto_univ,4.55387991826153,F
walk_ASC_no_auto_work,2.9219726855926527,F
walk_ASC_no_auto_atwork,7.729206413820215,F
walk_ASC_auto_deficient_eatout,2.3707478978749483,F
walk_ASC_auto_deficient_escort,2.386730831474311,F
walk_ASC_auto_deficient_othdiscr,2.8472494584155807,F
walk_ASC_auto_deficient_othmaint,-0.29813580834993336,F
walk_ASC_auto_deficient_school,3.9545728463349974,F
walk_ASC_auto_deficient_shopping,-0.39452698766612293,F
walk_ASC_auto_deficient_social,1.7562254358871296,F
walk_ASC_auto_deficient_univ,3.589354277876336,F
walk_ASC_auto_deficient_work,-0.7528062546180401,F
walk_ASC_auto_deficient_atwork,2.3057271801839847,F
walk_ASC_auto_sufficient_eatout,0.9347205376012839,F
walk_ASC_auto_sufficient_escort,1.7832583847683152,F
walk_ASC_auto_sufficient_othdiscr,2.2862995809574143,F
walk_ASC_auto_sufficient_othmaint,-0.758314733848456,F
walk_ASC_auto_sufficient_school,2.1477214992864186,F
walk_ASC_auto_sufficient_shopping,-0.797749605664648,F
walk_ASC_auto_sufficient_social,0.6613580547008625,F
walk_ASC_auto_sufficient_univ,0.9539269817509982,F
walk_ASC_auto_sufficient_work,-1.9322503353875649,F
walk_ASC_auto_sufficient_atwork,2.084450202049388,F
bike_ASC_no_auto_eatout,1.425896348819105,F
bike_ASC_no_auto_escort,0.0,T
bike_ASC_no_auto_othdiscr,2.417917506509767,F
bike_ASC_no_auto_othmaint,2.1460457096271988,F
bike_ASC_no_auto_school,-11.276392606721025,F
bike_ASC_no_auto_shopping,2.231272485644076,F
bike_ASC_no_auto_social,2.073901116850673,F
bike_ASC_no_auto_univ,3.300299095256332,F
bike_ASC_no_auto_work,0.7373624323715325,F
bike_ASC_no_auto_atwork,4.471965283037413,F
bike_ASC_auto_deficient_eatout,-0.8591694784504174,F
bike_ASC_auto_deficient_escort,0.0,T
bike_ASC_auto_deficient_othdiscr,-1.3045709719433356,F
bike_ASC_auto_deficient_othmaint,-2.304771909019917,F
bike_ASC_auto_deficient_school,-0.3544711118496614,F
bike_ASC_auto_deficient_shopping,-2.863686845125984,F
bike_ASC_auto_deficient_social,-0.03957456780532987,F
bike_ASC_auto_deficient_univ,1.0066043393437414,F
bike_ASC_auto_deficient_work,-2.9562291166298316,F
bike_ASC_auto_deficient_atwork,-304.36176948185073,F
bike_ASC_auto_sufficient_eatout,-3.101816317870346,F
bike_ASC_auto_sufficient_escort,0.0,T
bike_ASC_auto_sufficient_othdiscr,-1.4640683679764457,F
bike_ASC_auto_sufficient_othmaint,-2.9974055442493617,F
bike_ASC_auto_sufficient_school,-1.8652251222160618,F
bike_ASC_auto_sufficient_shopping,-3.195921342418514,F
bike_ASC_auto_sufficient_social,-2.2503510172476457,F
bike_ASC_auto_sufficient_univ,-0.5336363352487793,F
bike_ASC_auto_sufficient_work,-4.181385362650903,F
bike_ASC_auto_sufficient_atwork,-1.1598406812708573,F
sr2_ASC_no_auto_all,1.3545932638468576,F
sr2_ASC_auto_deficient_eatout,1.956353561636892,F
sr2_ASC_auto_deficient_escort,3.0892204559179666,F
sr2_ASC_auto_deficient_othdiscr,1.0540454304441083,F
sr2_ASC_auto_deficient_othmaint,-0.24797089624733318,F
sr2_ASC_auto_deficient_school,1.3820999163448808,F
sr2_ASC_auto_deficient_shopping,-0.1788826038517995,F
sr2_ASC_auto_deficient_social,1.1622503178522472,F
sr2_ASC_auto_deficient_univ,-13.108669788589506,F
sr2_ASC_auto_deficient_work,-0.2689112479079867,F
sr2_ASC_auto_deficient_atwork,-3.8994051245224055,F
sr2_ASC_auto_sufficient_eatout,1.3642364860280332,F
sr2_ASC_auto_sufficient_escort,2.8175525845098592,F
sr2_ASC_auto_sufficient_othdiscr,0.9589599254873287,F
sr2_ASC_auto_sufficient_othmaint,-0.7831468943041143,F
sr2_ASC_auto_sufficient_school,0.43631713527992905,F
sr2_ASC_auto_sufficient_shopping,-0.7992707133976101,F
sr2_ASC_auto_sufficient_social,1.0541652595997675,F
sr2_ASC_auto_sufficient_univ,-0.8268173196388915,F
sr2_ASC_auto_sufficient_work,-0.9542191355598965,F
sr2_ASC_auto_sufficient_atwork,-2.7483086556755576,F
sr3p_ASC_no_auto_eatout,2.1108894467766794,F
sr3p_ASC_no_auto_escort,13.594043829899553,F
sr3p_ASC_no_auto_othdiscr,0.6845997761373864,F
sr3p_ASC_no_auto_othmaint,-10.901231756227357,F
sr3p_ASC_no_auto_school,-13.130626639579077,F
sr3p_ASC_no_auto_shopping,1.6974811008184891,F
sr3p_ASC_no_auto_social,1.6193597960558745,F
sr3p_ASC_no_auto_univ,-14.248326247888865,F
sr3p_ASC_no_auto_work,0.8542152129581742,F
sr3p_ASC_no_auto_atwork,0.519413463399908,F
sr3p_ASC_auto_deficient_eatout,1.0411228613986228,F
sr3p_ASC_auto_deficient_escort,2.4541274627407454,F
sr3p_ASC_auto_deficient_othdiscr,0.7605764742947437,F
sr3p_ASC_auto_deficient_othmaint,-1.131366886923938,F
sr3p_ASC_auto_deficient_school,1.4495938673253717,F
sr3p_ASC_auto_deficient_shopping,-1.7328674689919266,F
sr3p_ASC_auto_deficient_social,0.7055329319205458,F
sr3p_ASC_auto_deficient_univ,-1.4480101744429767,F
sr3p_ASC_auto_deficient_work,-1.2368567062767413,F
sr3p_ASC_auto_deficient_atwork,-3.8073318891589714,F
sr3p_ASC_auto_sufficient_eatout,0.7272637868992721,F
sr3p_ASC_auto_sufficient_escort,2.1439885670939156,F
sr3p_ASC_auto_sufficient_othdiscr,0.32707503411532873,F
sr3p_ASC_auto_sufficient_othmaint,-1.5559693463236295,F
sr3p_ASC_auto_sufficient_school,0.40198089203593507,F
sr3p_ASC_auto_sufficient_shopping,-1.7771570656247229,F
sr3p_ASC_auto_sufficient_social,0.3363355377997095,F
sr3p_ASC_auto_sufficient_univ,-2.007724675579572,F
sr3p_ASC_auto_sufficient_work,-1.4485294615256445,F
sr3p_ASC_auto_sufficient_atwork,-2.815030808528772,F
walk_transit_ASC_no_auto_eatout,2.5860631475277427,F
walk_transit_ASC_no_auto_escort,15.915461637650079,F
walk_transit_ASC_no_auto_othdiscr,3.0613390381140695,F
walk_transit_ASC_no_auto_othmaint,4.483596382871996,F
walk_transit_ASC_no_auto_school,4.441212989186703,F
walk_transit_ASC_no_auto_shopping,4.745997896997811,F
walk_transit_ASC_no_auto_social,3.4465771603095336,F
walk_transit_ASC_no_auto_univ,2.7766974014790207,F
walk_transit_ASC_no_auto_work,2.1627698158547592,F
walk_transit_ASC_no_auto_atwork,1.0082423873133202,F
walk_transit_ASC_auto_deficient_eatout,-0.97577927014553,F
walk_transit_ASC_auto_deficient_escort,-13.972599667388389,F
walk_transit_ASC_auto_deficient_othdiscr,-1.1393245490318318,F
walk_transit_ASC_auto_deficient_othmaint,0.20707692054167146,F
walk_transit_ASC_auto_deficient_school,2.906021149352828,F
walk_transit_ASC_auto_deficient_shopping,-0.7359747330821931,F
walk_transit_ASC_auto_deficient_social,-0.9464241020857751,F
walk_transit_ASC_auto_deficient_univ,0.834993371731226,F
walk_transit_ASC_auto_deficient_work,-1.9207407497396047,F
walk_transit_ASC_auto_deficient_atwork,-3.3058632474510343,F
walk_transit_ASC_auto_sufficient_eatout,-1.3018679830882622,F
walk_transit_ASC_auto_sufficient_escort,-0.35680632196773165,F
walk_transit_ASC_auto_sufficient_othdiscr,-1.5261558344829191,F
walk_transit_ASC_auto_sufficient_othmaint,-0.9958532825229756,F
walk_transit_ASC_auto_sufficient_school,1.4852598874775826,F
walk_transit_ASC_auto_sufficient_shopping,-1.3621764346324057,F
walk_transit_ASC_auto_sufficient_social,-1.3293940325674645,F
walk_transit_ASC_auto_sufficient_univ,-0.6192735420660618,F
walk_transit_ASC_auto_sufficient_work,-3.262175718252363,F
walk_transit_ASC_auto_sufficient_atwork,-3.1310414652076086,F
drive_transit_ASC_no_auto_all,0.0,F
drive_transit_ASC_auto_deficient_eatout,-19.125103036200464,F
drive_transit_ASC_auto_deficient_escort,-15.106827755398438,F
drive_transit_ASC_auto_deficient_othdiscr,-21.721119856571303,F
drive_transit_ASC_auto_deficient_othmaint,-19.721159344760263,F
drive_transit_ASC_auto_deficient_school,-10.40610116,F
drive_transit_ASC_auto_deficient_shopping,-19.533820097498722,F
drive_transit_ASC_auto_deficient_social,-18.666000585613087,F
drive_transit_ASC_auto_deficient_univ,-18.86090102359372,F
drive_transit_ASC_auto_deficient_work,-3.3985575113977724,F
drive_transit_ASC_auto_deficient_atwork,-0.212280676,F
drive_transit_ASC_auto_sufficient_eatout,-0.9999030697125407,F
drive_transit_ASC_auto_sufficient_escort,-18.94203524620824,F
drive_transit_ASC_auto_sufficient_othdiscr,-1.759899941604618,F
drive_transit_ASC_auto_sufficient_othmaint,-1.7654905252169524,F
