Label,Description,Expression,cars0,cars1,cars2,cars3,cars4
util_drivers_calibration_only,1 Adult (age 16+),num_drivers==1,,coef_cars1_drivers_1_calib,coef_cars2_drivers_1_calib,coef_cars3_drivers_1_calib,coef_cars4_drivers_1_calib
util_drivers_2,2 Adult (age 16+),num_drivers==2,,coef_cars1_drivers_2,coef_cars2_drivers_2,coef_cars3_drivers_2,coef_cars4_drivers_2
util_drivers_3,3Adult (age 16+),num_drivers==3,,coef_cars1_drivers_3,coef_cars2_drivers_3,coef_cars3_drivers_3,coef_cars4_drivers_3
util_drivers_4_up,4+ Adults (age 16+),num_drivers>=4,,coef_cars1_drivers_4_up,coef_cars2_drivers_4_up,coef_cars3_drivers_4_up,coef_cars4_drivers_4_up
util_persons_16_17,Persons age 16-17,num_children_16_to_17,,coef_cars1_persons_16_17,coef_cars2_persons_16_17,coef_cars34_persons_16_17,coef_cars34_persons_16_17
util_persons_18_24,Persons age 18-24,num_college_age,,coef_cars1_persons_18_24,coef_cars2_persons_18_24,coef_cars34_persons_18_24,coef_cars34_persons_18_24
util_persons_25_34,Persons age 35-34,num_young_adults,,coef_cars1_persons_25_34,coef_cars2_persons_25_34,coef_cars34_persons_25_34,coef_cars34_persons_25_34
util_presence_children_0_4,Presence of children age 0-4,num_young_children>0,,coef_cars1_presence_children_0_4,coef_cars2_presence_children_0_4,coef_cars34_presence_children_0_4,coef_cars34_presence_children_0_4
util_presence_children_5_17,Presence of children age 5-17,(num_children_5_to_15+num_children_16_to_17)>0,,coef_cars1_presence_children_5_17,coef_cars2_presence_children_5_17,coef_cars34_presence_children_5_17,coef_cars34_presence_children_5_17
util_num_workers_clip_3,Number of workers capped at 3,@df.num_workers.clip(upper=3),,coef_cars1_num_workers_clip_3,coef_cars2_num_workers_clip_3,coef_cars3_num_workers_clip_3,coef_cars4_num_workers_clip_3
util_hh_income_0_24k,Piecewise Linear household income $0-24k,income_in_thousands <  24,,coef_cars1_hh_income_0_24k,coef_cars2_hh_income_0_24k,coef_cars3_hh_income_0_24k,coef_cars4_hh_income_0_24k
util_hh_income_24_43k,Piecewise Linear household income $24-43k,(income_in_thousands >= 24) & (income_in_thousands<43),,coef_cars1_hh_income_24_43k,coef_cars2_hh_income_24_43k,coef_cars3_hh_income_24_43k,coef_cars4_hh_income_24_43k
util_hh_income_43_82k,Piecewise Linear household income $43-82k,(income_in_thousands >= 43) & (income_in_thousands<82),,coef_cars1_hh_income_43_82k,coef_cars2_hh_income_43_82k,coef_cars3_hh_income_43_82k,coef_cars4_hh_income_43_82k
util_hh_income_82_135k,Piecewise Linear household income $82-135k,(income_in_thousands >= 82) & (income_in_thousands<135),,coef_cars1_hh_income_82_135k,coef_cars2_hh_income_82_135k,coef_cars3_hh_income_82_135k,coef_cars4_hh_income_82_135k
util_retail_transit,Retail accessibility (0.66*PK + 0.34*OP) by transit,(0.66*trPkRetail+0.34*trOpRetail),,coef_cars1_retail_transit,coef_cars2_retail_transit,coef_cars3_retail_transit,coef_cars4_retail_transit
util_retail_non_motor,Retail accessibility by non-motorized,nmRetail,,coef_cars1_retail_non_motor,coef_cars2_retail_non_motor,coef_cars3_retail_non_motor,coef_cars4_retail_non_motor
#util_auto_time_saving_per_worker,Auto time savings per worker to work,"@np.where(df.num_workers > 0, df.hh_work_auto_savings_ratio / df.num_workers, 0)",,coef_cars1_auto_time_saving_per_worker,coef_cars2_auto_time_saving_per_worker,coef_cars3_auto_time_saving_per_worker,coef_cars4_auto_time_saving_per_worker
#util_univ_students_GQ,University Students living in GQ households,(num_college_age > 0) & (type == 3),,coef_cars1_univ_GQ,coef_unavailable,coef_unavailable,coef_unavailable
util_asc,Constants,1,,coef_cars1_asc,coef_cars2_asc,coef_cars3_asc,coef_cars4_asc
util_employment_density,Total households half mile,@df.log_emptot_1,,coef_cars1_emp_density,coef_cars2_emp_density,coef_cars3_emp_density,coef_cars4_emp_density
util_household_density,Total households half mile,@df.log_hh_1,,coef_cars1_res_density,coef_cars2_res_density,coef_cars3_res_density,coef_cars4_res_density
#util_density,Density index,@df.density_index,,coef_cars1_density,coef_cars2_density,coef_cars3_density,coef_cars4_density
# Disaggregate accessibilities,,,,,,,
util_nonmand_logsum_zero_auto,Average non-mandatory disaggrage accessibility -- zero autos,(shopping_accessibility_0 + othdiscr_accessibility_0) / 2,coef_nonmand_logsum_zero_auto,,,,
