vehicle_type,body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Car_3_Hybrid,Car,Hybrid,2023,10,78,31.0,409,34509.34,21.29,316.36
Car_4_Hybrid,Car,Hybrid,2022,9,71,32.6,430,32783.88,20.74,305.79
Car_5_Hybrid,Car,Hybrid,2021,9,67,32.6,430,31144.68,20.73,308.86
Car_6_Hybrid,Car,Hybrid,2020,12,47,35.8,473,29587.45,19.77,289.69
Car_7_Hybrid,Car,Hybrid,2019,13,43,37.0,488,28108.08,19.45,270.98
Car_8_Hybrid,Car,Hybrid,2018,11,30,40.2,531,26702.67,18.7,236.6
Car_9_Hybrid,Car,Hybrid,2017,11,29,40.4,533,25367.54,18.67,242.55
Car_10_Hybrid,Car,Hybrid,2016,14,30,36.8,486,24099.16,19.51,253.65
Car_11_Hybrid,Car,Hybrid,2015,12,32,35.5,469,22894.2,19.85,261.42
Car_12_Hybrid,Car,Hybrid,2014,15,38,34.8,459,21749.49,20.06,270.95
Car_13_Hybrid,Car,Hybrid,2013,15,32,35.3,466,20662.02,19.91,265.21
Car_14_Hybrid,Car,Hybrid,2012,12,23,34.2,451,19628.92,20.23,280.1
Car_15_Hybrid,Car,Hybrid,2011,11,18,33.6,444,18647.47,20.43,285.2
Car_16_Hybrid,Car,Hybrid,2010,8,12,34.5,455,17715.1,20.13,276.5
Car_17_Hybrid,Car,Hybrid,2009,6,8,32.2,425,16829.34,20.85,293.75
Car_18_Hybrid,Car,Hybrid,2008,6,8,31.8,420,15987.88,21.02,299.43
Car_19_Hybrid,Car,Hybrid,2007,5,7,33.3,440,15188.48,20.52,281.75
Car_0_PEV,Car,PEV,2026,5,14,19.1,252,43750.0,28.35,259.64
Car_1_PEV,Car,PEV,2025,7,31,22.2,293,41562.5,25.75,247.45
Car_2_PEV,Car,PEV,2024,5,8,29.8,393,39484.38,21.76,200.75
Car_3_PEV,Car,PEV,2023,10,20,27.4,362,37510.16,22.75,214.3
Car_4_PEV,Car,PEV,2022,10,23,28.3,374,35634.65,22.38,196.09
Car_5_PEV,Car,PEV,2021,12,30,27.8,367,33852.92,22.59,173.63
Car_6_PEV,Car,PEV,2020,13,28,30.5,403,32160.27,21.46,160.39
Car_7_PEV,Car,PEV,2019,12,27,31.8,420,30552.26,21.01,159.63
Car_8_PEV,Car,PEV,2018,14,26,32.2,425,29024.64,20.87,160.81
Car_9_PEV,Car,PEV,2017,9,14,35.1,463,27573.41,19.96,138.64
Car_10_PEV,Car,PEV,2016,8,14,33.8,446,26194.74,20.36,142.21
Car_11_PEV,Car,PEV,2015,8,11,32.1,424,24885.0,20.91,181.55
Car_12_PEV,Car,PEV,2014,8,10,35.1,463,23640.75,19.97,160.0
Car_13_PEV,Car,PEV,2013,3,4,40.8,539,22458.72,18.59,118.0
Car_14_PEV,Car,PEV,2012,3,3,35.7,471,21335.78,19.81,129.67
