coefficient_name,value,constrain
coef_one,1,T
coef_zero,0,T
coef_nest_root,1,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_nest_SCHOOL_BUS,0.5,T
#,,
coef_ivt_disc,-0.03,F
coef_ivt_maint,-0.034,F
coef_ivt_school,-0.02,F
coef_ivt_univ,-0.032,F
coef_ivt_work,-0.032,F
coef_ivt_atwork,-0.064,F
coef_inc_adj_cost_disc,-0.524,F
coef_inc_adj_cost_maint,-0.524,F
coef_inc_adj_cost_school,-0.524,F
coef_inc_adj_cost_univ,-0.524,F
coef_inc_adj_cost_work,-1.25,F
coef_inc_adj_cost_atwork,-0.524,F
coef_ivt_lr_disc,-0.02511,F
coef_ivt_lr_maint,-0.02511,F
coef_ivt_lr_school,-0.02439,F
coef_ivt_lr_univ,-0.02439,F
coef_ivt_lr_work,-0.0198,F
coef_ivt_lr_atwork,-0.02511,F
coef_ivt_fry_disc,-0.2232,F
coef_ivt_fry_maint,-0.2232,F
coef_ivt_fry_school,-0.2168,F
coef_ivt_fry_univ,-0.2168,F
coef_ivt_fry_work,-0.176,F
coef_ivt_fry_atwork,-0.2232,F
coef_ivt_com_disc,-0.01953,F
coef_ivt_com_maint,-0.01953,F
coef_ivt_com_school,-0.01897,F
coef_ivt_com_univ,-0.01897,F
coef_ivt_com_work,-0.0154,F
coef_ivt_com_atwork,-0.01953,F
coef_walktime_short_disc,-0.0558,F
coef_walktime_short_maint,-0.0558,F
coef_walktime_short_school,-0.0542,F
coef_walktime_short_univ,-0.0542,F
coef_walktime_short_work,-0.044,F
coef_walktime_short_atwork,-0.0558,F
coef_walktime_long_disc,-0.279,F
coef_walktime_long_maint,-0.279,F
coef_walktime_long_school,-0.271,F
coef_walktime_long_univ,-0.271,F
coef_walktime_long_work,-0.22,F
coef_walktime_long_atwork,-0.279,F
coef_biketime_short_disc,-0.1116,F
coef_biketime_short_maint,-0.1116,F
coef_biketime_short_school,-0.1084,F
coef_biketime_short_univ,-0.1084,F
coef_biketime_short_work,-0.088,F
coef_biketime_short_atwork,-0.1116,F
coef_biketime_long_disc,-0.558,F
coef_biketime_long_maint,-0.558,F
coef_biketime_long_school,-0.542,F
coef_biketime_long_univ,-0.542,F
coef_biketime_long_work,-0.44,F
coef_biketime_long_atwork,-0.558,F
coef_iwait_disc,-0.0558,F
coef_iwait_maint,-0.0558,F
coef_iwait_school,-0.0542,F
coef_iwait_univ,-0.0542,F
coef_iwait_work,-0.044,F
coef_iwait_atwork,-0.0558,F
coef_iwait_ridehail_disc,-0.04185,F
coef_iwait_ridehail_maint,-0.04185,F
coef_iwait_ridehail_school,-0.04065,F
coef_iwait_ridehail_univ,-0.04065,F
coef_iwait_ridehail_work,-0.033,F
coef_iwait_ridehail_atwork,-0.04185,F
coef_xwait_disc,-0.0558,F
coef_xwait_maint,-0.0558,F
coef_xwait_school,-0.0542,F
coef_xwait_univ,-0.0542,F
coef_xwait_work,-0.044,F
coef_xwait_atwork,-0.0558,F
coef_xfer_disc,-0.279,F
coef_xfer_maint,-0.279,F
coef_xfer_school,-0.271,F
coef_xfer_univ,-0.271,F
coef_xfer_work,-0.22,F
coef_xfer_atwork,-0.279,F
coef_dtim_disc,-0.0558,F
coef_dtim_maint,-0.0558,F
coef_dtim_school,-0.0542,F
coef_dtim_univ,-0.0542,F
coef_dtim_work,-0.044,F
coef_dtim_atwork,-0.0558,F
coef_density_index_disc,0.1395,F
coef_density_index_maint,0.1395,F
coef_density_index_school,0.1355,F
coef_density_index_univ,0.1355,F
coef_density_index_work,0.11,F
coef_density_index_atwork,0.1395,F
coef_topology_walk_disc,0,F
coef_topology_walk_maint,0,F
coef_topology_walk_school,0,F
coef_topology_walk_univ,0,F
coef_topology_walk_work,0,F
coef_topology_walk_atwork,0,F
coef_topology_bike_disc,0,F
coef_topology_bike_maint,0,F
coef_topology_bike_school,0,F
coef_topology_bike_univ,0,F
coef_topology_bike_work,0,F
coef_topology_bike_atwork,0,F
coef_female_bike_disc,-0.7423365124359972,F
coef_female_bike_maint,-0.2558487696616779,F
coef_female_bike_school,0.00001,T
coef_female_bike_univ,0.00001,T
coef_female_bike_work,-0.69763731339318,F
coef_female_bike_atwork,-14.236119237107628,F
coef_topology_trn_disc,0,F
coef_topology_trn_maint,0,F
coef_topology_trn_school,0,F
coef_topology_trn_univ,0,F
coef_topology_trn_work,0,F
coef_topology_trn_atwork,0,F
coef_age1619_da_disc,0,F
coef_age1619_da_maint,0,F
coef_age1619_da_school,0,F
coef_age1619_da_univ,0,F
coef_age1619_da_work,0,F
coef_age1619_da_atwork,0,F
coef_age010_trn_disc,0,F
coef_age010_trn_maint,0,F
coef_age010_trn_school,0,F
coef_age010_trn_univ,0,F
coef_age010_trn_work,0,F
coef_age010_trn_atwork,0,F
coef_age16p_sr_disc,0,F
coef_age16p_sr_maint,0,F
coef_age16p_sr_school,0,F
coef_age16p_sr_univ,0,F
coef_age16p_sr_work,0,F
coef_age16p_sr_atwork,0,F
coef_hhsize1_sr_disc,-0.7346,F
coef_hhsize1_sr_maint,-0.7346,F
coef_hhsize1_sr_school,-0.7346,F
coef_hhsize1_sr_univ,-0.7346,F
coef_hhsize1_sr_work,-0.7346,F
coef_hhsize1_sr_atwork,-0.7346,F
coef_hhsize2_sr_disc,0,F
coef_hhsize2_sr_maint,0,F
