Description,Target,Expression,
local,_DF_IS_TOUR,'tour_type' in df.columns,
,is_atwork_subtour,(df.tour_category == 'atwork') if _DF_IS_TOUR else False,
#,_parent_tour_veh,"reindex(tours['selected_vehicle'], df['parent_tour_id']) if 'selected_vehicle' in df.columns else np.nan",
#,_parent_tour_mode,"reindex(tours['tour_mode'], df['parent_tour_id']) if 'tour_mode' in df.columns else np.nan",
#,_sov_veh_option,"np.where(is_atwork_subtour, _parent_tour_veh, df.get('vehicle_occup_1', np.nan))",
,num_participants,df.number_of_participants if _DF_IS_TOUR else 1,
# cost coef,,,
,_income_exponent,"np.where(df.get('tour_type') == 'work', 0.6, 0.5) if _DF_IS_TOUR else 0.5",
,cost_sensitivity,"np.maximum(df.income,1000).pow(_income_exponent)",
# Auto operating costs,,,
,sov_auto_op_cost,costPerMile,
#transit pass subsidy,_transit_pass_subsidy,"df.get('transit_pass_subsidy', False)",
#transit pass ownership,_transit_pass_ownership,"df.get('transit_pass_ownership', False)", 
#transit subsidy pass discount, transitSubsidyPassDiscount,"np.where(_transit_pass_subsidy | _transit_pass_ownership,0,1)",
# cost coef,,,
,coef_ivt,"np.where(df.tour_type == 'work', -0.016, -0.017)",
,coef_inc_adj_cost,"np.where(df.tour_type == 'work', -0.625, -0.262)",
,income_exponent,"np.where(df.tour_type == 'work', 0.6, 0.5)",
,c_cost,"coef_inc_adj_cost / (np.maximum(df.income,1000)**income_exponent)",
# ivt coef,,,
,time_factor,"np.where(df.tour_type=='work', df.time_factor_work, df.time_factor_nonwork)",
,c_ivt,coef_ivt * time_factor,
#,,,
,vot_d_pnr,c_ivt / c_cost * 0.6,
,vot_bin_d_pnr,"np.where(vot_d_pnr < vot_threshold_low, 1, np.where(vot_d_pnr < vot_threshold_med, 2, 3))",
# pnr auto skims,,,
#,d_pnr_dist_skims_out,(((odt_skims['sov_inc1d']) * (_vot_bin_d_pnr == 1)) + ((odt_skims['sov_inc2d']) * (_vot_bin_d_pnr == 2)) + ((odt_skims['sov_inc3d']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_dist_skims_inb,(((dot_skims['sov_inc1d']) * (_vot_bin_d_pnr == 1)) + ((dot_skims['sov_inc2d']) * (_vot_bin_d_pnr == 2)) + ((dot_skims['sov_inc3d']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_vtoll_skims_out,(((odt_skims['sov_inc1c']) * (_vot_bin_d_pnr == 1)) + ((odt_skims['sov_inc2c']) * (_vot_bin_d_pnr == 2)) + ((odt_skims['sov_inc3c']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_vtoll_skims_inb,(((dot_skims['sov_inc1c']) * (_vot_bin_d_pnr == 1)) + ((dot_skims['sov_inc2c']) * (_vot_bin_d_pnr == 2)) + ((dot_skims['sov_inc3c']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_time_skims_out,(((olt_skims['sov_inc1t']) * (_vot_bin_d_pnr == 1)) + ((olt_skims['sov_inc2t']) * (_vot_bin_d_pnr == 2)) + ((olt_skims['sov_inc3t']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_time_skims_inb,(((lot_skims['sov_inc1t']) * (_vot_bin_d_pnr == 1)) + ((lot_skims['sov_inc2t']) * (_vot_bin_d_pnr == 2)) + ((lot_skims['sov_inc3t']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_time_skims_out,(((olt_skims['sov_inc1t']) * (_vot_bin_d_pnr == 1)) + ((olt_skims['sov_inc2t']) * (_vot_bin_d_pnr == 2)) + ((olt_skims['sov_inc3t']) * (_vot_bin_d_pnr == 3))),
#,d_pnr_time_skims_inb,(((lot_skims['sov_inc1t']) * (_vot_bin_d_pnr == 1)) + ((lot_skims['sov_inc2t']) * (_vot_bin_d_pnr == 2)) + ((lot_skims['sov_inc3t']) * (_vot_bin_d_pnr == 3))),
