coefficient_name,value,constrain
coef_UNAVAILABLE,-999,T
coef_full_time_worker_asc_M,2.63,F
coef_full_time_worker_asc_N,0.247,F
coef_part_time_worker_asc_M,2.46,F
coef_part_time_worker_asc_N,0.908,F
coef_university_student_asc_M,-0.782,F
coef_university_student_asc_N,0,T
coef_non_working_adult_asc_N,0.869,F
coef_retired_asc_N,0.459,F
coef_driving_age_child_who_is_in_school_asc_M,0,T
coef_driving_age_child_who_is_in_school_asc_N,-0.352,F
coef_pre_driving_age_child_who_is_in_school_asc_M,1.25,F
coef_pre_driving_age_child_who_is_in_school_asc_N,-0.257,F
coef_pre_driving_age_child_who_is_too_young_for_school_asc_M,0,T
coef_pre_driving_age_child_who_is_too_young_for_school_asc_N,0.417,F
coef_part_time_worker_interaction_with_age_less_than_35_M,-0.636,F
coef_part_time_worker_interaction_with_age_less_than_35_N,-0.907,F
coef_university_student_interaction_with_age_25_to_34_M,1.26,F
coef_university_student_interaction_with_age_less_than_25_M,1.58,F
coef_retired_interaction_with_age_75_to_84_H,0.198,F
coef_retired_interaction_with_age_85_or_more_H,0.824,F
coef_part_time_worker_interaction_with_female_gender_N,0.453,F
coef_university_student_interaction_with_female_gender_M,0.617,F
coef_university_student_interaction_with_female_gender_N,0.667,F
coef_full_time_worker_interaction_with_zero_cars_M,-0.26,F
coef_full_time_worker_interaction_with_zero_cars_N,-0.624,F
coef_university_student_interaction_with_cars_greater_than_or_equal_adults_M,1.08,F
coef_university_student_interaction_with_cars_greater_than_or_equal_adults_N,0.452,F
coef_non_working_adult_interaction_with_zero_cars_N,-0.979,F
coef_non_working_adult_interaction_with_fewer_cars_than_adults_N,-0.561,F
coef_retired_interaction_with_cars_greater_than_or_equal_adults_N,0.278,F
coef_driving_age_child_who_is_in_school_interaction_with_cars_greater_than_or_equal_adults_M,1.04,F
coef_full_time_worker_interaction_with_hh_income_less_than_25k_M,-0.651,F
coef_non_working_adult_interaction_with_hh_income_between_150k_and_200k_N,0.513,F
coef_non_working_adult_interaction_with_hh_income_200k_or_more_N,1.19,F
coef_retired_interaction_with_hh_income_between_100k_and_150k_N,0.273,F
coef_retired_interaction_with_hh_income_150k_or_more_N,0.586,F
coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_150k_or_more_M,0.725,F
coef_pre_driving_age_child_who_is_in_school_interaction_with_hh_income_150k_or_more_N,0.554,F
coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_150k_and_200k_M,0.994,F
coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_between_150k_and_200k_N,0.471,F
coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_200k_or_more_M,1.11,F
coef_pre_driving_age_child_who_is_too_young_for_school_interaction_with_hh_income_200k_or_more_N,-0.768,F
coef_full_time_worker_interaction_with_telecommute_1_day_week_H,0.228,F
coef_full_time_worker_interaction_with_telecommute_1_day_week_N,0.425,F
coef_full_time_worker_interaction_with_telecommute_2_3_days_week_H,1.04,F
coef_full_time_worker_interaction_with_telecommute_2_3_days_week_N,1.26,F
coef_full_time_worker_interaction_with_telecommute_4_days_week_H,2.46,F
coef_full_time_worker_interaction_with_telecommute_4_days_week_N,2.67,F
coef_part_time_worker_interaction_with_telecommute_1_day_week_H,0.807,F
coef_part_time_worker_interaction_with_telecommute_1_day_week_N,1.24,F
coef_part_time_worker_interaction_with_telecommute_2_3_days_week_H,0.957,F
coef_part_time_worker_interaction_with_telecommute_2_3_days_week_N,1.37,F
coef_part_time_worker_interaction_with_telecommute_4_days_week_H,1.24,F
coef_part_time_worker_interaction_with_telecommute_4_days_week_N,1.48,F
coef_full_time_worker_interaction_with_telecommuter_N,0,F
coef_full_time_worker_interaction_with_telecommuter_H,0,F
coef_part_time_worker_interaction_with_telecommuter_N,0,F
coef_part_time_worker_interaction_with_telecommuter_H,0,F
coef_university_student_interaction_with_telecommuter_N,0,F
coef_university_student_interaction_with_telecommuter_H,0,F
coef_full_time_worker_interaction_with_telecommute_hours_N,0,F
coef_full_time_worker_interaction_with_telecommute_hours_week_H,0,F
coef_part_time_worker_interaction_with_telecommute_hours_N,0,F
coef_part_time_worker_interaction_with_telecommute_hours_week_H,0,F
coef_university_student_interaction_with_telecommute_hours_N,0,F
coef_university_student_interaction_with_telecommute_hours_week_H,0,F
coef_full_time_worker_interaction_with_work_from_home_N,0.408,F
coef_full_time_worker_interaction_with_not_work_from_home_no_telework_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_M,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_M,0,F
