coefficient_name,value,constrain
coef_part_time_worker_interaction_with_not_work_from_home_no_telework_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_M,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_M,0,F
coef_full_time_worker_interaction_with_work_from_home_not_working_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_0_to_1_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_1_to_2_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_2_to_3_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_3_to_4_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_4_to_5_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_5_to_6_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_6_to_7_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_7_to_8_hr_N,0,F
coef_full_time_worker_interaction_with_work_from_home_telework_8_plus_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_no_telework_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_N,0,F
coef_full_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_not_working_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_0_to_1_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_1_to_2_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_2_to_3_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_3_to_4_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_4_to_5_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_5_to_6_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_6_to_7_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_7_to_8_hr_N,0,F
coef_part_time_worker_interaction_with_work_from_home_telework_8_plus_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_no_telework_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_0_to_1_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_1_to_2_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_2_to_3_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_3_to_4_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_4_to_5_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_5_to_6_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_6_to_7_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_7_to_8_hr_N,0,F
coef_part_time_worker_interaction_with_not_work_from_home_telework_8_plus_hr_N,0,F
coef_full_time_worker_interaction_with_high_non_mand_accessibility_N,0.389,F
coef_full_time_worker_interaction_with_medium_high_non_mand_accessibility_N,0.153,F
coef_part_time_worker_interaction_with_high_non_mand_accessibility_N,0.314,F
coef_university_student_interaction_with_high_non_mand_accessibility_M,0.892,F
coef_university_student_interaction_with_high_non_mand_accessibility_N,0.905,F
coef_non_working_adult_interaction_with_high_non_mand_accessibility_N,0.56,F
coef_retired_interaction_with_high_non_mand_accessibility_N,0.518,F
coef_retired_interaction_with_medium_high_non_mand_accessibility_N,0.422,F
coef_part_time_worker_interaction_with_workplace_mc_logsum_lt_neg2_M,-0.816,F
coef_university_student_interaction_with_school_location_mc_logsum_lt_neg2_M,-1.15,F
# 2-way interactions,,
coef_H_11,1.07,F
coef_H_12,0,T
coef_H_13,0.45,F
coef_H_14,0.562,F
coef_H_15,0.646,F
coef_H_16,0.687,F
coef_H_17,0,T
coef_H_18,0.324,F
coef_H_22,0,T
coef_H_23,1.07,F
coef_H_24,0.555,F
coef_H_25,1.17,F
coef_H_26,0,T
coef_H_27,0.376,F
coef_H_28,1.13,F
coef_H_33,0,T
coef_H_34,0,T
coef_H_35,0,T
coef_H_36,0,T
coef_H_37,0,T
coef_H_38,0,T
coef_H_44,0.483,F
coef_H_45,0,T
coef_H_46,0,T
coef_H_47,0,T
coef_H_48,0,T
coef_H_55,1.07,F
coef_H_56_57_58,0,T
coef_H_66,0,T
coef_H_67,0,T
coef_H_68,0,T
coef_H_77,1.79,F
coef_H_78,0,T
coef_H_88,1.94,F
coef_M_11,0,T
coef_M_12,0,T
coef_M_13,0.41,F
coef_M_16,0.426,F
coef_M_17,0,T
coef_M_18,0,T
coef_M_22,0,T
coef_M_23,0,T
coef_M_26,0,T
coef_M_27,0,T
coef_M_28,0,T
coef_M_33,0,T
coef_M_36,0,T
coef_M_37,0,T
coef_M_38,0,T
coef_M_66,0,T
coef_M_67,0,T
coef_M_68,0,T
coef_M_77,0.893,F
coef_M_78,0,T
coef_M_88,0,T
coef_N_11,0.277,F
coef_N_12,0,T
coef_N_13,0,T
coef_N_14,0,T
coef_N_15,0,T
coef_N_16,0,T
coef_N_17,0,T
coef_N_18,0,T
coef_N_22,0,T
coef_N_23,0,T
coef_N_24,0,T
coef_N_25,0,T
coef_N_26,0,T
coef_N_27,0.402,F
coef_N_28,0.489,F
coef_N_33,0,T
coef_N_34,0,T
coef_N_35,0.518,F
coef_N_36,0,T
coef_N_37,0,T
coef_N_38,0,T
coef_N_44,0.844,F
coef_N_45,0,T
coef_N_46,0,T
coef_N_47,0,T
coef_N_48,0,T
coef_N_55,0.556,F
coef_N_56_57_58,0,T
coef_N_66,0,T
coef_N_67,0,T
coef_N_68,0,T
coef_N_77,1.73,F
coef_N_78,0.721,F
coef_N_88,1.66,F
# 3-way interactions,,
coef_H_124_122_144,0,T
coef_H_126_146,0,T
coef_H_222_224_244,0,T
coef_H_226_246_446,0,T
coef_H_266_466,0,T
coef_M_111,0,T
coef_M_112_114,0,T
coef_M_666,0,T
coef_N_112_114,0,T
coef_N_124_122_144,-2.07,F
coef_N_166,0,T
coef_N_222_224_444,-1.08,F
coef_N_246_226_446,0,T
# cdap_all_people,,
coef_M_xxx,0,T
coef_N_xxx,0,T
coef_H_xxx,0,T
coef_M_xxxx,0.465,F
coef_N_xxxx,0.804,F
coef_H_xxxx,0.924,F
coef_M_xxxxx,0,T
coef_N_xxxxx,0,T
coef_H_xxxxx,0,T
