CountID,CountID_Type,obs_20to5,obs_5to6,obs_6to7,obs_7to8,obs_8to9,obs_9to10,obs_10to14,obs_14to15,obs_15to16,obs_16to17,obs_17to18,obs_18to20,obs_total
22,22G,3594,369,1145,2403,2874,2224,6545,1848,2388,2979,3083,4474,33926
165,165G,3351,414,1139,2234,2559,2022,6046,1705,2215,2617,2385,3741,30428
170,170H,3551,603,1272,1475,1432,1500,6012,1541,1340,1196,1035,2534,23491
131,131G,4562,1159,1901,2860,3645,3758,9899,2395,2820,3232,3266,4151,43648
160,160H,901,193,465,1087,1554,1609,3229,575,602,600,553,844,12212
16,16G,2880,844,2215,3703,4205,3939,8055,1691,1843,1677,1400,2226,34678
26,26H,2077,105,229,417,450,414,1867,587,597,601,584,1450,9378
165,165H,3551,603,1272,1475,1432,1500,6012,1541,1340,1196,1035,2534,23491
171,171G,3568,341,1055,2488,3015,2646,6351,1608,1838,2008,2088,2864,29870
166,166G,3588,347,1101,2518,2999,2593,6303,1609,1819,1976,1993,2806,29652
167,167G,3634,362,1173,2585,2994,2465,6362,1623,1822,2104,2225,2908,30257
172,172G,2658,294,897,1880,2113,1771,4531,1113,1237,1469,1574,2087,21624
147,147G,1838,619,1593,2428,2612,2527,5072,1049,1175,1073,949,1433,22368
131,131H,2227,234,424,683,858,828,2979,774,843,845,999,1631,13325
19,19G,2642,265,805,1820,2231,1678,4630,1285,1674,2063,2100,3190,24383
26,26G,4159,785,2001,3158,3220,2877,9067,2578,2721,2792,2276,4268,39902
159,159G,6142,1367,2348,2771,2459,2179,8833,2597,2629,2475,2246,3812,39858
124,124G,1628,582,1261,1333,1103,949,3032,788,880,927,912,1152,14547
177,177G,5281,793,1662,2229,2033,1810,7779,2351,2392,2287,2105,3549,34271
164,164G,1961,278,500,709,647,571,2680,972,1360,1623,1582,1901,14784
119,119G,6596,1584,2258,2725,2353,2175,9397,3005,3299,3503,3489,4524,44908
179,179G,2134,365,691,962,875,803,3421,1131,1454,1667,1613,2006,17122
157,157G,2189,359,685,962,879,807,3427,1127,1451,1672,1621,2035,17214
117,117G,4820,1204,1834,2164,1883,1679,6617,1867,2044,2198,2108,3222,31640
142,142G,6893,1642,2344,2799,2409,2248,9709,3084,3373,3564,3534,4654,46253
143,143G,5813,1445,2054,2395,2084,1973,8578,2754,3000,3088,2985,4062,40231
158,158G,5812,761,1391,1916,1893,1835,7849,2393,2722,2882,2927,4136,36517
118,118G,5825,1378,2238,2660,2174,1852,7296,2039,2193,2164,2091,3334,35244
120,120G,3345,530,1029,1257,1254,1206,5014,1604,1911,2082,2064,2512,23808
163,163G,6697,1470,2554,3248,2831,2416,9787,2972,3102,3073,2918,4437,45505
121,121G,3842,596,1265,1567,1506,1359,5709,1859,2241,2414,2406,2999,27763
146,146G,3206,879,1451,1570,1488,1328,5062,1385,1504,1541,1489,2146,23049
144,144G,2212,635,1173,1280,1165,1025,3788,1039,1156,1222,1178,1573,17446
1,1G,4344,703,1063,1388,1273,1156,5617,1962,2123,2164,2148,3001,26942
159,159G,6720,1458,2540,3238,2846,2427,9765,2941,3089,3073,2922,4454,45473
77,77G,10104,1495,2147,2466,2348,2398,11460,3403,3400,3352,3272,5292,51137
83,83G,6197,2764,2333,2176,2325,2227,8489,2243,2136,2016,1930,2635,37471
137,137G,9807,1559,2414,2777,2477,2420,12365,4072,3707,3580,3561,5923,54662
126,126G,9417,1387,2166,2509,2300,2249,11702,3802,3286,3237,3221,5671,50947
80,80H,1613,549,811,930,605,395,1250,333,350,340,320,511,8007
78,78G,7745,3388,3215,3124,2957,2779,10763,2869,2779,2695,2555,3470,48339
79,79H,1853,618,898,1022,692,468,1517,412,423,419,391,631,9344
83,83H,923,377,524,567,352,217,620,156,169,165,159,234,4463
77,77H,1910,95,162,209,203,237,1647,906,1015,1069,989,1372,9814
82,82G,7591,1194,1795,2017,1820,1801,9725,3108,2726,2654,2648,4688,41767
78,78H,1868,889,1278,1221,783,489,1551,406,428,401,374,598,10286
80,80G,8611,3459,3095,2958,3049,2926,11433,3100,3003,2860,2713,3824,51031
82,82G,7236,1079,1734,1990,1772,1717,9137,2910,2604,2517,2535,4498,39729
47,47G,7751,1971,4626,5482,4854,4174,15000,4159,4695,4716,4147,6795,68370
39,39H,401,34,80,216,175,143,781,311,467,713,753,733,4807
37,37G,7611,1092,3123,4923,4844,4439,15638,4385,4985,5208,4962,7027,68237
52,52G,7145,839,1788,2371,2538,2771,13485,4249,5357,6244,6349,8180,61316
51,51H,422,68,335,955,798,404,960,278,347,367,332,449,5715
60,60G,3867,898,2196,3051,2515,1914,6363,1747,1830,1892,1772,2674,30719
175,175H,367,11,50,73,92,108,608,247,399,610,743,656,3964
40,40G,7556,1179,3387,5267,4996,4379,15253,4179,4740,4923,4681,6560,67100
55,55G,5752,1680,4224,4817,4360,3997,12556,3246,3333,3300,3115,4525,54905
176,176G,7063,1061,3112,4914,4663,4101,14046,3887,4433,4598,4392,6224,62494
48,48H,583,5,54,125,145,111,550,287,441,673,820,749,4543
178,178G,7747,1117,2616,4398,4101,3484,12098,3433,4124,4910,5110,6184,59322
161,161G,4389,481,813,1164,1276,1477,7124,2212,2820,3354,3419,4265,32794
43,43H,214,31,201,564,457,233,521,155,216,270,252,259,3373
56,56G,3449,977,2735,3534,2862,2202,6382,1824,1908,1894,1695,2443,31905
145,145G,6300,1331,3244,5104,5000,3821,11206,3038,3485,3783,3678,6027,56017
36,36G,7795,1827,4131,4609,4042,3743,13945,4004,4661,4541,4136,6951,64385
39,39G,7906,1928,4474,5114,4451,4027,14859,4120,4663,4393,3756,6727,66418
44,44H,526,18,56,85,106,145,891,340,548,831,1074,974,5594
40,40G,7515,1170,3313,5179,4989,4428,15293,4175,4719,4861,4634,6537,66813
38,38G,8254,1825,4188,4721,4380,4185,15097,4327,4975,5030,4846,7753,69581
38,38G,8239,1846,4236,4786,4400,4121,15165,4327,4964,4986,4768,7611,69449
55,55H,536,78,287,735,762,408,990,280,330,342,340,502,5590
57,57G,3804,402,825,1070,1150,1303,6635,2212,2981,3690,3861,4557,32490
51,51G,5499,1744,4449,5161,4742,4165,12763,3158,3229,3121,2913,4334,55278
47,47H,374,59,345,986,778,432,1019,287,415,577,606,619,6497
48,48G,7483,986,2805,4297,4301,4018,14764,4214,4906,5115,4869,6946,64704
44,44G,7151,801,1640,2157,2335,2513,12620,3993,4906,5497,5423,7421,56457
43,43G,7657,1991,4785,5707,4984,4439,15773,4247,4449,4289,3853,6187,68361
175,175G,8452,1260,2526,3474,3765,3602,14443,4244,5010,5599,5767,7808,65950
81,81G,13242,6520,6189,5760,5754,5340,19407,4928,4856,4911,4773,6929,88609
2,2G,14138,1657,3239,4719,4578,4371,18325,5407,5798,5204,4896,8756,81088
70,70G,16330,2507,4062,4991,4870,4775,22554,7766,8053,7767,7047,10566,101288
84,84H,732,981,1419,1107,745,551,1844,498,525,568,547,660,10177
24,24G,18105,2346,4334,5981,6097,6159,23190,6245,6666,6465,6244,10952,102784
29,29G,17769,3029,5651,6535,6287,5812,23534,6136,5988,5778,5723,10610,102852
110,110H,515,353,446,373,287,316,1276,366,405,415,392,474,5618
23,23G,16354,3294,5936,6677,6881,6288,24744,6230,5828,5415,5378,10164,103189
87,87H,818,897,1216,886,604,491,1841,505,537,584,556,678,9613
155,155G,16726,3245,5812,6323,6219,5800,23151,5786,5231,4591,4602,9232,96718
34,34H,1472,344,627,728,663,721,2925,931,1146,1143,1026,1422,13148
134,134G,12067,3021,4360,4430,4339,4145,17208,5023,5175,5038,4776,7889,77471
34,34G,12799,2740,4308,4554,4193,3966,15872,4351,4451,4262,4123,7336,72955
86,86G,12835,1452,2825,3832,3657,3502,17042,6529,6807,6721,6170,8942,80314
122,122H,3446,200,171,151,157,278,853,150,160,210,265,833,6874
112,112G,10248,3865,4561,3858,3969,4298,16531,4669,4654,4841,4859,7340,73693
108,108G,12831,1885,3223,4449,4431,3946,18609,6490,6123,5807,5393,8775,81962
174,174G,14408,1581,2991,4220,4077,3596,17927,6129,6401,5767,5539,9961,82597
100,100G,8687,1105,1807,2300,2343,2583,13738,4961,5331,5355,5120,6618,59948
141,141H,923,39,125,189,180,178,1466,743,1330,1436,1332,1503,9444
182,182H,883,444,722,535,451,434,1853,569,716,805,738,750,8900
