Zone_id	zone_ordinal	Dest_eligible	External
1	1	1	3
2	2	1	3
3	3	1	3
4	4	1	3
5	5	1	3
6	6	1	3
7	7	1	3
8	8	1	3
9	9	1	3
10	10	1	3
11	11	1	3
12	12	1	3
13	13	1	3
14	14	1	3
15	15	1	3
16	16	1	3
17	17	1	3
18	18	1	3
19	19	1	3
20	20	1	3
21	21	1	3
22	22	1	3
23	23	1	3
24	24	1	3
25	25	1	3
26	26	1	3
27	27	1	3
28	28	1	3
29	29	1	3
30	30	1	3
31	31	1	3
32	32	1	3
33	33	1	3
34	34	1	3
35	35	1	3
36	36	1	3
37	37	1	3
38	38	1	3
39	39	1	3
40	40	1	3
41	41	1	3
42	42	1	3
43	43	1	3
44	44	1	3
45	45	1	3
46	46	1	3
47	47	1	3
48	48	1	3
49	49	1	3
50	50	1	3
51	51	1	3
52	52	1	3
53	53	1	3
54	54	1	3
55	55	1	3
56	56	1	3
57	57	1	3
58	58	1	3
59	59	1	3
60	60	1	3
61	61	1	3
62	62	1	3
63	63	1	3
64	64	1	3
65	65	1	3
66	66	1	3
67	67	1	3
68	68	1	3
69	69	1	3
70	70	1	3
71	71	1	3
72	72	1	3
73	73	1	3
74	74	1	3
75	75	1	3
76	76	1	3
77	77	1	3
78	78	1	3
79	79	1	3
80	80	1	3
81	81	1	3
82	82	1	3
83	83	1	3
84	84	1	3
85	85	1	3
86	86	1	3
87	87	1	3
88	88	1	3
89	89	1	3
90	90	1	3
91	91	1	3
92	92	1	3
93	93	1	3
94	94	1	3
95	95	1	3
96	96	1	3
97	97	1	3
98	98	1	3
99	99	1	3
100	100	1	3
101	101	1	3
102	102	1	3
103	103	1	3
104	104	1	3
105	105	1	3
106	106	1	3
107	107	1	3
108	108	1	3
109	109	1	3
110	110	1	3
111	111	1	3
112	112	1	3
113	113	1	3
114	114	1	3
115	115	1	3
116	116	1	3
117	117	1	3
118	118	1	3
119	119	1	3
120	120	1	3
121	121	1	3
122	122	1	3
123	123	1	3
124	124	1	3
125	125	1	3
126	126	1	3
127	127	1	3
128	128	1	3
129	129	1	3
130	130	1	3
131	131	1	3
132	132	1	3
133	133	1	3
134	134	1	3
135	135	1	3
136	136	1	3
137	137	1	3
138	138	1	3
139	139	1	3
140	140	1	3
141	141	1	3
142	142	1	3
143	143	1	3
144	144	1	3
145	145	1	3
146	146	1	3
147	147	1	3
148	148	1	3
149	149	1	3
150	150	1	3
151	151	1	3
152	152	1	3
153	153	1	3
154	154	1	3
155	155	1	3
156	156	1	3
157	157	1	3
158	158	1	3
159	159	1	3
160	160	1	3
161	161	1	3
162	162	1	3
163	163	1	3
164	164	1	3
165	165	1	3
166	166	1	3
167	167	1	3
168	168	1	3
169	169	1	3
170	170	1	3
171	171	1	3
172	172	1	3
173	173	1	3
174	174	1	3
175	175	1	3
176	176	1	3
177	177	1	3
178	178	1	3
179	179	1	3
180	180	1	3
181	181	1	3
182	182	1	3
183	183	1	3
184	184	1	3
185	185	1	3
186	186	1	3
187	187	1	3
188	188	1	3
189	189	1	3
190	190	1	3
191	191	1	3
192	192	1	3
193	193	1	3
194	194	1	3
195	195	1	3
196	196	1	3
197	197	1	3
198	198	1	3
199	199	1	3
200	200	1	3
201	201	1	3
202	202	1	3
203	203	1	3
204	204	1	3
205	205	1	3
206	206	1	3
207	207	1	3
208	208	1	3
209	209	1	3
210	210	1	3
211	211	1	3
212	212	1	3
213	213	1	3
214	214	1	3
215	215	1	3
216	216	1	3
217	217	1	3
218	218	1	3
219	219	1	3
220	220	1	3
221	221	1	3
222	222	1	3
223	223	1	3
224	224	1	3
225	225	1	3
226	226	1	3
227	227	1	3
228	228	1	3
229	229	1	3
230	230	1	3
231	231	1	3
232	232	1	3
233	233	1	3
234	234	1	3
235	235	1	3
236	236	1	3
237	237	1	3
238	238	1	3
239	239	1	3
240	240	1	3
241	241	1	3
242	242	1	3
243	243	1	3
244	244	1	3
245	245	1	3
246	246	1	3
247	247	1	3
248	248	1	3
249	249	1	3
250	250	1	3
251	251	1	3
252	252	1	3
253	253	1	3
254	254	1	3
255	255	1	3
256	256	1	3
257	257	1	3
258	258	1	3
259	259	1	3
260	260	1	3
261	261	1	3
262	262	1	3
263	263	1	3
264	264	1	3
265	265	1	3
266	266	1	3
267	267	1	3
268	268	1	3
269	269	1	3
270	270	1	3
271	271	1	3
272	272	1	3
273	273	1	3
274	274	1	3
275	275	1	3
276	276	1	3
277	277	1	3
278	278	1	3
279	279	1	3
280	280	1	3
281	281	1	3
282	282	1	3
283	283	1	3
284	284	1	3
285	285	1	3
286	286	1	3
287	287	1	3
288	288	1	3
289	289	1	3
290	290	1	3
291	291	1	3
292	292	1	3
293	293	1	3
294	294	1	3
295	295	1	3
296	296	1	3
297	297	1	3
298	298	1	3
299	299	1	3
300	300	1	3
301	301	1	3
302	302	1	3
303	303	1	3
304	304	1	3
305	305	1	3
306	306	1	3
307	307	1	3
308	308	1	3
309	309	1	3
310	310	1	3
311	311	1	3
312	312	1	3
313	313	1	3
314	314	1	3
315	315	1	3
316	316	1	3
317	317	1	3
318	318	1	3
319	319	1	3
320	320	1	3
321	321	1	3
322	322	1	3
323	323	1	3
324	324	1	3
325	325	1	3
326	326	1	3
327	327	1	3
328	328	1	3
329	329	1	3
330	330	1	3
331	331	1	4
332	332	1	4
333	333	1	4
334	334	1	4
335	335	1	4
336	336	1	4
337	337	1	4
338	338	1	4
339	339	1	4
340	340	1	4
341	341	1	4
342	342	1	4
343	343	1	4
344	344	1	4
345	345	1	4
346	346	1	4
347	347	1	4
348	348	1	4
349	349	1	4
350	350	1	4
351	351	1	4
352	352	1	4
353	353	1	4
354	354	1	4
355	355	1	4
356	356	1	4
357	357	1	4
358	358	1	4
359	359	1	4
360	360	1	4
361	361	1	4
362	362	1	4
363	363	1	4
364	364	1	4
365	365	1	4
366	366	1	4
367	367	1	4
368	368	1	4
369	369	1	4
370	370	1	4
371	371	1	4
372	372	1	4
373	373	1	4
374	374	1	4
375	375	1	4
376	376	1	4
377	377	1	4
378	378	1	4
379	379	1	4
380	380	1	4
381	381	1	4
382	382	1	4
383	383	1	4
384	384	1	4
385	385	1	4
386	386	1	4
387	387	1	4
388	388	1	4
389	389	1	4
390	390	1	4
391	391	1	4
392	392	1	4
393	393	1	4
394	394	1	4
395	395	1	4
396	396	1	4
397	397	1	4
398	398	1	4
399	399	1	4
400	400	1	4
401	401	1	4
402	402	1	4
403	403	1	4
404	404	1	4
405	405	1	4
406	406	1	4
407	407	1	4
408	408	1	4
409	409	1	4
410	410	1	4
411	411	1	4
412	412	1	4
413	413	1	4
414	414	1	4
415	415	1	4
416	416	1	4
417	417	1	4
418	418	1	4
419	419	1	4
420	420	1	4
421	421	1	4
422	422	1	4
423	423	1	4
424	424	1	4
425	425	1	4
426	426	1	4
427	427	1	4
428	428	1	4
429	429	1	4
430	430	1	4
431	431	1	4
432	432	1	4
433	433	1	4
434	434	1	4
435	435	1	4
436	436	1	4
437	437	1	4
438	438	1	4
439	439	1	4
440	440	1	4
441	441	1	4
442	442	1	4
443	443	1	4
444	444	1	4
445	445	1	4
446	446	1	4
447	447	1	4
448	448	1	4
449	449	1	4
450	450	1	4
451	451	1	4
452	452	1	4
453	453	1	4
454	454	1	4
455	455	1	4
456	456	1	4
457	457	1	4
458	458	1	4
459	459	1	4
460	460	1	4
461	461	1	4
462	462	1	4
463	463	1	4
464	464	1	4
465	465	1	4
466	466	1	4
467	467	1	4
468	468	1	4
469	469	1	4
470	470	1	4
471	471	1	4
472	472	1	4
473	473	1	4
474	474	1	4
475	475	1	4
476	476	1	4
477	477	1	4
478	478	1	4
479	479	1	4
480	480	1	4
481	481	1	4
482	482	1	4
483	483	1	4
484	484	1	4
485	485	1	4
486	486	1	4
487	487	1	4
488	488	1	4
489	489	1	4
490	490	1	4
491	491	1	4
492	492	1	4
493	493	1	4
494	494	1	4
495	495	1	4
496	496	1	4
497	497	1	4
498	498	1	4
499	499	1	4
500	500	1	4
501	501	1	4
502	502	1	4
503	503	1	4
504	504	1	4
505	505	1	4
506	506	1	4
507	507	1	4
508	508	1	4
509	509	1	4
510	510	1	4
511	511	1	4
512	512	1	4
513	513	1	4
514	514	1	4
515	515	1	4
516	516	1	4
517	517	1	4
518	518	1	4
519	519	1	4
520	520	1	4
521	521	1	4
522	522	1	4
523	523	1	4
524	524	1	4
525	525	1	4
526	526	1	4
527	527	1	4
528	528	1	4
529	529	1	4
530	530	1	4
531	531	1	4
532	532	1	4
533	533	1	4
534	534	1	4
535	535	1	4
536	536	1	4
537	537	1	4
538	538	1	4
539	539	1	4
540	540	1	4
541	541	1	4
542	542	1	4
543	543	1	4
544	544	1	4
545	545	1	4
546	546	1	4
547	547	1	4
548	548	1	4
549	549	1	4
550	550	1	4
551	551	1	4
552	552	1	4
553	553	1	4
554	554	1	4
555	555	1	4
556	556	1	4
557	557	1	4
558	558	1	4
559	559	1	4
560	560	1	4
561	561	1	4
562	562	1	4
563	563	1	4
564	564	1	4
565	565	1	4
566	566	1	4
567	567	1	4
568	568	1	4
569	569	1	4
570	570	1	4
571	571	1	4
572	572	1	4
573	573	1	4
574	574	1	4
575	575	1	4
576	576	1	4
577	577	1	4
578	578	1	4
579	579	1	4
580	580	1	4
581	581	1	4
582	582	1	4
583	583	1	4
584	584	1	4
585	585	1	4
586	586	1	4
587	587	1	4
588	588	1	4
589	589	1	4
590	590	1	4
591	591	1	4
592	592	1	4
593	593	1	4
