parcelid,stugrd_p,stuhgh_p,stuuni_p,year
1236239,268,0,0,2025
748561,2092,0,0,2025
17282,625,0,0,2025
1134296,992,0,0,2025
717366,445,0,0,2025
170469,833,0,0,2025
20436,15,15,0,2025
786450,387,387,0,2025
1058936,1917,0,0,2025
944482,506,0,0,2025
889166,760,0,0,2025
152621,420,0,0,2025
134321,1361,0,0,2025
107814,438,0,0,2025
61206,696,0,0,2025
1020551,472,0,0,2025
731953,1901,0,0,2025
864250,311,0,0,2025
154534,850,0,0,2025
1100919,972,972,0,2025
66496,737,0,0,2025
943935,169,0,0,2025
959079,3517,3517,0,2025
891009,1614,0,0,2025
902835,602,0,0,2025
860479,53,0,0,2025
824934,450,0,0,2025
696121,545,0,0,2025
1189547,79,0,0,2025
1004245,485,0,0,2025
211685,417,0,0,2025
1057052,434,0,0,2025
889880,761,0,0,2025
884063,323,0,0,2025
1133262,828,0,0,2025
742491,283,0,0,2025
123081,518,0,0,2025
683653,465,0,0,2025
1254080,180,0,0,2025
1176414,492,0,0,2025
1189127,380,0,0,2025
1043065,322,0,0,2025
874768,344,0,0,2025
866761,96,0,0,2025
795729,457,0,0,2025
912743,1158,0,0,2025
1247706,461,0,0,2025
118517,508,0,0,2025
943968,640,640,0,2025
172580,383,0,0,2025
1015449,627,0,0,2025
873970,407,0,0,2025
1177785,342,0,0,2025
1093203,686,0,0,2025
238194,81,81,0,2025
975172,1567,0,0,2025
1056939,444,0,0,2025
731568,213,0,0,2025
10368,393,0,0,2025
1027740,529,0,0,2025
987815,303,0,0,2025
87644,260,0,0,2025
132806,853,1324,0,2025
890978,424,0,0,2025
117196,531,0,0,2025
1042613,565,0,0,2025
1232796,417,0,0,2025
850567,367,367,0,2025
739623,767,0,0,2025
71675,170,170,0,2025
735408,1531,0,0,2025
674511,463,0,0,2025
1207502,134,134,0,2025
775685,828,0,0,2025
799840,181,0,0,2025
129985,531,0,0,2025
152620,287,0,0,2025
1222606,1120,1120,0,2025
1131111,307,0,0,2025
847774,273,0,0,2025
942708,369,0,0,2025
700685,584,0,0,2025
176464,953,0,0,2025
697002,149,149,0,2025
966454,634,0,0,2025
1187923,356,0,0,2025
956921,400,0,0,2025
1030548,305,0,0,2025
81245,783,0,0,2025
1226855,885,0,0,2025
1126390,73,0,0,2025
717396,0,883,0,2025
22422,0,1873,0,2025
183209,0,2968,0,2025
903672,0,639,0,2025
1219090,0,860,0,2025
701214,0,1900,0,2025
840327,0,1494,0,2025
886164,0,1800,0,2025
198874,0,1449,0,2025
797352,0,1115,0,2025
674256,0,1534,0,2025
833248,0,880,0,2025
813866,0,2062,0,2025
235091,0,1635,0,2025
1032888,0,107,0,2025
146433,0,749,0,2025
739765,0,1381,0,2025
829697,0,310,0,2025
455549,0,136,0,2025
526595,0,641,0,2025
1323,0,1372,0,2025
1605,0,1011,0,2025
570079,0,1180,0,2025
671228,0,390,0,2025
425270,0,1445,0,2025
1773,0,596,0,2025
660606,0,1828,0,2025
658936,0,1377,0,2025
376760,0,763,0,2025
635096,0,533,0,2025
1965,0,44,0,2025
492761,0,129,0,2025
303199,0,1590,0,2025
340181,0,2264,0,2025
513540,0,1438,0,2025
547559,0,502,0,2025
451498,0,513,0,2025
1778,0,1070,0,2025
344463,0,243,0,2025
1877,0,154,0,2025
462283,0,1319,0,2025
494920,0,61,0,2025
455013,0,1005,0,2025
461952,0,783,0,2025
325106,0,1895,0,2025
578033,0,154,0,2025
663070,0,68,4786,2025
265281,0,1101,0,2025
440301,0,1145,0,2025
487033,0,412,0,2025
594605,0,2618,0,2025
1859,0,1509,0,2025
276254,0,925,0,2025
660743,0,1625,0,2025
668658,0,1725,0,2025
431188,0,1459,0,2025
534899,0,1383,0,2025
476651,0,1900,0,2025
3261,0,2005,0,2025
566395,0,1260,0,2025
816104,0,956,0,2025
1187092,0,485,0,2025
959089,0,958,0,2025
832638,0,2407,0,2025
26956,0,149,0,2025
11022,0,1757,0,2025
975166,0,2503,0,2025
706634,0,384,0,2025
88954,0,161,0,2025
1155579,0,2,0,2025
126970,0,1622,0,2025
868486,0,1275,0,2025
700777,0,1803,0,2025
159421,0,108,0,2025
911258,0,1103,0,2025
913705,0,221,0,2025
57311,0,257,0,2025
697450,0,2026,0,2025
884145,0,770,0,2025
756059,0,2057,0,2025
726178,0,1462,0,2025
91565,0,2070,0,2025
913317,0,52,0,2025
47057,0,1360,0,2025
108055,0,1625,0,2025
812871,0,1486,0,2025
697848,0,2266,0,2025
957529,0,1810,0,2025
152781,0,1979,0,2025
872914,0,1098,0,2025
720656,0,142,0,2025
795268,0,1010,0,2025
160941,0,1885,0,2025
889211,0,311,0,2025
721669,0,1618,0,2025
700806,0,1800,0,2025
913979,0,1601,0,2025
959316,0,1283,0,2025
824345,0,1394,0,2025
840142,0,6,0,2025
1171546,0,1833,0,2025
887616,0,16,0,2025
143622,0,864,0,2025
974297,0,1377,0,2025
680437,0,583,0,2025
70736,0,1313,0,2025
173870,0,1627,0,2025
229203,0,1918,0,2025
102241,0,210,0,2025
921246,0,1442,0,2025
1225508,0,1425,0,2025
768159,0,993,0,2025
1104871,0,2020,0,2025
1037794,0,430,0,2025
796750,0,1987,0,2025
1055208,0,10,0,2025
111727,0,277,0,2025
966322,0,589,0,2025
803353,0,1432,0,2025
815046,0,1604,0,2025
721521,0,1050,0,2025
256304,0,2543,0,2025
1078442,0,0,4701,2025
740439,0,0,10272,2025
768992,0,0,4632,2025
1110053,0,0,1560,2025
716569,0,0,386,2025
718311,0,0,1051,2025
305217,0,0,140,2025
653,0,0,752,2025
427609,0,0,7369,2025
537641,0,0,4214,2025
432441,0,0,4797,2025
591990,0,0,4772,2025
486971,0,0,5820,2025
495757,0,0,3779,2025
476204,0,0,3673,2025
472424,0,0,2881,2025
377717,0,0,7009,2025
864614,0,0,1562,2025
852160,0,0,361,2025
813605,0,0,96,2025
903885,0,0,4758,2025
803940,0,0,172,2025
1133328,0,0,4366,2025
104918,0,0,9770,2025
1089776,0,0,5552,2025
795018,0,0,10289,2025
220196,0,0,11690,2025
829190,0,0,8256,2025
1136670,0,0,733,2025
932775,0,0,4521,2025
1230975,0,0,3589,2025
797163,0,0,43317,2025
915582,0,0,860,2025
795274,0,0,8375,2025
708822,0,0,6024,2025
716797,0,0,997,2025
1258256,0,0,1323,2025
123168,0,0,362,2025
888863,0,0,538,2025
829204,0,0,111,2025
33478,459,0,0,2040
179730,294,0,0,2040
69090,543,0,0,2040
707307,66,787,0,2040
1171545,225,0,0,2040
1020640,48,48,0,2040
1226823,515,0,0,2040
769015,251,0,0,2040
843622,231,0,0,2040
90671,280,0,0,2040
840019,353,132,0,2040
937380,365,0,0,2040
238902,339,0,0,2040
202800,290,0,0,2040
911295,132,0,0,2040
889654,388,0,0,2040
760789,863,863,0,2040
903507,131,0,0,2040
796669,537,0,0,2040
91339,21,0,0,2040
1254386,886,0,0,2040
964294,1664,0,0,2040
158062,2462,0,0,2040
102105,195,0,0,2040
923448,781,0,0,2040
835758,145,0,0,2040
728199,1607,0,0,2040
74387,474,0,0,2040
1041306,36,21,0,2040
943165,428,0,0,2040
1176343,439,439,0,2040
729441,550,0,0,2040
889550,1059,0,0,2040
839037,643,0,0,2040
673334,707,0,0,2040
966745,378,0,0,2040
814955,357,0,0,2040
833058,145,0,0,2040
815047,69,69,0,2040
840329,800,0,0,2040
1151377,1190,0,0,2040
53963,305,0,0,2040
126801,907,0,0,2040
183208,2137,0,0,2040
1186836,455,0,0,2040
931321,409,0,0,2040
1182467,330,0,0,2040
918149,682,0,0,2040
886182,522,0,0,2040
911806,529,0,0,2040
181183,613,0,0,2040
693302,478,0,0,2040
957933,1241,0,0,2040
224886,219,993,0,2040
873615,137,0,0,2040
220147,285,0,0,2040
40717,767,0,0,2040
889986,625,0,0,2040
714624,439,0,0,2040
127227,187,187,0,2040
