TAZ,TAD,OldDistric,County,District,New DistrictName
1,1,13,King,3,North Seattle-Shoreline
2,1,13,King,3,North Seattle-Shoreline
3,1,13,King,3,North Seattle-Shoreline
4,1,13,King,3,North Seattle-Shoreline
5,1,13,King,3,North Seattle-Shoreline
6,1,13,King,3,North Seattle-Shoreline
7,1,13,King,3,North Seattle-Shoreline
8,1,13,King,3,North Seattle-Shoreline
9,1,13,King,3,North Seattle-Shoreline
10,1,13,King,3,North Seattle-Shoreline
11,2,13,King,3,North Seattle-Shoreline
12,2,13,King,3,North Seattle-Shoreline
13,2,13,King,3,North Seattle-Shoreline
14,2,13,King,3,North Seattle-Shoreline
15,2,13,King,3,North Seattle-Shoreline
16,2,13,King,3,North Seattle-Shoreline
17,2,13,King,3,North Seattle-Shoreline
18,2,13,King,3,North Seattle-Shoreline
19,2,13,King,3,North Seattle-Shoreline
20,2,13,King,3,North Seattle-Shoreline
21,2,13,King,3,North Seattle-Shoreline
22,2,13,King,3,North Seattle-Shoreline
23,2,13,King,3,North Seattle-Shoreline
24,2,13,King,3,North Seattle-Shoreline
25,2,13,King,3,North Seattle-Shoreline
26,1,13,King,3,North Seattle-Shoreline
27,1,13,King,3,North Seattle-Shoreline
28,1,13,King,3,North Seattle-Shoreline
29,1,13,King,3,North Seattle-Shoreline
30,1,13,King,3,North Seattle-Shoreline
31,1,13,King,3,North Seattle-Shoreline
32,1,13,King,3,North Seattle-Shoreline
33,1,13,King,3,North Seattle-Shoreline
34,1,13,King,3,North Seattle-Shoreline
35,1,13,King,3,North Seattle-Shoreline
36,1,13,King,3,North Seattle-Shoreline
37,1,13,King,3,North Seattle-Shoreline
38,1,13,King,3,North Seattle-Shoreline
39,3,13,King,3,North Seattle-Shoreline
40,3,13,King,3,North Seattle-Shoreline
41,3,13,King,3,North Seattle-Shoreline
42,3,13,King,3,North Seattle-Shoreline
43,3,13,King,3,North Seattle-Shoreline
44,1,13,King,3,North Seattle-Shoreline
45,1,13,King,3,North Seattle-Shoreline
46,4,13,King,3,North Seattle-Shoreline
47,4,13,King,3,North Seattle-Shoreline
48,4,13,King,3,North Seattle-Shoreline
49,4,13,King,3,North Seattle-Shoreline
50,2,13,King,3,North Seattle-Shoreline
51,2,13,King,3,North Seattle-Shoreline
52,2,13,King,3,North Seattle-Shoreline
53,2,13,King,3,North Seattle-Shoreline
54,2,13,King,3,North Seattle-Shoreline
55,2,13,King,3,North Seattle-Shoreline
56,2,13,King,3,North Seattle-Shoreline
57,5,13,King,3,North Seattle-Shoreline
58,5,13,King,3,North Seattle-Shoreline
59,2,13,King,3,North Seattle-Shoreline
60,2,13,King,3,North Seattle-Shoreline
61,5,13,King,3,North Seattle-Shoreline
62,2,13,King,3,North Seattle-Shoreline
63,2,13,King,3,North Seattle-Shoreline
64,5,13,King,3,North Seattle-Shoreline
65,4,13,King,3,North Seattle-Shoreline
66,5,13,King,3,North Seattle-Shoreline
67,4,13,King,3,North Seattle-Shoreline
68,4,13,King,3,North Seattle-Shoreline
69,4,13,King,3,North Seattle-Shoreline
70,4,13,King,3,North Seattle-Shoreline
71,4,13,King,3,North Seattle-Shoreline
72,4,13,King,3,North Seattle-Shoreline
73,4,13,King,3,North Seattle-Shoreline
74,4,13,King,3,North Seattle-Shoreline
75,4,13,King,3,North Seattle-Shoreline
76,4,13,King,3,North Seattle-Shoreline
77,4,13,King,3,North Seattle-Shoreline
78,4,13,King,3,North Seattle-Shoreline
79,3,13,King,3,North Seattle-Shoreline
80,3,13,King,3,North Seattle-Shoreline
81,3,13,King,3,North Seattle-Shoreline
82,3,13,King,3,North Seattle-Shoreline
83,3,13,King,3,North Seattle-Shoreline
84,3,13,King,3,North Seattle-Shoreline
85,3,13,King,3,North Seattle-Shoreline
86,3,13,King,3,North Seattle-Shoreline
87,3,13,King,3,North Seattle-Shoreline
88,3,13,King,3,North Seattle-Shoreline
89,3,13,King,3,North Seattle-Shoreline
90,3,13,King,3,North Seattle-Shoreline
91,3,13,King,3,North Seattle-Shoreline
92,4,13,King,3,North Seattle-Shoreline
93,4,13,King,3,North Seattle-Shoreline
94,4,13,King,3,North Seattle-Shoreline
95,4,13,King,3,North Seattle-Shoreline
96,4,13,King,3,North Seattle-Shoreline
97,5,13,King,3,North Seattle-Shoreline
98,5,13,King,3,North Seattle-Shoreline
99,5,13,King,3,North Seattle-Shoreline
100,5,13,King,3,North Seattle-Shoreline
101,5,13,King,3,North Seattle-Shoreline
102,5,13,King,3,North Seattle-Shoreline
103,5,13,King,3,North Seattle-Shoreline
104,5,13,King,3,North Seattle-Shoreline
105,5,13,King,3,North Seattle-Shoreline
106,5,13,King,3,North Seattle-Shoreline
107,5,13,King,3,North Seattle-Shoreline
108,5,13,King,3,North Seattle-Shoreline
109,5,13,King,3,North Seattle-Shoreline
110,5,13,King,3,North Seattle-Shoreline
111,5,13,King,3,North Seattle-Shoreline
112,5,13,King,3,North Seattle-Shoreline
113,5,13,King,3,North Seattle-Shoreline
114,5,13,King,3,North Seattle-Shoreline
115,5,13,King,3,North Seattle-Shoreline
116,5,13,King,3,North Seattle-Shoreline
117,5,13,King,3,North Seattle-Shoreline
118,5,13,King,3,North Seattle-Shoreline
119,5,13,King,3,North Seattle-Shoreline
120,5,13,King,3,North Seattle-Shoreline
121,5,13,King,3,North Seattle-Shoreline
122,5,13,King,3,North Seattle-Shoreline
123,4,13,King,3,North Seattle-Shoreline
124,4,13,King,3,North Seattle-Shoreline
125,4,13,King,3,North Seattle-Shoreline
126,4,13,King,3,North Seattle-Shoreline
127,4,13,King,3,North Seattle-Shoreline
128,4,13,King,3,North Seattle-Shoreline
129,4,13,King,3,North Seattle-Shoreline
130,4,13,King,3,North Seattle-Shoreline
131,4,13,King,3,North Seattle-Shoreline
132,4,13,King,3,North Seattle-Shoreline
133,4,13,King,3,North Seattle-Shoreline
134,4,13,King,3,North Seattle-Shoreline
135,3,13,King,3,North Seattle-Shoreline
136,3,13,King,3,North Seattle-Shoreline
137,3,13,King,3,North Seattle-Shoreline
138,3,13,King,3,North Seattle-Shoreline
139,3,13,King,3,North Seattle-Shoreline
140,3,13,King,3,North Seattle-Shoreline
141,3,13,King,3,North Seattle-Shoreline
142,3,13,King,3,North Seattle-Shoreline
143,3,13,King,3,North Seattle-Shoreline
144,3,13,King,3,North Seattle-Shoreline
145,3,13,King,3,North Seattle-Shoreline
146,3,13,King,3,North Seattle-Shoreline
147,3,13,King,3,North Seattle-Shoreline
148,3,13,King,3,North Seattle-Shoreline
149,3,13,King,3,North Seattle-Shoreline
150,3,13,King,3,North Seattle-Shoreline
151,3,13,King,3,North Seattle-Shoreline
152,6,13,King,3,North Seattle-Shoreline
153,3,13,King,3,North Seattle-Shoreline
154,6,13,King,3,North Seattle-Shoreline
155,6,13,King,3,North Seattle-Shoreline
156,3,13,King,3,North Seattle-Shoreline
157,6,13,King,3,North Seattle-Shoreline
158,3,13,King,3,North Seattle-Shoreline
159,6,13,King,3,North Seattle-Shoreline
160,3,13,King,3,North Seattle-Shoreline
161,6,13,King,3,North Seattle-Shoreline
162,3,13,King,3,North Seattle-Shoreline
163,6,13,King,3,North Seattle-Shoreline
164,3,13,King,3,North Seattle-Shoreline
165,6,13,King,3,North Seattle-Shoreline
166,3,13,King,3,North Seattle-Shoreline
167,6,13,King,3,North Seattle-Shoreline
168,3,13,King,3,North Seattle-Shoreline
169,6,13,King,3,North Seattle-Shoreline
170,4,13,King,3,North Seattle-Shoreline
171,4,13,King,3,North Seattle-Shoreline
172,4,13,King,3,North Seattle-Shoreline
173,4,13,King,3,North Seattle-Shoreline
174,4,13,King,3,North Seattle-Shoreline
175,4,13,King,3,North Seattle-Shoreline
176,4,13,King,3,North Seattle-Shoreline
177,4,13,King,3,North Seattle-Shoreline
178,4,13,King,3,North Seattle-Shoreline
179,4,13,King,3,North Seattle-Shoreline
180,4,13,King,3,North Seattle-Shoreline
181,5,13,King,3,North Seattle-Shoreline
182,5,13,King,3,North Seattle-Shoreline
183,5,13,King,3,North Seattle-Shoreline
184,5,13,King,3,North Seattle-Shoreline
185,5,13,King,3,North Seattle-Shoreline
186,5,13,King,3,North Seattle-Shoreline
187,5,13,King,3,North Seattle-Shoreline
188,5,13,King,3,North Seattle-Shoreline
189,5,13,King,3,North Seattle-Shoreline
190,5,13,King,3,North Seattle-Shoreline
191,5,13,King,3,North Seattle-Shoreline
192,5,13,King,3,North Seattle-Shoreline
193,5,13,King,3,North Seattle-Shoreline
194,5,13,King,3,North Seattle-Shoreline
195,5,13,King,3,North Seattle-Shoreline
196,5,13,King,3,North Seattle-Shoreline
197,5,13,King,3,North Seattle-Shoreline
198,5,13,King,3,North Seattle-Shoreline
199,5,13,King,3,North Seattle-Shoreline
200,5,13,King,3,North Seattle-Shoreline
201,5,13,King,3,North Seattle-Shoreline
202,5,13,King,3,North Seattle-Shoreline
203,5,13,King,3,North Seattle-Shoreline
204,5,13,King,3,North Seattle-Shoreline
205,5,13,King,3,North Seattle-Shoreline
206,5,13,King,3,North Seattle-Shoreline
207,5,13,King,3,North Seattle-Shoreline
208,5,13,King,3,North Seattle-Shoreline
209,5,13,King,3,North Seattle-Shoreline
210,5,13,King,3,North Seattle-Shoreline
211,5,13,King,3,North Seattle-Shoreline
212,7,13,King,3,North Seattle-Shoreline
213,7,13,King,3,North Seattle-Shoreline
214,7,13,King,3,North Seattle-Shoreline
215,7,13,King,3,North Seattle-Shoreline
216,7,13,King,3,North Seattle-Shoreline
217,7,13,King,3,North Seattle-Shoreline
218,7,13,King,3,North Seattle-Shoreline
219,7,13,King,3,North Seattle-Shoreline
220,4,13,King,3,North Seattle-Shoreline
221,7,13,King,3,North Seattle-Shoreline
222,4,13,King,3,North Seattle-Shoreline
223,7,13,King,3,North Seattle-Shoreline
224,4,13,King,3,North Seattle-Shoreline
225,7,13,King,3,North Seattle-Shoreline
226,4,13,King,3,North Seattle-Shoreline
227,4,13,King,3,North Seattle-Shoreline
228,4,13,King,3,North Seattle-Shoreline
229,4,13,King,3,North Seattle-Shoreline
230,4,13,King,3,North Seattle-Shoreline
231,4,13,King,3,North Seattle-Shoreline
232,4,13,King,3,North Seattle-Shoreline
233,6,13,King,3,North Seattle-Shoreline
234,6,13,King,3,North Seattle-Shoreline
235,6,13,King,3,North Seattle-Shoreline
236,6,13,King,3,North Seattle-Shoreline
237,6,13,King,3,North Seattle-Shoreline
238,6,13,King,3,North Seattle-Shoreline
239,6,13,King,3,North Seattle-Shoreline
240,6,13,King,3,North Seattle-Shoreline
241,6,13,King,3,North Seattle-Shoreline
242,6,13,King,3,North Seattle-Shoreline
243,6,13,King,3,North Seattle-Shoreline
244,6,13,King,3,North Seattle-Shoreline
245,6,13,King,3,North Seattle-Shoreline
246,6,13,King,3,North Seattle-Shoreline
247,6,13,King,3,North Seattle-Shoreline
248,6,13,King,3,North Seattle-Shoreline
249,6,13,King,3,North Seattle-Shoreline
250,6,13,King,3,North Seattle-Shoreline
251,6,13,King,3,North Seattle-Shoreline
252,6,13,King,3,North Seattle-Shoreline
253,6,13,King,3,North Seattle-Shoreline
254,6,13,King,3,North Seattle-Shoreline
255,6,13,King,3,North Seattle-Shoreline
256,6,13,King,3,North Seattle-Shoreline
257,6,13,King,3,North Seattle-Shoreline
258,6,13,King,3,North Seattle-Shoreline
259,6,13,King,3,North Seattle-Shoreline
260,6,13,King,3,North Seattle-Shoreline
261,6,13,King,3,North Seattle-Shoreline
262,6,13,King,3,North Seattle-Shoreline
263,6,13,King,3,North Seattle-Shoreline
264,6,13,King,3,North Seattle-Shoreline
265,6,13,King,3,North Seattle-Shoreline
266,6,13,King,3,North Seattle-Shoreline
267,7,13,King,3,North Seattle-Shoreline
268,7,13,King,3,North Seattle-Shoreline
269,7,13,King,3,North Seattle-Shoreline
270,7,13,King,3,North Seattle-Shoreline
271,4,13,King,3,North Seattle-Shoreline
272,7,13,King,3,North Seattle-Shoreline
273,7,13,King,3,North Seattle-Shoreline
274,4,13,King,3,North Seattle-Shoreline
275,7,13,King,3,North Seattle-Shoreline
276,7,13,King,3,North Seattle-Shoreline
277,7,13,King,3,North Seattle-Shoreline
278,7,13,King,3,North Seattle-Shoreline
279,7,13,King,3,North Seattle-Shoreline
280,7,13,King,3,North Seattle-Shoreline
281,7,13,King,3,North Seattle-Shoreline
282,7,13,King,3,North Seattle-Shoreline
283,7,13,King,3,North Seattle-Shoreline
284,7,13,King,3,North Seattle-Shoreline
285,7,13,King,3,North Seattle-Shoreline
286,7,13,King,3,North Seattle-Shoreline
287,7,13,King,3,North Seattle-Shoreline
288,7,13,King,3,North Seattle-Shoreline
289,7,13,King,3,North Seattle-Shoreline
290,5,13,King,3,North Seattle-Shoreline
291,5,13,King,3,North Seattle-Shoreline
292,5,13,King,3,North Seattle-Shoreline
293,5,13,King,3,North Seattle-Shoreline
294,5,13,King,3,North Seattle-Shoreline
295,5,13,King,3,North Seattle-Shoreline
296,5,13,King,3,North Seattle-Shoreline
297,5,13,King,3,North Seattle-Shoreline
298,5,13,King,3,North Seattle-Shoreline
299,5,13,King,3,North Seattle-Shoreline
300,5,13,King,3,North Seattle-Shoreline
301,7,13,King,3,North Seattle-Shoreline
302,7,13,King,3,North Seattle-Shoreline
303,7,13,King,3,North Seattle-Shoreline
304,7,13,King,3,North Seattle-Shoreline
305,7,13,King,3,North Seattle-Shoreline
306,7,13,King,3,North Seattle-Shoreline
307,7,13,King,3,North Seattle-Shoreline
308,7,13,King,3,North Seattle-Shoreline
309,7,13,King,3,North Seattle-Shoreline
310,7,13,King,3,North Seattle-Shoreline
311,7,13,King,3,North Seattle-Shoreline
312,7,13,King,3,North Seattle-Shoreline
313,7,13,King,3,North Seattle-Shoreline
314,7,13,King,3,North Seattle-Shoreline
315,7,13,King,3,North Seattle-Shoreline
316,7,13,King,3,North Seattle-Shoreline
317,7,13,King,3,North Seattle-Shoreline
318,7,13,King,3,North Seattle-Shoreline
319,7,13,King,3,North Seattle-Shoreline
320,7,13,King,3,North Seattle-Shoreline
321,7,13,King,3,North Seattle-Shoreline
322,7,13,King,3,North Seattle-Shoreline
323,7,13,King,3,North Seattle-Shoreline
324,7,13,King,3,North Seattle-Shoreline
325,6,13,King,3,North Seattle-Shoreline
326,6,13,King,3,North Seattle-Shoreline
327,6,13,King,3,North Seattle-Shoreline
328,6,13,King,3,North Seattle-Shoreline
329,6,13,King,3,North Seattle-Shoreline
330,6,13,King,3,North Seattle-Shoreline
331,8,12,King,4,Seattle CBD
332,8,12,King,4,Seattle CBD
