Zone_id	Zone_ordinal	Dest_eligible	External	popcent_x	popcent_y	empcent_x	empcent_y
1	1	1	0	1263115.72889703	268720.299232049	1262990.77490309	268631.239851407
2	2	1	0	1265337.587547	269377.015563853	1265486.60777162	268373.71201366
3	3	1	0	1267048.29128295	270418.675458405	1267793.8721795	270837.031578744
4	4	1	0	1266963.81069855	268560.117695252	1267404.54736575	268169.764209962
5	5	1	0	1269248.88888486	270046.149205492	1268591.07436968	270281.933882064
6	6	1	0	1269998.83288788	270871.175065595	1269226.24996827	271020.274993225
7	7	1	0	1269584.28567801	268740.999992322	1268867.76061286	268200.876446841
8	8	1	0	1271464.02061528	268365.98969003	1270626.96201996	268109.890294227
9	9	1	0	1271765.28813128	270004.813558407	1272092.77770711	269170.611096157
10	10	1	0	1272942.27641242	269060.60975391	1272706.12039708	269874.030099432
11	11	1	0	1275739.56386094	269793.785046309	1275894.91665603	270360.099997747
12	12	1	0	1275755.2654839	267600.526548081	1276053.6666454	266547.383328891
13	13	1	0	1277092.54758232	269893.453879546	1276607.14285106	270676.247617759
14	14	1	0	1277183.44827342	267000.521072285	1277332.87035854	267036.518516046
15	15	1	0	1279335.03520902	269948.172534736	1279299.99998563	270163.348311571
16	16	1	0	1279427.28489239	267137.040152453	1279626.65504781	266432.627176772
17	17	1	0	1280811.2302829	269998.660883068	1281130.81012334	269409.015189191
18	18	1	0	1280635.8653723	267588.009612812	1280861.22270463	267234.268558369
19	19	1	0	1282577.98418719	269588.411066661	1281797.55554606	269691.037035039
20	20	1	0	1281719.68655739	266717.084990798	1281272.95597216	266687.999999441
21	21	1	0	1284525.51053276	263182.176660838	1284859.76188947	261978.130949262
22	22	1	0	1282581.76470319	264359.023108688	1282156.04648181	264697.558133379
23	23	1	0	1280887.63855267	264747.173493657	1280557.74919202	264904.85208918
24	24	1	0	1279484.69604669	264891.744680449	1279755.35528485	264506.72270341
25	25	1	0	1277044.89457639	264494.06927671	1276615.34481658	265063.206894267
26	26	1	0	1275440.36088327	265111.577415291	1275982.65822246	264884.388184536
27	27	1	0	1274270.44476144	265096.395982403	1274103.99997876	265386.23332891
28	28	1	0	1272732.23775334	265417.839158983	1272671.99974547	265771.199946846
29	29	1	0	1271207.63110078	265591.566003136	1271436.41024011	265267.397432497
30	30	1	0	1270840.99995764	264243.899991192	1270271.52551808	264203.716769341
31	31	1	0	1269104.52829923	264212.29559693	1268750.93716585	266274.675186085
32	32	1	0	1267433.35442236	267202.158226157	1267950.29702719	266880.639603432
33	33	1	0	1267370.3124868	263685.781247253	1267597.68844009	263888.715242439
34	34	1	0	1266201.21738763	266925.718839806	1266206.66659632	267363.277762924
35	35	1	0	1266301.49732395	264809.577539635	1265898.33322784	264929.999977922
36	36	1	0	1265122.83782929	267010.972971169	1265460.65788919	266549.403507603
37	37	1	0	1265225.26881448	264666.507526313	1265437.19296026	265138.982451489
38	38	1	0	1263002.53417323	265590.576235262	1263070.60602233	265535.454537408
39	39	1	0	1259167.67924291	260083.832074981	1259479.38774868	259579.270406839
40	40	1	0	1261795.62936842	260859.354894649	1261174.13788755	261408.13792202
41	41	1	0	1263759.04081375	260270.436734163	1263694.977968	260003.030835859
42	42	1	0	1265174.38791532	261865.416533765	1265442.47617842	261606.638092747
43	43	1	0	1266171.52610188	262423.375501481	1265878.68419387	261316.32894393
44	44	1	0	1267828.39505651	261348.934155303	1268156.3333122	261184.616662314
45	45	1	0	1269343.27433348	261436.765486147	1269767.66577913	262023.721484716
46	46	1	0	1271430.5633758	262719.876759638	1271316.01502804	262336.661652163
47	47	1	0	1272824.21052408	262768.919297785	1273262.47109643	262336.209537193
48	48	1	0	1274258.50828495	262694.287292334	1274250.26888441	262476.230473416
49	49	1	0	1275877.89953755	263042.050227109	1275533.51694375	262707.966100582
50	50	1	0	1277062.16373522	262603.783624195	1276789.61536006	262436.82691803
51	51	1	0	1278627.82608001	262724.956520311	1279188.76710576	262934.972599138
52	52	1	0	1279443.43661611	262300.487323205	1279320.63491387	262301.05819967
53	53	1	0	1280991.3043339	262399.499997148	1281075.32108916	262332.422015942
54	54	1	0	1282199.40475682	262054.51984023	1282289.09079252	262205.72724889
55	55	1	0	1283605.4320948	261663.364196723	1283616.24991977	261324.499983667
56	56	1	0	1285310.85713827	258863.98928479	1284992.96291537	259322.222212618
57	57	1	0	1284020.90163584	259182.191256122	1283990.74069319	258947.851842261
58	58	1	0	1282426.10169181	258958.288134966	1281852.72721446	258669.181806424
59	59	1	0	1280596.7647005	259846.76050311	1280691.1711654	260828.445944771
60	60	1	0	1279440.94861154	260976.877469324	1279085.98638586	260876.517005028
61	61	1	0	1280146.2674059	258482.972144127	1278920.50745887	258399.967163408
62	62	1	0	1278369.41666312	260419.652777054	1278641.45160259	259672.169352745
63	63	1	0	1277015.50172569	260680.048442005	1276913.99994892	260944.199989562
64	64	1	0	1277135.7556229	258329.363343221	1277555.12817237	258204.923070302
65	65	1	0	1275560.27989497	260620.773536233	1275290.49993624	261268.249986937
66	66	1	0	1275501.92398747	258323.25890675	1275047.84246139	258282.571916924
67	67	1	0	1274272.52906792	260710.074127528	1273914.12671015	261180.681506402
68	68	1	0	1274187.65549934	258510.643540051	1274130.85713072	258276.142854683
69	69	1	0	1273279.69155741	261271.185064723	1273279.69155741	261271.185064723
70	70	1	0	1272686.86326737	258052.158176252	1272893.18830197	258741.661198196
71	71	1	0	1271336.03389615	260825.276270744	1271309.31471974	261390.154822114
72	72	1	0	1271249.99999878	258711.999999752	1271249.99999878	258711.999999752
73	73	1	0	1270649.50657686	260825.717104834	1270727.71428241	260436.90649283
74	74	1	0	1269980.810807	258421.516515741	1270084.99968248	258172.999935457
75	75	1	0	1269033.95237491	260293.657141618	1268595.3456192	259881.373271291
76	76	1	0	1269172.40258916	258492.506491828	1268879.59972777	258725.111261697
77	77	1	0	1267698.3505122	260276.126287989	1268139.23073671	260316.025634351
78	78	1	0	1267646.86015497	258796.736147074	1268041.9999946	258875.574466984
79	79	1	0	1266230.06269394	259677.409090502	1265883.2044129	259778.176794145
80	80	1	0	1265179.51713199	259222.934579035	1265398.62636667	259718.373624947
81	81	1	0	1263674.30146594	258541.235293167	1263848.46152962	259314.43356462
82	82	1	0	1262447.67122711	257770.315067316	1262758.10456691	258539.117645369
83	83	1	0	1261462.48161533	258614.248161289	1261015.33332282	257850.433331185
84	84	1	0	1255514.42307491	257397.830127793	1255204.04760909	258218.484124935
85	85	1	0	1257001.74999738	257619.14791613	1257051.61286268	257422.290314277
86	86	1	0	1259055.1959529	257022.503160231	1259524.38066085	257301.205437289
87	87	1	0	1261125.80644822	256578.819891783	1260855.85365512	256789.20054131
88	88	1	0	1262387.48717301	256191.010255096	1262205.10635612	255856.446803067
89	89	1	0	1263657.5466633	256548.039999316	1263677.99994945	256211.839989752
90	90	1	0	1265177.55042863	256739.112391191	1265219.42129337	255937.47222163
91	91	1	0	1266202.07931268	256646.070739275	1266292.3791798	256878.834572013
92	92	1	0	1267465.61643662	256915.276711977	1268000.3883372	257040.126211097
93	93	1	0	1269020.43761521	256763.683426204	1268512.82050469	256541.839741945
94	94	1	0	1271047.43315168	256467.775400384	1270988.46144069	256698.999980254
95	95	1	0	1272935.58139112	256401.295680211	1272943.57138311	255689.82141944
96	96	1	0	1274171.72523555	256397.038337839	1274652.63157149	256255.865495577
97	97	1	0	1275512.83783353	256545.030404539	1275470.29913985	256240.841879247
98	98	1	0	1277110.97478777	256131.433613015	1276959.76922095	255319.007690344
99	99	1	0	1278231.11110604	255802.571427556	1277916.5573561	256047.557372852
100	100	1	0	1278989.390623	256799.982812099	1278968.34950215	256443.13591984
101	101	1	0	1280947.0749968	256482.237499359	1281372.31480295	256220.675923554
102	102	1	0	1282516.00358193	256536.347669791	1282414.76187423	256560.071422463
103	103	1	0	1284789.36708536	256035.422784162	1285145.35713138	255318.017854863
104	104	1	0	1286245.76085558	256284.902171127	1285739.99871426	256455.999743544
105	105	1	0	1289726.66623676	248871.666583709	1288349.99999454	252115.999998932
106	106	1	0	1287231.33757142	253749.980890104	1287326.66623756	253226.999915591
107	107	1	0	1285224.80686144	253514.879827238	1285403.99993573	253627.949987319
108	108	1	0	1283402.68570695	254453.068569975	1283164.99935842	254287.999872856
109	109	1	0	1283583.8311605	253011.53246589	1283409.99997484	253437.999995031
110	110	1	0	1282248.11763952	254496.835292621	1281658.98988604	254586.505047933
111	111	1	0	1282264.97461799	252927.684263703	1281662.91663997	252722.770828068
112	112	1	0	1280801.5183179	254518.795810186	1281264.44439699	254680.407397975
113	113	1	0	1280853.79629037	253226.21759142	1281011.33324793	252910.933316473
114	114	1	0	1279621.4018572	254544.803735939	1279280.10675929	254255.752668587
