#variable,mode,path-type,vot-group,start-minute,end-minute,length,file-type, name, field, transpose, blend-variable,blend-path-type,factor,scaling
distance,bike,full-network,all,0,1439,maxzone,hdf5,5to6.h5/Skims/biket,1,FALSE,distance,null,0.2,TRUE
time,bike,full-network,all,0,1439,maxzone,hdf5,5to6.h5/Skims/biket,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,0,839,maxzone,hdf5,7to8.h5/Skims/h2tl2d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,0,839,maxzone,hdf5,7to8.h5/Skims/h2tl3d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,840,1439,maxzone,hdf5,17to18.h5/Skims/h2tl2d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,high,840,1439,maxzone,hdf5,17to18.h5/Skims/h2tl3d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,0,839,maxzone,hdf5,7to8.h5/Skims/h2tl1d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,low,840,1439,maxzone,hdf5,17to18.h5/Skims/h2tl1d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,0,839,maxzone,hdf5,7to8.h5/Skims/h2tl2d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,medium,840,1439,maxzone,hdf5,17to18.h5/Skims/h2tl2d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,very-high,0,839,maxzone,hdf5,7to8.h5/Skims/h2tl3d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,very-high,840,1439,maxzone,hdf5,17to18.h5/Skims/h2tl3d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,very-low,0,839,maxzone,hdf5,7to8.h5/Skims/h2tl1d,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,very-low,840,1439,maxzone,hdf5,17to18.h5/Skims/h2tl1d,1,FALSE,distance,null,null,TRUE
distance,hov2,no-toll-network,all,0,839,maxzone,hdf5,7to8.h5/Skims/h2nt1d,1,FALSE,distance,null,null,TRUE
distance,hov2,no-toll-network,all,840,1439,maxzone,hdf5,17to18.h5/Skims/h2nt1d,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,high,1020,1079,maxzone,hdf5,17to18.h5/Skims/h2tl2t,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,high,1020,1079,maxzone,hdf5,17to18.h5/Skims/h2tl3t,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,high,1080,1199,maxzone,hdf5,18to20.h5/Skims/h2tl2t,1,FALSE,distance,null,null,TRUE
