ENS,HR_COST
gz0,0
gz1,813
gz2,450
gz3,269
gz4,471
gz5,401
gz6,1208
gz7,586
gz8,682
gz9,478
gz10,743
gz11,728
gz12,0
gz13,0
gz14,0
gz15,0
gz16,0
gz17,0
gz18,0
gz19,0
gz20,0
gz21,0
gz22,0
gz23,0
gz24,0
gz25,0
gz26,0
gz27,0
gz28,0
gz29,0
gz30,0
gz31,0
gz32,0
gz33,0
gz34,0
gz35,0
gz36,0
gz37,0
gz38,0
gz39,0
gz40,0
gz41,0
