#variable,mode,path-type,vot-group,start-minute,end-minute,length,file-type,name,field,transpose,blend-variable,blend-path-type,factor,scaling
distance,bike,full-network,all,0,1439,maxzone,hdf5,nonmotorized.h5/am/abkeds,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,all,360,539,maxzone,hdf5,auto.h5/am/aau2ds,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,all,540,899,maxzone,hdf5,auto.h5/md/mau2ds,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,all,900,1079,maxzone,hdf5,auto.h5/pm/pau2ds,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,all,1080,1319,maxzone,hdf5,auto.h5/ev/eau2ds,1,FALSE,distance,null,null,TRUE
distance,hov2,full-network,all,1320,359,maxzone,hdf5,auto.h5/ni/nau2ds,1,FALSE,distance,null,null,TRUE
distance,hov3,full-network,all,360,539,maxzone,hdf5,auto.h5/am/aau3ds,1,FALSE,distance,null,null,TRUE
distance,hov3,full-network,all,540,899,maxzone,hdf5,auto.h5/md/mau3ds,1,FALSE,distance,null,null,TRUE
distance,hov3,full-network,all,900,1079,maxzone,hdf5,auto.h5/pm/pau3ds,1,FALSE,distance,null,null,TRUE
distance,hov3,full-network,all,1080,1319,maxzone,hdf5,auto.h5/ev/eau3ds,1,FALSE,distance,null,null,TRUE
distance,hov3,full-network,all,1320,359,maxzone,hdf5,auto.h5/ni/nau3ds,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,360,539,maxzone,hdf5,auto.h5/am/aa1ds3,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,540,899,maxzone,hdf5,auto.h5/md/ma1ds3,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,900,1079,maxzone,hdf5,auto.h5/pm/pa1ds3,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,1080,1319,maxzone,hdf5,auto.h5/ev/ea1ds3,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,high,1320,359,maxzone,hdf5,auto.h5/ni/na1ds3,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,360,539,maxzone,hdf5,auto.h5/am/aa1ds1,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,540,899,maxzone,hdf5,auto.h5/md/ma1ds1,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,900,1079,maxzone,hdf5,auto.h5/pm/pa1ds1,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,1080,1319,maxzone,hdf5,auto.h5/ev/ea1ds1,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,low,1320,359,maxzone,hdf5,auto.h5/ni/na1ds1,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,360,539,maxzone,hdf5,auto.h5/am/aa1ds2,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,540,899,maxzone,hdf5,auto.h5/md/ma1ds2,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,900,1079,maxzone,hdf5,auto.h5/pm/pa1ds2,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,1080,1319,maxzone,hdf5,auto.h5/ev/ea1ds2,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,medium,1320,359,maxzone,hdf5,auto.h5/ni/na1ds2,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,very-high,360,539,maxzone,hdf5,auto.h5/am/aa1ds4,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,very-high,540,899,maxzone,hdf5,auto.h5/md/ma1ds4,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,very-high,900,1079,maxzone,hdf5,auto.h5/pm/pa1ds4,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,very-high,1080,1319,maxzone,hdf5,auto.h5/ev/ea1ds4,1,FALSE,distance,null,null,TRUE
distance,sov,full-network,very-high,1320,359,maxzone,hdf5,auto.h5/ni/na1ds4,1,FALSE,distance,null,null,TRUE
distance,walk,full-network,all,0,1439,maxzone,hdf5,nonmotorized.h5/am/awlkds,1,FALSE,distance,null,null,TRUE
fare,transit,local-bus,all,300,539,maxzone,hdf5,transit.h5/am/afarwa,1,FALSE,null,null,null,TRUE
fare,transit,local-bus,all,540,899,maxzone,hdf5,transit.h5/md/mfarwa,1,FALSE,null,null,null,TRUE
fare,transit,local-bus,all,900,1079,maxzone,hdf5,transit.h5/am/afarwa,1,TRUE,null,null,null,TRUE
fare,transit,local-bus,all,1080,1319,maxzone,hdf5,transit.h5/md/mfarwa,1,FALSE,null,null,null,TRUE
fare,transit,local-bus,all,1320,299,maxzone,null,null,1,FALSE,null,null,null,TRUE
ivtime,hov2,full-network,all,360,539,maxzone,hdf5,auto.h5/am/aau2tm,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,all,540,899,maxzone,hdf5,auto.h5/md/mau2tm,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,all,900,1079,maxzone,hdf5,auto.h5/pm/pau2tm,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,all,1080,1319,maxzone,hdf5,auto.h5/ev/eau2tm,1,FALSE,distance,null,null,TRUE
ivtime,hov2,full-network,all,1320,359,maxzone,hdf5,auto.h5/ni/nau2tm,1,FALSE,distance,null,null,TRUE
ivtime,hov3,full-network,all,360,539,maxzone,hdf5,auto.h5/am/aau3tm,1,FALSE,distance,null,null,TRUE
ivtime,hov3,full-network,all,540,899,maxzone,hdf5,auto.h5/md/mau3tm,1,FALSE,distance,null,null,TRUE
ivtime,hov3,full-network,all,900,1079,maxzone,hdf5,auto.h5/pm/pau3tm,1,FALSE,distance,null,null,TRUE
ivtime,hov3,full-network,all,1080,1319,maxzone,hdf5,auto.h5/ev/eau3tm,1,FALSE,distance,null,null,TRUE
ivtime,hov3,full-network,all,1320,359,maxzone,hdf5,auto.h5/ni/nau3tm,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,high,360,539,maxzone,hdf5,auto.h5/am/aa1tm3,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,high,540,899,maxzone,hdf5,auto.h5/md/ma1tm3,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,high,900,1079,maxzone,hdf5,auto.h5/pm/pa1tm3,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,high,1080,1319,maxzone,hdf5,auto.h5/ev/ea1tm3,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,high,1320,359,maxzone,hdf5,auto.h5/ni/na1tm3,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,low,360,539,maxzone,hdf5,auto.h5/am/aa1tm1,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,low,540,899,maxzone,hdf5,auto.h5/md/ma1tm1,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,low,900,1079,maxzone,hdf5,auto.h5/pm/pa1tm1,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,low,1080,1319,maxzone,hdf5,auto.h5/ev/ea1tm1,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,low,1320,359,maxzone,hdf5,auto.h5/ni/na1tm1,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,medium,360,539,maxzone,hdf5,auto.h5/am/aa1tm2,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,medium,540,899,maxzone,hdf5,auto.h5/md/ma1tm2,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,medium,900,1079,maxzone,hdf5,auto.h5/pm/pa1tm2,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,medium,1080,1319,maxzone,hdf5,auto.h5/ev/ea1tm2,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,medium,1320,359,maxzone,hdf5,auto.h5/ni/na1tm2,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,very-high,360,539,maxzone,hdf5,auto.h5/am/aa1tm4,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,very-high,540,899,maxzone,hdf5,auto.h5/md/ma1tm4,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,very-high,900,1079,maxzone,hdf5,auto.h5/pm/pa1tm4,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,very-high,1080,1319,maxzone,hdf5,auto.h5/ev/ea1tm4,1,FALSE,distance,null,null,TRUE
ivtime,sov,full-network,very-high,1320,359,maxzone,hdf5,auto.h5/ni/na1tm4,1,FALSE,distance,null,null,TRUE
ivtime,transit,local-bus,all,300,539,maxzone,hdf5,transit.h5/am/aivtwa,1,FALSE,null,null,null,TRUE
ivtime,transit,local-bus,all,540,899,maxzone,hdf5,transit.h5/md/mivtwa,1,FALSE,null,null,null,TRUE
ivtime,transit,local-bus,all,900,1079,maxzone,hdf5,transit.h5/am/aivtwa,1,TRUE,null,null,null,TRUE
ivtime,transit,local-bus,all,1080,1319,maxzone,hdf5,transit.h5/md/mivtwa,1,FALSE,null,null,null,TRUE
ivtime,transit,local-bus,all,1320,299,maxzone,null,null,1,FALSE,null,null,null,TRUE
iwaittime,transit,local-bus,all,300,539,maxzone,hdf5,transit.h5/am/aiwtwa,1,FALSE,null,null,null,TRUE
iwaittime,transit,local-bus,all,540,899,maxzone,hdf5,transit.h5/md/miwtwa,1,FALSE,null,null,null,TRUE
iwaittime,transit,local-bus,all,900,1079,maxzone,hdf5,transit.h5/am/aiwtwa,1,TRUE,null,null,null,TRUE
iwaittime,transit,local-bus,all,1080,1319,maxzone,hdf5,transit.h5/md/miwtwa,1,FALSE,null,null,null,TRUE
iwaittime,transit,local-bus,all,1320,299,maxzone,null,null,1,FALSE,null,null,null,TRUE
nboard,transit,local-bus,all,300,539,maxzone,hdf5,transit.h5/am/anbdwa,1,FALSE,null,null,null,TRUE
nboard,transit,local-bus,all,540,899,maxzone,hdf5,transit.h5/md/mnbdwa,1,FALSE,null,null,null,TRUE
nboard,transit,local-bus,all,900,1079,maxzone,hdf5,transit.h5/am/anbdwa,1,TRUE,null,null,null,TRUE
nboard,transit,local-bus,all,1080,1319,maxzone,hdf5,transit.h5/md/mnbdwa,1,FALSE,null,null,null,TRUE
nboard,transit,local-bus,all,1320,299,maxzone,null,null,1,FALSE,null,null,null,TRUE
time,bike,full-network,all,0,1439,maxzone,hdf5,nonmotorized.h5/am/abkeds,1,FALSE,distance,null,5,TRUE
time,walk,full-network,all,0,1439,maxzone,hdf5,nonmotorized.h5/am/awlkds,1,FALSE,distance,null,20,TRUE
toll,hov2,full-network,all,360,539,maxzone,hdf5,auto.h5/am/aau2cs,1,FALSE,null,null,null,TRUE
toll,hov2,full-network,all,540,899,maxzone,hdf5,auto.h5/md/mau2cs,1,FALSE,null,null,null,TRUE
toll,hov2,full-network,all,900,1079,maxzone,hdf5,auto.h5/pm/pau2cs,1,FALSE,null,null,null,TRUE
toll,hov2,full-network,all,1080,1319,maxzone,hdf5,auto.h5/ev/eau2cs,1,FALSE,null,null,null,TRUE
toll,hov2,full-network,all,1320,359,maxzone,hdf5,auto.h5/ni/nau2cs,1,FALSE,null,null,null,TRUE
toll,hov3,full-network,all,360,539,maxzone,hdf5,auto.h5/am/aau3cs,1,FALSE,null,null,null,TRUE
toll,hov3,full-network,all,540,899,maxzone,hdf5,auto.h5/md/mau3cs,1,FALSE,null,null,null,TRUE
toll,hov3,full-network,all,900,1079,maxzone,hdf5,auto.h5/pm/pau3cs,1,FALSE,null,null,null,TRUE
toll,hov3,full-network,all,1080,1319,maxzone,hdf5,auto.h5/ev/eau3cs,1,FALSE,null,null,null,TRUE
toll,hov3,full-network,all,1320,359,maxzone,hdf5,auto.h5/ni/nau3cs,1,FALSE,null,null,null,TRUE
toll,sov,full-network,high,360,539,maxzone,hdf5,auto.h5/am/aa1cs3,1,FALSE,null,null,null,TRUE
toll,sov,full-network,high,540,899,maxzone,hdf5,auto.h5/md/ma1cs3,1,FALSE,null,null,null,TRUE
toll,sov,full-network,high,900,1079,maxzone,hdf5,auto.h5/pm/pa1cs3,1,FALSE,null,null,null,TRUE
toll,sov,full-network,high,1080,1319,maxzone,hdf5,auto.h5/ev/ea1cs3,1,FALSE,null,null,null,TRUE
toll,sov,full-network,high,1320,359,maxzone,hdf5,auto.h5/ni/na1cs3,1,FALSE,null,null,null,TRUE
toll,sov,full-network,low,360,539,maxzone,hdf5,auto.h5/am/aa1cs1,1,FALSE,null,null,null,TRUE
toll,sov,full-network,low,540,899,maxzone,hdf5,auto.h5/md/ma1cs1,1,FALSE,null,null,null,TRUE
toll,sov,full-network,low,900,1079,maxzone,hdf5,auto.h5/pm/pa1cs1,1,FALSE,null,null,null,TRUE
toll,sov,full-network,low,1080,1319,maxzone,hdf5,auto.h5/ev/ea1cs1,1,FALSE,null,null,null,TRUE
toll,sov,full-network,low,1320,359,maxzone,hdf5,auto.h5/ni/na1cs1,1,FALSE,null,null,null,TRUE
toll,sov,full-network,medium,360,539,maxzone,hdf5,auto.h5/am/aa1cs2,1,FALSE,null,null,null,TRUE
toll,sov,full-network,medium,540,899,maxzone,hdf5,auto.h5/md/ma1cs2,1,FALSE,null,null,null,TRUE
toll,sov,full-network,medium,900,1079,maxzone,hdf5,auto.h5/pm/pa1cs2,1,FALSE,null,null,null,TRUE
toll,sov,full-network,medium,1080,1319,maxzone,hdf5,auto.h5/ev/ea1cs2,1,FALSE,null,null,null,TRUE
toll,sov,full-network,medium,1320,359,maxzone,hdf5,auto.h5/ni/na1cs2,1,FALSE,null,null,null,TRUE
toll,sov,full-network,very-high,360,539,maxzone,hdf5,auto.h5/am/aa1cs4,1,FALSE,null,null,null,TRUE
