table,new_variable,expression,description
household,hhincome_thousands,((pl.col("income") / 1000).round(0) * 1000).cast(pl.Int32),"Value represents the low end range (e.g., 67,834 becomes 67,000, which represents the range 67,000 - 68,000)"
person,pwaudist_wt,pl.col("distance_to_work")
person,psaudist_wt,pl.col("distance_to_school")
person,pwautime_wt,pl.col("roundtrip_auto_time_to_work")
person,psautime_wt,pl.col("roundtrip_auto_time_to_school")
person,quarter_mile_transit_work,pl.when(pl.col("work_dist_transit") <= 0.25).then(1).otherwise(0)
household,quarter_mile_hct,pl.when(pl.col("hh_dist_hct") <= 0.25).then(1).otherwise(0)
household,half_mile_hct,pl.when(pl.col("hh_dist_hct") <= 0.5).then(1).otherwise(0)
household,quarter_mile_transit,pl.when(pl.col("hh_dist_transit") <= 0.25).then(1).otherwise(0)
person,quarter_mile_transit_work,pl.when(pl.col("work_dist_transit") <= 0.25).then(1).otherwise(0)
person,quarter_mile_hct_work,pl.when(pl.col("work_dist_hct") <= 0.25).then(1).otherwise(0)
person,half_mile_hct_work,pl.when(pl.col("work_dist_hct") <= 0.5).then(1).otherwise(0)
trip,travdist_bin,pl.col("distance").floordiv(1).cast(pl.Int32)
#trip,travcost_bin,pl.col("travcost").floordiv(1).cast(pl.Int32)
#trip,travtime_bin,pl.col("travtime").floordiv(1).cast(pl.Int32)
trip,travdist_wt,pl.col("distance") * pl.col("sample_rate")
#trip,travcost_wt,pl.col("travcost") * pl.col("sample_rate")
#trip,travtime_wt,pl.col("travtime") * pl.col("sample_rate")
#trip,sov_ff_time_wt,pl.col("sov_ff_time") / 100.0 * pl.col("sample_rate")
#tour,tautotime_bin,pl.col("tautotime").floordiv(1).cast(pl.Int32)
#tour,tautocost_bin,pl.col("tautocost").floordiv(1).cast(pl.Int32)
tour,tautodist_bin,pl.col("tour_distance_one_way").floordiv(1).cast(pl.Int32)
