description,coefficient,model_value,target_value,hold_fast,min,max,damping,method,tolerance
1 auto ownership share,coef_cars1_drivers_1_calib,len(households[(households.auto_ownership==1) & (households.num_drivers==1)]) / len(households[households.num_drivers==1]),0.65,FALSE,-5,5,1,log_ratio,0.01
2 auto ownership share,coef_cars2_drivers_1_calib,len(households[(households.auto_ownership==2) & (households.num_drivers==1)]) / len(households[households.num_drivers==1]),0.09,FALSE,-5,5,1,log_ratio,0.01
3 auto ownership share,coef_cars3_drivers_1_calib,len(households[(households.auto_ownership==3) & (households.num_drivers==1)]) / len(households[households.num_drivers==1]),0.03,FALSE,-5,5,1,log_ratio,0.01
4 auto ownership share,coef_cars4_drivers_1_calib,len(households[(households.auto_ownership==4) & (households.num_drivers==1)]) / len(households[households.num_drivers==1]),0.01,FALSE,-5,5,1,log_ratio,0.01
1 auto ownership share,coef_cars1_asc,len(households[(households.auto_ownership==1)]) / len(households),0.331,FALSE,0,15,1,log_ratio,0.01
2 auto ownership share,coef_cars2_asc,len(households[(households.auto_ownership==2)]) / len(households),0.376,FALSE,0,15,1,log_ratio,0.01
3 auto ownership share,coef_cars3_asc,len(households[(households.auto_ownership==3)]) / len(households),0.130,FALSE,0,15,1,log_ratio,0.01
4 auto ownership share,coef_cars4_asc,len(households[(households.auto_ownership==4)]) / len(households),0.079,FALSE,0,15,1,log_ratio,0.01
