Pollutant,Speed Class,Car,Light Truck,Medium Truck,Heavy Truck,,,,,,,,
Carbon Dioxide,0,1367.87,1911.392,5260.83,5260.83,,,,,,,,
Carbon Dioxide,10,703.6223,979.6333,2604.637,2604.637,,,,,,,,
Carbon Dioxide,20,449.742,599.1229,1885.247,1885.247,,,,,,,,
Carbon Dioxide,30,375.1467,490.2579,1648.99,1648.99,,,,,,,,
Carbon Dioxide,40,353.9383,453.5595,1471.327,1471.327,,,,,,,,
Carbon Dioxide,50,347.6133,436.1347,1410.2,1410.2,,,,,,,,
Carbon Dioxide,60,356.3313,432.2829,1299.983,1299.983,,,,,,,," 369,543,656.26 "
Carbon Monoxide,0,21.28757,21.13314,9.160357,9.160357,,,,,,,,
Carbon Monoxide,10,13.9473,14.66225,5.04355,5.04355,,,,,,,,
Carbon Monoxide,20,12.4957,13.44995,2.91505,2.91505,,,,,,,,
Carbon Monoxide,30,12.26605,13.3525,2.08155,2.08155,,,,,,,,
Carbon Monoxide,40,12.8884,14.09565,1.86755,1.86755,,,,,,,,
Carbon Monoxide,50,13.7746,14.97025,2.14925,2.14925,,,,,,,,
Carbon Monoxide,60,14.61675,15.56575,2.675875,2.675875,,,,,,,,
Nitrogen Oxide,0,0.0605071,0.0692429,0.0505643,0.0505643,,,,,,,,
Nitrogen Oxide,10,0.43895,0.50575,0.40155,0.40155,,,,,,,,
Nitrogen Oxide,20,0.3965,0.4545,0.3406,0.3406,,,,,,,,
Nitrogen Oxide,30,0.3887,0.4427,0.32715,0.32715,,,,,,,,
Nitrogen Oxide,40,0.3973,0.451,0.3572,0.3572,,,,,,,,
Nitrogen Oxide,50,0.4163,0.46525,0.4501,0.4501,,,,,,,,
Nitrogen Oxide,60,0.431375,0.475625,0.565375,0.565375,,,,,,,,
Volatile Organic Compound,0,1.567786,1.702571,0.768643,0.768643,,,,,,,,
Volatile Organic Compound,10,0.71255,0.76925,0.4292,0.4292,,,,,,,,
Volatile Organic Compound,20,0.55125,0.6101,0.28695,0.28695,,,,,,,,1522434255
Volatile Organic Compound,30,0.49535,0.5578,0.2164,0.2164,,,,,,,,1522.434255
Volatile Organic Compound,40,0.4657,0.5307,0.178,0.178,,,,,,,,
Volatile Organic Compound,50,0.45225,0.50985,0.15955,0.15955,,,,,,,,
Volatile Organic Compound,60,0.4585,0.498625,0.1555,0.1555,,,,,,,,
Particulate Matter,0,0.0116,0.0113,0.0381,0.0381,,,,,,,,
Particulate Matter,10,0.0116,0.0113,0.0381,0.0381,,,,,,,,
Particulate Matter,20,0.0116,0.0113,0.0381,0.0381,,,,,,,,
Particulate Matter,30,0.0116,0.0113,0.0381,0.0381,,,,,,,,
Particulate Matter,40,0.0116,0.0113,0.0381,0.0381,,,,,,,,
Particulate Matter,50,0.0116,0.0113,0.0381,0.0381,,,,,,,,
Particulate Matter,60,0.0116,0.0113,0.0381,0.0381,,,,,,,,
